Year_Start,Year_End,Returning_Athlete_Effect,New_Athlete_Effect,Coaching_Effect,Z_Score,P_Value,Significant,File,Abs_Coaching_Effect,,,Coaching_Effect
2020,2024,-8,0,-20.67,-4.496,1.00E-05,TRUE,Jamaica_ATH_womens.csv,20.67,,,-57.98
2020,2024,-5,0,-19,0,1,FALSE,Belgium_HOC_mens.csv,19,,,-55.81
2020,2024,-15,0,-19,0,1,FALSE,Canada_FBL_womens.csv,19,,,-33.42
2020,2024,-5,0,-17,0,1,FALSE,Australia_HOC_mens.csv,17,,,-32.49
2020,2024,-10,0,-16,0,1,FALSE,France_HBL_mens.csv,16,,,-30
2020,2024,-4,0,-16,0,1,FALSE,United_Kingdom_HOC_womens.csv,16,,,-27
2020,2024,-8,0,-14,0,1,FALSE,Argentina_RU7_mens.csv,14,,,-26
2020,2024,-7,0,-13,0,1,FALSE,Serbia_VVO_womens.csv,13,,,-24
2020,2024,-7,0,-13,0,1,FALSE,Fiji_RU7_womens.csv,13,,,-24
2020,2024,-8,0,-13,0,1,FALSE,Hungary_WPO_mens.csv,13,,,-24
2020,2024,-8,0,-13,0,1,FALSE,Hungary_WPO_womens.csv,13,,,-24
2020,2024,-8,0,-13,0,1,FALSE,Argentina_VVO_mens.csv,13,,,-23.86
2020,2024,-7,0,-13,0,1,FALSE,New_Zealand_RU7_mens.csv,13,,,-23.79
2016,2024,-2,0,-13,0,1,FALSE,Italy_WPO_womens.csv,13,,,-23
2020,2024,-4,0,-13,0,1,FALSE,United_States_WPO_womens.csv,13,,,-22
2020,2024,-7,0,-13,0,1,FALSE,Greece_WPO_mens.csv,13,,,-22
2020,2024,-6,0,-12.75,-2.717,0.00658,TRUE,Poland_ATH_womens.csv,12.75,,,-21.67
2020,2024,-6,0,-12,0,1,FALSE,Australia_BKB_mens.csv,12,,,-21.27
2020,2024,-9,0,-12,0,1,FALSE,Japan_BKB_womens.csv,12,,,-20.67
2020,2024,-7,0,-12,0,1,FALSE,France_RU7_womens.csv,12,,,-20
2020,2024,-6,0,-10.5,-3.098,0.00195,TRUE,Poland_ATH_mens.csv,10.5,,,-20
2020,2024,-7,2,-10.45,-2.048,0.04059,TRUE,Italy_ATH_mens.csv,10.45,,,-19.74
2020,2024,-4,0,-9,0,1,FALSE,Poland_CSP_womens.csv,9,,,-19.09
2020,2024,-5,0,-7.5,-3.651,0.00026,TRUE,China_ROW_womens.csv,7.5,,,-19
2020,2024,-4,0,-7.2,-4.472,1.00E-05,TRUE,France_CTR_mens.csv,7.2,,,-19
2020,2024,-1,0,-7,0,1,FALSE,Japan_CTR_womens.csv,7,,,-19
2020,2024,-1,0,-7,0,1,FALSE,Germany_SAL_womens.csv,7,,,-19
2020,2024,-1,0,-7,0,1,FALSE,Germany_SAL_mens.csv,7,,,-18
2020,2024,-4,0,-6.67,-3.464,0.00053,TRUE,Ireland_ROW_womens.csv,6.67,,,-18
2020,2024,-3,0,-6.5,-2.449,0.01431,TRUE,United_Kingdom_SWM_womens.csv,6.5,,,-18
2020,2024,-2,4,-6.11,-3.354,0.0008,TRUE,China_SHO_womens.csv,6.11,,,-18
2020,2024,-2,0,-6,-1.309,0.19043,FALSE,Germany_ROW_mens.csv,6,,,-18
2020,2024,-1,0,-6,-1.225,0.22067,FALSE,Nigeria_ATH_womens.csv,6,,,-18
2020,2024,-5,1,-5.66,-1.35,0.17696,FALSE,Australia_ROW_womens.csv,5.66,,,-18
