Country Code,Gender,Event,bronze,silver,gold,total athletes
CMR,F,JUD,0,0,0,0
NOR,F,FEN,0,0,0,0
BEL,M,MPN,0,0,0,0
HAI,F,ATH,0,0,0,1
ESP,F,SAL,0,0,0,4
ARU,F,ATH,0,0,0,0
NZL,M,ROW,3,0,0,6
JPN,F,BMX,0,0,0,0
CUB,F,SBL,0,0,0,0
PAK,M,WLF,0,0,0,0
HKG,M,ARC,0,0,0,0
NZL,M,CSL,0,0,0,3
DOM,F,TTE,0,0,0,2
GRE,M,CRD,0,0,0,0
CHN,M,DIV,0,0,1,1
IND,M,CTR,0,0,0,0
FRG,F,SHO,0,0,0,0
PER,M,SRF,0,0,0,0
COL,F,RU7,0,0,0,0
IND,M,ART,0,0,0,0
THA,F,GLF,0,0,0,0
SKN,F,ATH,0,0,0,0
JAM,F,ATH,1,1,1,14
CHN,M,WLF,0,0,1,2
CZE,F,ATH,0,0,0,0
MON,M,CTR,0,0,0,0
MON,M,ART,0,0,0,0
CRC,F,SWM,0,0,0,0
GRE,F,SWA,0,0,0,0
COL,F,TEN,0,0,0,0
USA,F,ARC,0,0,0,1
PHI,M,SAL,0,0,0,0
ALG,M,TKW,0,0,0,0
AUT,M,TTE,0,0,0,0
CYP,F,ARC,0,0,0,0
HKG,F,TTE,0,0,0,0
BRA,M,TRI,0,0,0,1
BEL,F,HOC,0,0,0,0
MYA,F,ARC,0,0,0,0
CYP,M,TEN,0,0,0,0
ITA,F,SBL,0,0,0,0
BAH,M,SAL,0,0,0,0
JPN,M,ART,0,0,0,0
FRA,M,SAL,0,0,0,0
CAN,M,TRI,0,1,0,1
JPN,M,CTR,0,0,0,3
CHN,F,SAL,0,0,1,1
TUN,M,ATH,0,0,0,2
MAS,F,BDM,0,0,0,2
TPE,M,TTE,0,0,0,0
GER,M,SAL,0,0,0,0
GBR,M,RQT,0,0,0,0
CAN,M,SAL,0,0,0,0
CRC,F,DIV,0,0,0,0
AUS,F,FBL,0,0,0,0
NOR,F,GRY,0,0,0,0
VIN,F,ATH,0,0,0,0
NED,F,OWS,0,0,0,0
PNG,M,TKW,0,0,0,0
DEN,M,FBL,0,0,0,0
DEN,F,SAL,0,0,0,0
AFG,F,JUD,0,0,0,0
BAR,F,SWM,0,0,0,0
CZE,F,SHO,0,1,1,4
GER,F,CSL,1,0,1,3
MGL,M,CRD,0,0,0,0
CAY,F,ATH,0,0,0,1
LBA,M,ARC,0,0,0,0
POL,F,EVE,0,0,0,0
KOR,F,SWM,0,0,0,0
MKD,F,JUD,0,0,0,0
AZE,M,CRD,0,0,0,0
EGY,M,ATH,0,0,0,1
GER,F,TEN,0,0,0,0
GBR,M,RUG,0,0,0,0
MYA,M,SWM,0,0,0,0
NOR,M,VBV,0,0,0,0
JPN,F,TTE,0,0,0,2
SAM,M,ARC,0,0,0,0
IRL,F,TEN,0,0,0,0
JPN,M,TTE,0,0,0,0
CAN,F,BK3,0,0,0,0
MHL,F,ATH,0,0,0,0
USA,M,GAR,0,0,0,0
FIN,F,FEN,0,0,0,0
GEO,M,BOX,0,0,0,1
CHA,M,ATH,0,0,0,1
RWA,M,JUD,0,0,0,0
NZL,F,ROW,0,0,2,4
ZIM,F,ARC,0,0,0,0
MON,M,SWM,0,0,0,0
FIN,M,CSL,0,0,0,0
USA,F,CSL,0,0,0,1
GBR,F,GLF,0,0,0,0
GBR,M,JUD,0,0,0,2
AUS,M,GLF,0,0,0,0
MKD,F,CSL,0,0,0,0
IND,M,SWM,0,0,0,0
FIN,M,ROW,0,0,0,0
KOR,F,DIV,0,0,0,0
KOR,M,MPN,0,0,0,0
TAN,M,JUD,0,0,0,0
CHN,F,BKG,0,0,0,0
MEX,M,POL,0,0,0,0
POL,M,CRD,0,0,0,0
FIN,F,GRY,0,0,0,0
FRA,M,ROW,0,0,0,0
COD,M,TTE,0,0,0,0
JPN,M,SWM,2,0,2,10
MAR,M,EJP,0,0,0,0
SWE,M,SAL,0,0,0,0
ARG,M,TEN,0,0,0,0
SLO,F,GRY,0,0,0,0
KOR,F,BDM,0,0,0,1
GHA,M,BOX,0,0,0,0
GAM,M,SWM,0,0,0,0
CHI,F,SKB,0,0,0,0
POL,F,CRD,0,0,0,0
JPN,F,CTR,0,0,0,1
RSA,M,SRF,0,0,0,0
GER,F,ARC,0,0,0,1
CHN,F,VBV,0,0,0,0
PAR,M,TTE,0,0,0,0
RUS,M,BDM,0,0,0,0
USA,M,GLF,0,0,0,0
EST,M,JUD,0,0,0,0
PUR,F,SHO,0,0,0,0
LUX,M,SHO,0,0,0,0
ISV,F,EVE,0,0,0,0
NOR,M,MPN,0,0,0,0
GBR,M,SAL,0,0,0,0
HKG,M,GAR,0,0,0,0
JPN,M,SAL,0,0,0,0
ROU,M,CSP,0,0,0,0
INA,F,FEN,0,0,0,0
UAR,M,WPO,0,0,0,0
PAR,M,FEN,0,0,0,0
SCG,M,FBL,0,0,0,0
MHL,M,TKW,0,0,0,0
ISL,M,ART,0,0,0,0
GEO,M,WRF,1,0,2,5
MEX,M,SRF,0,0,0,0
SWE,M,SAL,0,0,0,0
KOS,M,WRF,0,0,0,0
KOR,F,BKB,0,0,0,7
AUS,M,ATH,0,0,1,10
