Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Azzedine Basbas,M,Algeria,ALG,1988,Seoul,Weightlifting,Weightlifting Men's Bantamweight,No medal,Weightlifting,WLF,True
Azzedine Basbas,M,Algeria,ALG,1992,Barcelona,Weightlifting,Weightlifting Men's Featherweight,No medal,Weightlifting,WLF,True
Azzedine Basbas,M,Algeria,ALG,1996,Atlanta,Weightlifting,Weightlifting Men's Featherweight,No medal,Weightlifting,WLF,True
Noureddine Bekkouche,M,Algeria,ALG,1984,Los Angeles,Weightlifting,Weightlifting Men's Featherweight,No medal,Weightlifting,WLF,False
Nafaa Benami,M,Algeria,ALG,2004,Athina,Weightlifting,Weightlifting Men's Bantamweight,No medal,Weightlifting,WLF,False
Walid Bidani,M,Algeria,ALG,2012,London,Weightlifting,Weightlifting Men's Heavyweight,No medal,Weightlifting,WLF,True
Walid Bidani,M,Algeria,ALG,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Super-Heavyweight,No medal,Weightlifting,WLF,True
Fouad Bouzenada,M,Algeria,ALG,1996,Atlanta,Weightlifting,Weightlifting Men's Featherweight,No medal,Weightlifting,WLF,False
Mohamed Gouni,M,Algeria,ALG,1980,Moskva,Weightlifting,Weightlifting Men's Featherweight,No medal,Weightlifting,WLF,False
Ahmed Tarbi,M,Algeria,ALG,1980,Moskva,Weightlifting,Weightlifting Men's Bantamweight,No medal,Weightlifting,WLF,True
Ahmed Tarbi,M,Algeria,ALG,1984,Los Angeles,Weightlifting,Weightlifting Men's Bantamweight,No medal,Weightlifting,WLF,True
Abdel Yahiaoui,M,Algeria,ALG,1992,Barcelona,Weightlifting,Weightlifting Men's Lightweight,No medal,Weightlifting,WLF,True
Abdel Yahiaoui,M,Algeria,ALG,1996,Atlanta,Weightlifting,Weightlifting Men's Lightweight,No medal,Weightlifting,WLF,True
Omar Yousfi,M,Algeria,ALG,1980,Moskva,Weightlifting,Weightlifting Men's Heavyweight I,No medal,Weightlifting,WLF,True
Omar Yousfi,M,Algeria,ALG,1988,Seoul,Weightlifting,Weightlifting Men's Heavyweight II,No medal,Weightlifting,WLF,True
Walid Bidani,M,Algeria,ALG,2020,Tokyo,Weightlifting,Men's +109kg,No medal,Men's,WLF,True
Walid Bidani,M,Algeria,ALG,2024,Paris,Weightlifting,Men's +102kg,No medal,Men's,WLF,True
