Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Liliana Arigoni,F,Argentina,ARG,1984,Los Angeles,Athletics,Athletics Women's High Jump,No medal,Athletics,ATH,False,True
Isabel Neefe,F,Argentina,ARG,1956,Melbourne,Athletics,Athletics Women's Discus Throw,No medal,Athletics,ATH,False,True
Andrea Vila,F,Argentina,ARG,1996,Atlanta,Athletics,Athletics Women's Long Jump,No medal,Athletics,ATH,True,True
Andrea Vila,F,Argentina,ARG,2000,Sydney,Athletics,Athletics Women's Long Jump,No medal,Athletics,ATH,True,False
Lilin Mendoza,F,Argentina,ARG,1952,Helsinki,Athletics,Athletics Women's 100 metres,No medal,Athletics,ATH,True,True
Lilin Mendoza,F,Argentina,ARG,1952,Helsinki,Athletics,Athletics Women's 4 x 100 metres Relay,No medal,Athletics,ATH,True,True
Lilin Mendoza,F,Argentina,ARG,1952,Helsinki,Athletics,Athletics Women's Long Jump,No medal,Athletics,ATH,True,True
Dela Capotosto,F,Argentina,ARG,1984,Los Angeles,Athletics,Athletics Women's 100 metres Hurdles,No medal,Athletics,ATH,False,True
Beln Casetta,F,Argentina,ARG,2016,Rio de Janeiro,Athletics,"Athletics Women's 3,000 metres Steeplechase",No medal,Athletics,ATH,False,True
Viviana Chvez,F,Argentina,ARG,2016,Rio de Janeiro,Athletics,Athletics Women's Marathon,No medal,Athletics,ATH,False,True
Elisa Cobaea,F,Argentina,ARG,2000,Sydney,Athletics,"Athletics Women's 5,000 metres",No medal,Athletics,ATH,False,True
Brbara Comba,F,Argentina,ARG,2008,Beijing,Athletics,Athletics Women's Discus Throw,No medal,Athletics,ATH,True,True
Brbara Comba,F,Argentina,ARG,2012,London,Athletics,Athletics Women's Discus Throw,No medal,Athletics,ATH,True,False
Brbara Comba,F,Argentina,ARG,2016,Rio de Janeiro,Athletics,Athletics Women's Discus Throw,No medal,Athletics,ATH,True,False
Jennifer Fitzner,F,Argentina,ARG,2004,Athina,Athletics,Athletics Women's Hammer Throw,No medal,Athletics,ATH,True,True
Jennifer Fitzner,F,Argentina,ARG,2008,Beijing,Athletics,Athletics Women's Hammer Throw,No medal,Athletics,ATH,True,False
Jennifer Fitzner,F,Argentina,ARG,2012,London,Athletics,Athletics Women's Hammer Throw,No medal,Athletics,ATH,True,False
Jennifer Fitzner,F,Argentina,ARG,2016,Rio de Janeiro,Athletics,Athletics Women's Hammer Throw,No medal,Athletics,ATH,True,False
Vernica Paoli,F,Argentina,ARG,2000,Sydney,Athletics,Athletics Women's 100 metres Hurdles,No medal,Athletics,ATH,False,True
Gladys (-mordini),F,Argentina,ARG,1952,Helsinki,Athletics,Athletics Women's 200 metres,No medal,Athletics,ATH,True,True
Gladys (-mordini),F,Argentina,ARG,1952,Helsinki,Athletics,Athletics Women's 4 x 100 metres Relay,No medal,Athletics,ATH,True,True
Gladys (-mordini),F,Argentina,ARG,1952,Helsinki,Athletics,Athletics Women's Long Jump,No medal,Athletics,ATH,True,True
Mabel Farina,F,Argentina,ARG,1964,Tokyo,Athletics,Athletics Women's 4 x 100 metres Relay,No medal,Athletics,ATH,True,True
Mabel Farina,F,Argentina,ARG,1964,Tokyo,Athletics,Athletics Women's Long Jump,No medal,Athletics,ATH,True,True
Irene (-dahlgren),F,Argentina,ARG,1972,Munich,Athletics,Athletics Women's 100 metres,No medal,Athletics,ATH,False,True
Ana Fontn,F,Argentina,ARG,1952,Helsinki,Athletics,Athletics Women's 100 metres,No medal,Athletics,ATH,True,True
Ana Fontn,F,Argentina,ARG,1952,Helsinki,Athletics,Athletics Women's 4 x 100 metres Relay,No medal,Athletics,ATH,True,True
Mara Formeiro,F,Argentina,ARG,1964,Tokyo,Athletics,Athletics Women's 100 metres,No medal,Athletics,ATH,True,True
Mara Formeiro,F,Argentina,ARG,1964,Tokyo,Athletics,Athletics Women's 4 x 100 metres Relay,No medal,Athletics,ATH,True,True
Alejandra Flood,F,Argentina,ARG,2000,Sydney,Athletics,Athletics Women's Pole Vault,No medal,Athletics,ATH,True,True
Alejandra Flood,F,Argentina,ARG,2004,Athina,Athletics,Athletics Women's Pole Vault,No medal,Athletics,ATH,True,False
Alejandra Flood,F,Argentina,ARG,2008,Beijing,Athletics,Athletics Women's Pole Vault,No medal,Athletics,ATH,True,False
Rosa Godoy,F,Argentina,ARG,2016,Rio de Janeiro,Athletics,Athletics Women's Marathon,No medal,Athletics,ATH,False,True
Liliana Gngora,F,Argentina,ARG,1984,Los Angeles,Athletics,"Athletics Women's 1,500 metres",No medal,Athletics,ATH,True,True
Liliana Gngora,F,Argentina,ARG,1984,Los Angeles,Athletics,"Athletics Women's 3,000 metres",No medal,Athletics,ATH,True,True
Griselda Santillo,F,Argentina,ARG,1992,Barcelona,Athletics,"Athletics Women's 10,000 metres",No medal,Athletics,ATH,True,True
Griselda Santillo,F,Argentina,ARG,1996,Atlanta,Athletics,Athletics Women's Marathon,No medal,Athletics,ATH,True,False
Lilin Heinz,F,Argentina,ARG,1952,Helsinki,Athletics,Athletics Women's 100 metres,No medal,Athletics,ATH,True,True
Lilin Heinz,F,Argentina,ARG,1952,Helsinki,Athletics,Athletics Women's 200 metres,No medal,Athletics,ATH,True,True
Lilin Heinz,F,Argentina,ARG,1952,Helsinki,Athletics,Athletics Women's 4 x 100 metres Relay,No medal,Athletics,ATH,True,True
Alicia Kaufmanas,F,Argentina,ARG,1964,Tokyo,Athletics,Athletics Women's 4 x 100 metres Relay,No medal,Athletics,ATH,True,True
Alicia Kaufmanas,F,Argentina,ARG,1964,Tokyo,Athletics,Athletics Women's Long Jump,No medal,Athletics,ATH,True,True
Alicia Kaufmanas,F,Argentina,ARG,1968,Mexico City,Athletics,Athletics Women's 100 metres,No medal,Athletics,ATH,True,False
Alicia Kaufmanas,F,Argentina,ARG,1968,Mexico City,Athletics,Athletics Women's 200 metres,No medal,Athletics,ATH,True,False
Romina Maggi,F,Argentina,ARG,2004,Athina,Athletics,Athletics Women's Javelin Throw,No medal,Athletics,ATH,False,True
Liliana Martinelli,F,Argentina,ARG,1996,Atlanta,Athletics,Athletics Women's Discus Throw,No medal,Athletics,ATH,False,True
Ingeborg Preiss,F,Argentina,ARG,1948,London,Athletics,Athletics Women's Shot Put,No medal,Athletics,ATH,True,True
Ingeborg Preiss,F,Argentina,ARG,1948,London,Athletics,Athletics Women's Discus Throw,No medal,Athletics,ATH,True,True
Ingeborg Preiss,F,Argentina,ARG,1952,Helsinki,Athletics,Athletics Women's Shot Put,No medal,Athletics,ATH,True,False
Ingeborg Preiss,F,Argentina,ARG,1952,Helsinki,Athletics,Athletics Women's Discus Throw,No medal,Athletics,ATH,True,False
Marta Orellana,F,Argentina,ARG,1996,Atlanta,Athletics,Athletics Women's 800 metres,No medal,Athletics,ATH,False,True
Mara Peralta,F,Argentina,ARG,2012,London,Athletics,Athletics Women's Marathon,No medal,Athletics,ATH,True,True
Mara Peralta,F,Argentina,ARG,2016,Rio de Janeiro,Athletics,Athletics Women's Marathon,No medal,Athletics,ATH,True,False
Ingeborg Pfller,F,Argentina,ARG,1952,Helsinki,Athletics,Athletics Women's Shot Put,No medal,Athletics,ATH,True,True
Ingeborg Pfller,F,Argentina,ARG,1952,Helsinki,Athletics,Athletics Women's Discus Throw,No medal,Athletics,ATH,True,True
Susana Ritchie,F,Argentina,ARG,1964,Tokyo,Athletics,Athletics Women's 200 metres,No medal,Athletics,ATH,True,True
Susana Ritchie,F,Argentina,ARG,1964,Tokyo,Athletics,Athletics Women's 4 x 100 metres Relay,No medal,Athletics,ATH,True,True
Noem Portela,F,Argentina,ARG,1948,London,Athletics,Athletics Women's 100 metres,No medal,Athletics,ATH,True,True
Noem Portela,F,Argentina,ARG,1948,London,Athletics,Athletics Women's 80 metres Hurdles,No medal,Athletics,ATH,True,True
Noem Portela,F,Argentina,ARG,1948,London,Athletics,Athletics Women's Long Jump,Silver,Athletics,ATH,True,True
Sandra Lvarez,F,Argentina,ARG,2004,Athina,Athletics,Athletics Women's Marathon,No medal,Athletics,ATH,False,True
Solange Witteveen,F,Argentina,ARG,2000,Sydney,Athletics,Athletics Women's High Jump,No medal,Athletics,ATH,True,True
Solange Witteveen,F,Argentina,ARG,2004,Athina,Athletics,Athletics Women's High Jump,No medal,Athletics,ATH,True,False
Belen Casetta,F,Argentina,ARG,2020,Tokyo,Athletics,Women's 3000m Steeplechase,No medal,Women's,ATH,True,True
Cristina Gomez,F,Argentina,ARG,2020,Tokyo,Athletics,Women's Marathon,No medal,Women's,ATH,False,True
Florencia Borelli,F,Argentina,ARG,2024,Paris,Athletics,Women's Marathon,No medal,Women's,ATH,False,True
Belen Casetta,F,Argentina,ARG,2024,Paris,Athletics,Women's 3000m Steeplechase,No medal,Women's,ATH,True,False
Daiana Ocampo,F,Argentina,ARG,2024,Paris,Athletics,Women's Marathon,No medal,Women's,ATH,False,True
