Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Santiago Fourcade,M,Argentina,ARG,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,Rugby,RU7,False,True
Nicols Bruzzone,M,Argentina,ARG,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,Rugby,RU7,False,True
Juan Estelles,M,Argentina,ARG,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,Rugby,RU7,False,True
Rodrigo Etchart,M,Argentina,ARG,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,Rugby,RU7,True,True
Bautista Ezcurra,M,Argentina,ARG,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,Rugby,RU7,False,True
Juan Imhoff,M,Argentina,ARG,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,Rugby,RU7,False,True
Fernando Luna,M,Argentina,ARG,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,Rugby,RU7,False,True
Matas Moroni,M,Argentina,ARG,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,Rugby,RU7,False,True
Axel Aranda,M,Argentina,ARG,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,Rugby,RU7,False,True
Gastn Revol,M,Argentina,ARG,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,Rugby,RU7,False,True
Javier Rojas,M,Argentina,ARG,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,Rugby,RU7,False,True
Franco Sbato,M,Argentina,ARG,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,Rugby,RU7,False,True
Germn Schulz,M,Argentina,ARG,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,Rugby,RU7,False,True
Santiago Alvarez,M,Argentina,ARG,2020,Tokyo,Rugby Sevens,Men Team,Bronze,Men,RU7,True,True
Lautaro Bazan,M,Argentina,ARG,2020,Tokyo,Rugby Sevens,Men Team,Bronze,Men,RU7,False,True
Lucio Cinti,M,Argentina,ARG,2020,Tokyo,Rugby Sevens,Men Team,Bronze,Men,RU7,False,True
del Felipe,M,Argentina,ARG,2020,Tokyo,Rugby Sevens,Men Team,Bronze,Men,RU7,False,True
Rodrigo Etchart,M,Argentina,ARG,2020,Tokyo,Rugby Sevens,Men Team,Bronze,Men,RU7,True,False
Luciano Gonzalez,M,Argentina,ARG,2020,Tokyo,Rugby Sevens,Men Team,Bronze,Men,RU7,True,True
Rodrigo Isgro,M,Argentina,ARG,2020,Tokyo,Rugby Sevens,Men Team,Bronze,Men,RU7,True,True
Santiago Mare,M,Argentina,ARG,2020,Tokyo,Rugby Sevens,Men Team,Bronze,Men,RU7,True,True
Ignacio Mendy,M,Argentina,ARG,2020,Tokyo,Rugby Sevens,Men Team,Bronze,Men,RU7,False,True
Marcos Moneta,M,Argentina,ARG,2020,Tokyo,Rugby Sevens,Men Team,Bronze,Men,RU7,True,True
Matias Osadczuk,M,Argentina,ARG,2020,Tokyo,Rugby Sevens,Men Team,Bronze,Men,RU7,True,True
Gaston Revol,M,Argentina,ARG,2020,Tokyo,Rugby Sevens,Men Team,Bronze,Men,RU7,True,True
German Schulz,M,Argentina,ARG,2020,Tokyo,Rugby Sevens,Men Team,Bronze,Men,RU7,True,True
Marcos Moneta,M,Argentina,ARG,2024,Paris,Rugby Sevens,Men,No medal,Men,RU7,True,False
Santiago Vera,M,Argentina,ARG,2024,Paris,Rugby Sevens,Men,No medal,Men,RU7,False,True
Matias Osadczuk,M,Argentina,ARG,2024,Paris,Rugby Sevens,Men,No medal,Men,RU7,True,False
Santiago Alvarez,M,Argentina,ARG,2024,Paris,Rugby Sevens,Men,No medal,Men,RU7,True,False
German Schulz,M,Argentina,ARG,2024,Paris,Rugby Sevens,Men,No medal,Men,RU7,True,False
Joaquin Pellandini,M,Argentina,ARG,2024,Paris,Rugby Sevens,Men,No medal,Men,RU7,False,True
Gaston Revol,M,Argentina,ARG,2024,Paris,Rugby Sevens,Men,No medal,Men,RU7,True,False
Tomas Elizalde,M,Argentina,ARG,2024,Paris,Rugby Sevens,Men,No medal,Men,RU7,False,True
Tobias Wade,M,Argentina,ARG,2024,Paris,Rugby Sevens,Men,No medal,Men,RU7,False,True
Matteo Graziano,M,Argentina,ARG,2024,Paris,Rugby Sevens,Men,No medal,Men,RU7,False,True
Luciano Gonzalez,M,Argentina,ARG,2024,Paris,Rugby Sevens,Men,No medal,Men,RU7,True,False
Agustin Fraga,M,Argentina,ARG,2024,Paris,Rugby Sevens,Men,No medal,Men,RU7,False,True
Rodrigo Isgro,M,Argentina,ARG,2024,Paris,Rugby Sevens,Men,No medal,Men,RU7,True,False
Santiago Mare,M,Argentina,ARG,2024,Paris,Rugby Sevens,Men,No medal,Men,RU7,True,False
