Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Kate Barclay,F,Australia,AUS,2004,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,False
Elizabeth (-thompson),F,Australia,AUS,1984,Los Angeles,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,Canoeing,CSL,False
Katrin Borchert,F,Australia,AUS,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,Canoeing,CSL,True
Katrin Borchert,F,Australia,AUS,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze,Canoeing,CSL,True
Katrin Borchert,F,Australia,AUS,2000,Sydney,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze,Canoeing,CSL,True
Katrin Borchert,F,Australia,AUS,2000,Sydney,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,True
Jo Brigden-jones,F,Australia,AUS,2012,London,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,False
Margaret Buck,F,Australia,AUS,1964,Tokyo,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,Canoeing,CSL,True
Margaret Buck,F,Australia,AUS,1964,Tokyo,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,True
Alyssa Bull,F,Australia,AUS,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,False
Alyce Burnett,F,Australia,AUS,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,False
Edith (-pelluso),F,Australia,AUS,1956,Melbourne,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,Canoeing,CSL,False
Denise Cooper,F,Australia,AUS,1992,Barcelona,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,False
Annemarie Cox-wood,F,Australia,AUS,1992,Barcelona,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,True
Annemarie Cox-wood,F,Australia,AUS,1992,Barcelona,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,True
Annemarie Cox-wood,F,Australia,AUS,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze,Canoeing,CSL,True
Annemarie Cox-wood,F,Australia,AUS,2000,Sydney,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,True
Hannah Davis,F,Australia,AUS,2008,Beijing,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,True
Hannah Davis,F,Australia,AUS,2008,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze,Canoeing,CSL,True
Hannah Davis,F,Australia,AUS,2012,London,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,True
Mia Farrance,F,Australia,AUS,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Singles, Slalom",No medal,Canoeing,CSL,False
Naomi Flood,F,Australia,AUS,2012,London,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,True
Naomi Flood,F,Australia,AUS,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,Canoeing,CSL,True
Lyndsie Fogarty,F,Australia,AUS,2008,Beijing,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,True
Lyndsie Fogarty,F,Australia,AUS,2008,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze,Canoeing,CSL,True
Lyndsie Fogarty,F,Australia,AUS,2012,London,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,True
Lyndsie Fogarty,F,Australia,AUS,2012,London,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,True
Jessica Fox,F,Australia,AUS,2012,London,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver,Canoeing,CSL,True
Jessica Fox,F,Australia,AUS,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Bronze,Canoeing,CSL,True
Paula Harvey,F,Australia,AUS,2004,Athina,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,False
Natalie (wood-),F,Australia,AUS,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,False
Helen Jacobsohn,F,Australia,AUS,1976,Montreal,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,False
Jacqueline Lawrence,F,Australia,AUS,2008,Beijing,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver,Canoeing,CSL,False
Lynda Lehmann,F,Australia,AUS,1992,Barcelona,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,True
Lynda Lehmann,F,Australia,AUS,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,True
Rachel Lovell,F,Australia,AUS,2012,London,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,False
Gayle Mayes,F,Australia,AUS,1992,Barcelona,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,False
Chantal Meek,F,Australia,AUS,2004,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,True
Chantal Meek,F,Australia,AUS,2008,Beijing,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,Canoeing,CSL,True
Chantal Meek,F,Australia,AUS,2008,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze,Canoeing,CSL,True
Louise Natoli,F,Australia,AUS,2004,Athina,Canoeing,"Canoeing Women's Kayak Singles, Slalom",No medal,Canoeing,CSL,False
Cynthia (-nadalin),F,Australia,AUS,1960,Roma,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,False
Alana Nicholls,F,Australia,AUS,2012,London,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",No medal,Canoeing,CSL,True
Alana Nicholls,F,Australia,AUS,2012,London,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,Canoeing,CSL,True
Yanda Nossiter,F,Australia,AUS,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,True
Yanda Nossiter,F,Australia,AUS,2000,Sydney,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,True
Shelley Oates-wilding,F,Australia,AUS,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,True
Shelley Oates-wilding,F,Australia,AUS,2000,Sydney,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,True
Lisa Oldenhof,F,Australia,AUS,2004,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,True
Lisa Oldenhof,F,Australia,AUS,2008,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze,Canoeing,CSL,True
Kerri Randle,F,Australia,AUS,1992,Barcelona,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,True
Kerri Randle,F,Australia,AUS,2000,Sydney,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,True
Amanda Rankin,F,Australia,AUS,2004,Athina,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,Canoeing,CSL,True
Amanda Rankin,F,Australia,AUS,2004,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,True
Hedwig (-beard),F,Australia,AUS,1960,Roma,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,Canoeing,CSL,True
Hedwig (-beard),F,Australia,AUS,1960,Roma,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,True
Amanda Simper,F,Australia,AUS,2000,Sydney,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,False
Susan Tegg,F,Australia,AUS,2004,Athina,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,False
Lynette (-done),F,Australia,AUS,1964,Tokyo,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,False
Susanne (-anderson),F,Australia,AUS,1976,Montreal,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,False
Danielle Woodward,F,Australia,AUS,1992,Barcelona,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver,Canoeing,CSL,True
Danielle Woodward,F,Australia,AUS,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Singles, Slalom",No medal,Canoeing,CSL,True
Danielle Woodward,F,Australia,AUS,2000,Sydney,Canoeing,"Canoeing Women's Kayak Singles, Slalom",No medal,Canoeing,CSL,True
Jessica Fox,F,Australia,AUS,2020,Tokyo,Canoe Slalom,Women's Kayak,Bronze,Women's,CSL,True
Jessica Fox,F,Australia,AUS,2020,Tokyo,Canoe Slalom,Women's Canoe,Gold,Women's,CSL,True
Jessica Fox,F,Australia,AUS,2024,Paris,Canoe Slalom,Women's Canoe Single,Gold,Women's,CSL,True
Jessica Fox,F,Australia,AUS,2024,Paris,Canoe Slalom,Women's Kayak Single,Gold,Women's,CSL,True
Jessica Fox,F,Australia,AUS,2024,Paris,Canoe Slalom,Women's Kayak Cross,No medal,Women's,CSL,True
Noemie Fox,F,Australia,AUS,2024,Paris,Canoe Slalom,Women's Kayak Cross,Gold,Women's,CSL,False
