Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Riley Fitzsimmons,M,Australia,AUS,2020,Tokyo,Canoe Sprint,Men's Kayak Double 1000m Team,No medal,True
Riley Fitzsimmons,M,Australia,AUS,2020,Tokyo,Canoe Sprint,Men's Kayak Four 500m Team,No medal,True
Thomas Green,M,Australia,AUS,2020,Tokyo,Canoe Sprint,Men's Kayak Single 1000m,No medal,True
Thomas Green,M,Australia,AUS,2020,Tokyo,Canoe Sprint,Men's Kayak Double 1000m Team,Gold,True
Murray Stewart,M,Australia,AUS,2020,Tokyo,Canoe Sprint,Men's Kayak Four 500m Team,No medal,False
Lachlan Tame,M,Australia,AUS,2020,Tokyo,Canoe Sprint,Men's Kayak Four 500m Team,No medal,False
van Jean,M,Australia,AUS,2020,Tokyo,Canoe Sprint,Men's Kayak Single 1000m,No medal,True
van Jean,M,Australia,AUS,2020,Tokyo,Canoe Sprint,Men's Kayak Double 1000m Team,Gold,True
Jordan Wood,M,Australia,AUS,2020,Tokyo,Canoe Sprint,Men's Kayak Double 1000m Team,No medal,True
Jordan Wood,M,Australia,AUS,2020,Tokyo,Canoe Sprint,Men's Kayak Four 500m Team,No medal,True
Jackson Collins,M,Australia,AUS,2024,Paris,Canoe Sprint,Men's Kayak Four 500m,Silver,False
van Jean,M,Australia,AUS,2024,Paris,Canoe Sprint,Men's Kayak Double 500m,Bronze,True
Noah Havard,M,Australia,AUS,2024,Paris,Canoe Sprint,Men's Kayak Four 500m,Silver,False
van Pierre,M,Australia,AUS,2024,Paris,Canoe Sprint,Men's Kayak Four 500m,Silver,False
Riley Fitzsimmons,M,Australia,AUS,2024,Paris,Canoe Sprint,Men's Kayak Four 500m,Silver,True
Tom Green,M,Australia,AUS,2024,Paris,Canoe Sprint,Men's Kayak Single 1000m,No medal,True
Tom Green,M,Australia,AUS,2024,Paris,Canoe Sprint,Men's Kayak Double 500m,Bronze,True
