Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Timothy Amitrano,M,Australia,AUS,2004,Athina,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,False
Kevin Bacon,M,Australia,AUS,1964,Tokyo,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,True
Kevin Bacon,M,Australia,AUS,1964,Tokyo,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal,True
Kevin Bacon,M,Australia,AUS,1968,Mexico City,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,True
Kevin Bacon,M,Australia,AUS,1968,Mexico City,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal,True
Kevin Bacon,M,Australia,AUS,1976,Montreal,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,True
Kevin Bacon,M,Australia,AUS,1976,Montreal,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal,True
Ernest Barker,M,Australia,AUS,1956,Stockholm,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",No medal,True
Ernest Barker,M,Australia,AUS,1956,Stockholm,Equestrianism,"Equestrianism Men's Three-Day Event, Team",No medal,True
Mervyn Bennett,M,Australia,AUS,1976,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Mervyn Bennett,M,Australia,AUS,1976,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze,True
Mervyn Bennett,M,Australia,AUS,1984,Los Angeles,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Mervyn Bennett,M,Australia,AUS,1984,Los Angeles,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No medal,True
Geoffrey Bloomfield,M,Australia,AUS,2000,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,True
Geoffrey Bloomfield,M,Australia,AUS,2000,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal,True
Rodney Brown,M,Australia,AUS,1988,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,True
Rodney Brown,M,Australia,AUS,1988,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal,True
Christopher Burton,M,Australia,AUS,2012,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Christopher Burton,M,Australia,AUS,2012,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No medal,True
Christopher Burton,M,Australia,AUS,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Christopher Burton,M,Australia,AUS,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze,True
Samuel Campbell,M,Australia,AUS,1968,Mexico City,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,True
Samuel Campbell,M,Australia,AUS,1968,Mexico City,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal,True
Gavin Chester,M,Australia,AUS,2000,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,True
Gavin Chester,M,Australia,AUS,2000,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal,True
Brien Cobcroft,M,Australia,AUS,1964,Tokyo,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Brien Cobcroft,M,Australia,AUS,1964,Tokyo,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No medal,True
Brien Cobcroft,M,Australia,AUS,1968,Mexico City,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Brien Cobcroft,M,Australia,AUS,1968,Mexico City,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze,True
Jamie Coman,M,Australia,AUS,2000,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,True
Jamie Coman,M,Australia,AUS,2000,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal,True
David Cooper,M,Australia,AUS,1996,Atlanta,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,True
