Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Michaela Bornemann,F,Austria,AUT,1992,Barcelona,Judo,Judo Women's Extra-Lightweight,No medal,Judo,JUD,False,True
Hilde Drexler,F,Austria,AUT,2012,London,Judo,Judo Women's Half-Middleweight,No medal,Judo,JUD,False,True
Barbara Eck,F,Austria,AUT,1992,Barcelona,Judo,Judo Women's Lightweight,No medal,Judo,JUD,False,True
Sabrina Filzmoser,F,Austria,AUT,2008,Beijing,Judo,Judo Women's Lightweight,No medal,Judo,JUD,True,True
Sabrina Filzmoser,F,Austria,AUT,2012,London,Judo,Judo Women's Lightweight,No medal,Judo,JUD,True,False
Sabrina Filzmoser,F,Austria,AUT,2016,Rio de Janeiro,Judo,Judo Women's Lightweight,No medal,Judo,JUD,True,False
Bernadette Graf,F,Austria,AUT,2016,Rio de Janeiro,Judo,Judo Women's Middleweight,No medal,Judo,JUD,True,True
Claudia Heill,F,Austria,AUT,2004,Athina,Judo,Judo Women's Half-Middleweight,Silver,Judo,JUD,True,True
Claudia Heill,F,Austria,AUT,2008,Beijing,Judo,Judo Women's Half-Middleweight,No medal,Judo,JUD,True,False
Susanne Profanter,F,Austria,AUT,1992,Barcelona,Judo,Judo Women's Half-Middleweight,No medal,Judo,JUD,False,True
Mariela Spacek,F,Austria,AUT,1996,Atlanta,Judo,Judo Women's Middleweight,No medal,Judo,JUD,False,True
Kathrin Unterwurzacher,F,Austria,AUT,2016,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,No medal,Judo,JUD,False,True
Sabrina Filzmoser,F,Austria,AUT,2020,Tokyo,Judo,Women -57 kg,No medal,Women,JUD,True,False
Bernadette Graf,F,Austria,AUT,2020,Tokyo,Judo,Women -78 kg,No medal,Women,JUD,True,False
Magdalena Krssakova,F,Austria,AUT,2020,Tokyo,Judo,Women -63 kg,No medal,Women,JUD,False,True
Michaela Polleres,F,Austria,AUT,2020,Tokyo,Judo,Women -70 kg,Silver,Women,JUD,True,True
Lubjana Piovesana,F,Austria,AUT,2024,Paris,Judo,Women -63 kg,No medal,Women,JUD,True,True
Lubjana Piovesana,F,Austria,AUT,2024,Paris,Judo,Mixed Team,No medal,Mixed,JUD,True,True
Michaela Polleres,F,Austria,AUT,2024,Paris,Judo,Women -70 kg,Bronze,Women,JUD,True,False
Michaela Polleres,F,Austria,AUT,2024,Paris,Judo,Mixed Team,No medal,Mixed,JUD,True,False
Katharina Tanzer,F,Austria,AUT,2024,Paris,Judo,Women -48 kg,No medal,Women,JUD,True,True
Katharina Tanzer,F,Austria,AUT,2024,Paris,Judo,Mixed Team,No medal,Mixed,JUD,True,True
