Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Gottfried Anglberger,M,Austria,AUT,1952,Helsinki,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",No medal,False
Rudolf Arnold,M,Austria,AUT,1906,Athina,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",No medal,False
Josef-Georg Auer,M,Austria,AUT,1988,Seoul,Wrestling,"Wrestling Men's Bantamweight, Freestyle",No medal,False
Karl Barl,M,Austria,AUT,1912,Stockholm,Wrestling,"Wrestling Men's Middleweight B, Greco-Roman",No medal,False
Henri Baur,M,Austria,AUT,1906,Athina,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver,False
Franz Berger,M,Austria,AUT,1960,Roma,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",No medal,True
Franz Berger,M,Austria,AUT,1960,Roma,Wrestling,"Wrestling Men's Welterweight, Freestyle",No medal,True
Franz Berger,M,Austria,AUT,1964,Tokyo,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",No medal,True
Franz Berger,M,Austria,AUT,1968,Mexico City,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",No medal,True
Franz Berger,M,Austria,AUT,1972,Munich,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",No medal,True
Sidney Bergmann,M,Austria,AUT,1924,Paris,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",No medal,False
Bartholomus Brtzner,M,Austria,AUT,1980,Moskva,Wrestling,"Wrestling Men's Welterweight, Freestyle",No medal,True
Bartholomus Brtzner,M,Austria,AUT,1952,Helsinki,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",No medal,True
Bartholomus Brtzner,M,Austria,AUT,1956,Melbourne,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",No medal,True
Bartholomus Brtzner,M,Austria,AUT,1960,Roma,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",No medal,True
Josef Brtzner,M,Austria,AUT,1972,Munich,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",No medal,False
Franz Brunner,M,Austria,AUT,1952,Helsinki,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",No medal,True
Franz Brunner,M,Austria,AUT,1956,Melbourne,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",No medal,True
Franz Brunner,M,Austria,AUT,1960,Roma,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",No medal,True
Josef Buemberger,M,Austria,AUT,1936,Berlin,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",No medal,False
Gnter Busarello,M,Austria,AUT,1980,Moskva,Wrestling,"Wrestling Men's Middleweight, Freestyle",No medal,True
Gnter Busarello,M,Austria,AUT,1984,Los Angeles,Wrestling,"Wrestling Men's Middleweight, Freestyle",No medal,True
Lubos Cikel,M,Austria,AUT,2004,Athina,Wrestling,"Wrestling Men's Lightweight, Freestyle",No medal,False
Kurt Elias,M,Austria,AUT,1948,London,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",No medal,False
Peter Enzinger,M,Austria,AUT,1948,London,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",No medal,False
Erich Fincsus,M,Austria,AUT,1936,Berlin,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",No medal,False
