Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Viktor Budantsev,M,Belarus,BLR,1996,Atlanta,Sailing,Sailing Mixed Multihull,No medal,False
Sergey Desyukevich,M,Belarus,BLR,2008,Beijing,Sailing,Sailing Men's Two Person Dinghy,No medal,False
Igor Ivashintsov,M,Belarus,BLR,2000,Sydney,Sailing,Sailing Men's Two Person Dinghy,No medal,False
Sergey Khoretsky,M,Belarus,BLR,1996,Atlanta,Sailing,Sailing Mixed Two Person Keelboat,No medal,False
Sergey Kravtsov,M,Belarus,BLR,1996,Atlanta,Sailing,Sailing Mixed Multihull,No medal,False
Pavel Logunov,M,Belarus,BLR,2008,Beijing,Sailing,Sailing Men's Two Person Dinghy,No medal,False
Aleksandr Mumyga,M,Belarus,BLR,2000,Sydney,Sailing,Sailing Mixed One Person Dinghy,No medal,False
Mikhail Protasevich,M,Belarus,BLR,2000,Sydney,Sailing,Sailing Men's Two Person Dinghy,No medal,False
Nikita Tsirkun,M,Belarus,BLR,2016,Rio de Janeiro,Sailing,Sailing Men's Windsurfer,No medal,False
Aleksandr Zelenovsky,M,Belarus,BLR,1996,Atlanta,Sailing,Sailing Mixed One Person Dinghy,No medal,False
Nikolay Zhukovets,M,Belarus,BLR,2008,Beijing,Sailing,Sailing Men's Windsurfer,No medal,True
Nikolay Zhukovets,M,Belarus,BLR,2012,London,Sailing,Sailing Men's Windsurfer,No medal,True
Vladimir Zuyev,M,Belarus,BLR,1996,Atlanta,Sailing,Sailing Mixed Two Person Keelboat,No medal,False
Mikita Tsirkun,M,Belarus,BLR,2020,Tokyo,Sailing,Men's Windsurfer - RS:X,No medal,False
