Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Dsir Acket,M,Belgium,BEL,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal,True
Dsir Acket,M,Belgium,BEL,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal,True
Jean-Ado Baltus,M,Belgium,BEL,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal,True
Jean-Ado Baltus,M,Belgium,BEL,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal,True
Jean-Ado Baltus,M,Belgium,BEL,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal,True
Jean-Ado Baltus,M,Belgium,BEL,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal,True
Georges-Marie Baltus,M,Belgium,BEL,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal,False
Julius Bernaerts,M,Belgium,BEL,1936,Berlin,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",No medal,False
Mauritius Bladel,M,Belgium,BEL,1920,Antwerpen,Art Competitions,Art Competitions Mixed Literature,Bronze,False
Jan Boedts,M,Belgium,BEL,1936,Berlin,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",No medal,False
Lodew Bosscke,M,Belgium,BEL,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal,False
Maurice Carme,M,Belgium,BEL,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Literature, Epic Works",No medal,False
Peter Colfs,M,Belgium,BEL,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal,False
Jean Collard,M,Belgium,BEL,1936,Berlin,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",No medal,False
Albric Collin,M,Belgium,BEL,1920,Antwerpen,Art Competitions,Art Competitions Mixed Sculpturing,Gold,False
Andr Collin,M,Belgium,BEL,1912,Stockholm,Art Competitions,Art Competitions Mixed Architecture,No medal,False
Joseph Conrardy,M,Belgium,BEL,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal,False
Ren Daemen,M,Belgium,BEL,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",No medal,False
Daemers,M,Belgium,BEL,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",No medal,False
Paul Daxhelet,M,Belgium,BEL,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal,True
Paul Daxhelet,M,Belgium,BEL,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal,True
Paul Daxhelet,M,Belgium,BEL,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal,True
Paul Daxhelet,M,Belgium,BEL,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal,True
Paul Daxhelet,M,Belgium,BEL,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal,True
Paul Daxhelet,M,Belgium,BEL,1948,London,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal,True
Paul Daxhelet,M,Belgium,BEL,1948,London,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal,True
Paul Daxhelet,M,Belgium,BEL,1948,London,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal,True
