Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Georges Anthony,M,Belgium,BEL,1928,Amsterdam,Rowing,Rowing Men's Coxed Pairs,Bronze,Rowing,ROW,True,True
Georges Anthony,M,Belgium,BEL,1928,Amsterdam,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,True,True
Robert Baetens,M,Belgium,BEL,1952,Helsinki,Rowing,Rowing Men's Coxless Pairs,Silver,Rowing,ROW,True,True
Robert Baetens,M,Belgium,BEL,1956,Melbourne,Rowing,Rowing Men's Coxless Pairs,No medal,Rowing,ROW,True,False
Jean Bauwens,M,Belgium,BEL,1928,Amsterdam,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,False,True
Roland Bollenberg,M,Belgium,BEL,1960,Roma,Rowing,Rowing Men's Coxed Pairs,No medal,Rowing,ROW,False,True
Lucien Brouha,M,Belgium,BEL,1924,Paris,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,False,True
Florent Caers,M,Belgium,BEL,1952,Helsinki,Rowing,Rowing Men's Coxless Fours,No medal,Rowing,ROW,False,True
Danil Clarembaux,M,Belgium,BEL,1920,Antwerpen,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False,True
Willy Collet,M,Belgium,BEL,1936,Berlin,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,True,True
Willy Collet,M,Belgium,BEL,1948,London,Rowing,Rowing Men's Double Sculls,No medal,Rowing,ROW,True,False
Jules Crickx,M,Belgium,BEL,1920,Antwerpen,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False,True
Julien Crickx,M,Belgium,BEL,1920,Antwerpen,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False,True
Dirk Crois,M,Belgium,BEL,1984,Los Angeles,Rowing,Rowing Men's Double Sculls,Silver,Rowing,ROW,True,True
Dirk Crois,M,Belgium,BEL,1988,Seoul,Rowing,Rowing Men's Single Sculls,No medal,Rowing,ROW,True,False
Dirk Crois,M,Belgium,BEL,1992,Barcelona,Rowing,Rowing Men's Quadruple Sculls,No medal,Rowing,ROW,True,False
Philippe Cuelenaere,M,Belgium,BEL,1984,Los Angeles,Rowing,Rowing Men's Coxed Pairs,No medal,Rowing,ROW,False,True
Arthur D'anvers,M,Belgium,BEL,1924,Paris,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False,True
Franois Coninck,M,Belgium,BEL,1928,Amsterdam,Rowing,Rowing Men's Coxed Pairs,Bronze,Rowing,ROW,False,True
Gerard Gezelle,M,Belgium,BEL,1924,Paris,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False,True
R. Landtsheere,M,Belgium,BEL,1924,Paris,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False,True
Michel Meulemeester,M,Belgium,BEL,1964,Tokyo,Rowing,Rowing Men's Double Sculls,No medal,Rowing,ROW,False,True
Gustave Mulder,M,Belgium,BEL,1920,Antwerpen,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False,True
Jean Rode,M,Belgium,BEL,1936,Berlin,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,False,True
Paul Weert,M,Belgium,BEL,1972,Munich,Rowing,Rowing Men's Coxed Pairs,No medal,Rowing,ROW,True,True
Paul Weert,M,Belgium,BEL,1976,Montreal,Rowing,Rowing Men's Coxless Fours,No medal,Rowing,ROW,True,False
Frank Dedecker,M,Belgium,BEL,1976,Montreal,Rowing,Rowing Men's Coxless Fours,No medal,Rowing,ROW,False,True
Guy Defraigne,M,Belgium,BEL,1972,Munich,Rowing,Rowing Men's Coxed Pairs,No medal,Rowing,ROW,True,True
Guy Defraigne,M,Belgium,BEL,1984,Los Angeles,Rowing,Rowing Men's Coxed Pairs,No medal,Rowing,ROW,True,False
William Defraigne,M,Belgium,BEL,1984,Los Angeles,Rowing,Rowing Men's Coxed Pairs,No medal,Rowing,ROW,False,True
Claude Dehombreux,M,Belgium,BEL,1968,Mexico City,Rowing,Rowing Men's Single Sculls,No medal,Rowing,ROW,True,True
Claude Dehombreux,M,Belgium,BEL,1972,Munich,Rowing,Rowing Men's Double Sculls,No medal,Rowing,ROW,True,False
Claude Dehombreux,M,Belgium,BEL,1976,Montreal,Rowing,Rowing Men's Single Sculls,No medal,Rowing,ROW,True,False
Pierre-Marie Deloof,M,Belgium,BEL,1984,Los Angeles,Rowing,Rowing Men's Double Sculls,Silver,Rowing,ROW,False,True
Maurice Delplanck,M,Belgium,BEL,1928,Amsterdam,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,False,True
Robert Demulder,M,Belgium,BEL,1920,Antwerpen,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,False,True
Victor Denis,M,Belgium,BEL,1924,Paris,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,True,True
Victor Denis,M,Belgium,BEL,1928,Amsterdam,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,True,False
Alphonse Dewette,M,Belgium,BEL,1924,Paris,Rowing,Rowing Men's Coxed Pairs,No medal,Rowing,ROW,True,True
Alphonse Dewette,M,Belgium,BEL,1928,Amsterdam,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,True,False
Adrien D'hondt,M,Belgium,BEL,1920,Antwerpen,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,False,True
Arnaud Duchesne,M,Belgium,BEL,2000,Sydney,Rowing,Rowing Men's Quadruple Sculls,No medal,Rowing,ROW,False,True
Hendrik Elzendoorn,M,Belgium,BEL,1952,Helsinki,Rowing,Rowing Men's Coxless Fours,No medal,Rowing,ROW,False,True
Lon Flament,M,Belgium,BEL,1928,Amsterdam,Rowing,Rowing Men's Coxed Pairs,Bronze,Rowing,ROW,False,True
Eugne Gabriels,M,Belgium,BEL,1924,Paris,Rowing,Rowing Men's Coxed Pairs,No medal,Rowing,ROW,False,True
August Geinger,M,Belgium,BEL,1924,Paris,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False,True
Robert George,M,Belgium,BEL,1952,Helsinki,Rowing,Rowing Men's Double Sculls,No medal,Rowing,ROW,False,True
Jules Georges,M,Belgium,BEL,1924,Paris,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,False,True
Justin Gevaert,M,Belgium,BEL,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal,Rowing,ROW,False,True
Johan Ghoos,M,Belgium,BEL,1976,Montreal,Rowing,Rowing Men's Coxless Fours,No medal,Rowing,ROW,False,True
Luc Goiris,M,Belgium,BEL,1992,Barcelona,Rowing,Rowing Men's Coxless Pairs,No medal,Rowing,ROW,True,True
