Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
DeVon Bean,M,Bermuda,BER,1996,Atlanta,Athletics,Athletics Men's 100 metres,No medal,Athletics,ATH,False
Calvin Dill,M,Bermuda,BER,1976,Montreal,Athletics,Athletics Men's 200 metres,No medal,Athletics,ATH,True
Calvin Dill,M,Bermuda,BER,1976,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,Athletics,ATH,True
Florentus Dill,M,Bermuda,BER,1948,London,Athletics,Athletics Men's 200 metres,No medal,Athletics,ATH,True
Florentus Dill,M,Bermuda,BER,1948,London,Athletics,Athletics Men's 400 metres,No medal,Athletics,ATH,True
Florentus Dill,M,Bermuda,BER,1948,London,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,Athletics,ATH,True
Troy Douglas,M,Bermuda,BER,1988,Seoul,Athletics,Athletics Men's 200 metres,No medal,Athletics,ATH,True
Troy Douglas,M,Bermuda,BER,1988,Seoul,Athletics,Athletics Men's 400 metres,No medal,Athletics,ATH,True
Troy Douglas,M,Bermuda,BER,1992,Barcelona,Athletics,Athletics Men's 400 metres,No medal,Athletics,ATH,True
Troy Douglas,M,Bermuda,BER,1996,Atlanta,Athletics,Athletics Men's 200 metres,No medal,Athletics,ATH,True
Troy Douglas,M,Bermuda,BER,1996,Atlanta,Athletics,Athletics Men's 400 metres,No medal,Athletics,ATH,True
Clark Godwin,M,Bermuda,BER,1976,Montreal,Athletics,Athletics Men's High Jump,No medal,Athletics,ATH,False
Anthony Harper,M,Bermuda,BER,1968,Mexico City,Athletics,Athletics Men's 400 metres,No medal,Athletics,ATH,False
Harold Houston,M,Bermuda,BER,2016,Rio de Janeiro,Athletics,Athletics Men's 200 metres,No medal,Athletics,ATH,False
Xavier James,M,Bermuda,BER,2004,Athina,Athletics,Athletics Men's 100 metres,No medal,Athletics,ATH,False
Perry Johnson,M,Bermuda,BER,1948,London,Athletics,Athletics Men's 100 metres,No medal,Athletics,ATH,True
Perry Johnson,M,Bermuda,BER,1948,London,Athletics,Athletics Men's 200 metres,No medal,Athletics,ATH,True
Perry Johnson,M,Bermuda,BER,1948,London,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,Athletics,ATH,True
Stanley Lines,M,Bermuda,BER,1948,London,Athletics,Athletics Men's 100 metres,No medal,Athletics,ATH,True
