Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Ivan Apostolov,M,Bulgaria,BUL,1968,Mexico City,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,True,True
Ivan Apostolov,M,Bulgaria,BUL,1968,Mexico City,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,Modern,MPN,True,True
Stefan Asenov,M,Bulgaria,BUL,1992,Barcelona,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,False,True
Borislav Batikov,M,Bulgaria,BUL,1980,Moskva,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,True,True
Borislav Batikov,M,Bulgaria,BUL,1980,Moskva,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,Modern,MPN,True,True
Velichko Bratanov,M,Bulgaria,BUL,1972,Munich,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,True,True
Velichko Bratanov,M,Bulgaria,BUL,1972,Munich,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,Modern,MPN,True,True
Velichko Bratanov,M,Bulgaria,BUL,1976,Montreal,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,True,False
Velichko Bratanov,M,Bulgaria,BUL,1976,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,Modern,MPN,True,False
Valentin Dzhavelkov,M,Bulgaria,BUL,1992,Barcelona,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,False,True
Tsanko Khantov,M,Bulgaria,BUL,2000,Sydney,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,False,True
Dimitar Krastanov,M,Bulgaria,BUL,2016,Rio de Janeiro,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,False,True
Simeon Monev,M,Bulgaria,BUL,1980,Moskva,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,True,True
Simeon Monev,M,Bulgaria,BUL,1980,Moskva,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,Modern,MPN,True,True
Nikolay Nikolov,M,Bulgaria,BUL,1976,Montreal,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,True,True
Nikolay Nikolov,M,Bulgaria,BUL,1976,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,Modern,MPN,True,True
Nikolay Nikolov,M,Bulgaria,BUL,1980,Moskva,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,True,False
Nikolay Nikolov,M,Bulgaria,BUL,1980,Moskva,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,Modern,MPN,True,False
Antoni Panyovski,M,Bulgaria,BUL,1968,Mexico City,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,True,True
Antoni Panyovski,M,Bulgaria,BUL,1968,Mexico City,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,Modern,MPN,True,True
Angel Pepelyankov,M,Bulgaria,BUL,1972,Munich,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,True,True
Angel Pepelyankov,M,Bulgaria,BUL,1972,Munich,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,Modern,MPN,True,True
Konstantin Sardzhev,M,Bulgaria,BUL,1968,Mexico City,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,True,True
Konstantin Sardzhev,M,Bulgaria,BUL,1968,Mexico City,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,Modern,MPN,True,True
Georgi Stoyanov,M,Bulgaria,BUL,1972,Munich,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,True,True
Georgi Stoyanov,M,Bulgaria,BUL,1972,Munich,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,Modern,MPN,True,True
Stoyan Zlatev,M,Bulgaria,BUL,1976,Montreal,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,True,True
Stoyan Zlatev,M,Bulgaria,BUL,1976,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,Modern,MPN,True,True
Todor Mihalev,M,Bulgaria,BUL,2024,Paris,Modern Pentathlon,Men's Individual,No medal,Men's,MPN,False,True
