Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Khristo Aleksandrov,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Coxed Fours,No medal,False
Rumen Aleksiev,M,Bulgaria,BUL,1988,Seoul,Rowing,Rowing Men's Coxed Eights,No medal,False
Atanas Andreev,M,Bulgaria,BUL,1988,Seoul,Rowing,Rowing Men's Coxed Pairs,No medal,False
Georgi Atanasov,M,Bulgaria,BUL,1968,Mexico City,Rowing,Rowing Men's Coxed Pairs,No medal,False
Ivaylo Banchev,M,Bulgaria,BUL,1992,Barcelona,Rowing,Rowing Men's Double Sculls,No medal,True
Ivaylo Banchev,M,Bulgaria,BUL,1992,Barcelona,Rowing,Rowing Men's Coxed Pairs,No medal,True
Emil Bondev,M,Bulgaria,BUL,1988,Seoul,Rowing,Rowing Men's Coxed Eights,No medal,False
Ivan Botev,M,Bulgaria,BUL,1976,Montreal,Rowing,Rowing Men's Coxed Fours,No medal,True
Ivan Botev,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Coxed Eights,No medal,True
Biser Boyadzhiev,M,Bulgaria,BUL,1972,Munich,Rowing,Rowing Men's Coxless Fours,No medal,False
Lachezar Boychev,M,Bulgaria,BUL,1976,Montreal,Rowing,Rowing Men's Coxed Fours,No medal,True
Lachezar Boychev,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Coxless Fours,No medal,True
Georgi Bozhilov,M,Bulgaria,BUL,2016,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,No medal,False
Yordan Danchev,M,Bulgaria,BUL,1992,Barcelona,Rowing,Rowing Men's Double Sculls,No medal,True
Yordan Danchev,M,Bulgaria,BUL,1992,Barcelona,Rowing,Rowing Men's Coxed Pairs,No medal,True
Bogdan Dobrev,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Quadruple Sculls,Bronze,False
Nenko Dobrev,M,Bulgaria,BUL,1972,Munich,Rowing,Rowing Men's Coxed Pairs,No medal,True
Nenko Dobrev,M,Bulgaria,BUL,1976,Montreal,Rowing,Rowing Men's Coxed Fours,No medal,True
Nenko Dobrev,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Coxed Fours,No medal,True
Yuri Dyulgerov,M,Bulgaria,BUL,1988,Seoul,Rowing,Rowing Men's Coxed Eights,No medal,False
Ivo Gelov,M,Bulgaria,BUL,1988,Seoul,Rowing,Rowing Men's Coxed Eights,No medal,False
Georgi Georgiev,M,Bulgaria,BUL,1976,Montreal,Rowing,Rowing Men's Coxless Pairs,No medal,True
Georgi Georgiev,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Coxless Fours,No medal,True
Vilkhelm Germanov,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Coxed Fours,No medal,False
Eftim Gerzilov,M,Bulgaria,BUL,1976,Montreal,Rowing,Rowing Men's Quadruple Sculls,No medal,False
Emil Groytsev,M,Bulgaria,BUL,1988,Seoul,Rowing,Rowing Men's Coxed Pairs,No medal,False
Yani Ignatov,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Coxed Eights,No medal,False
Dimitar Kamburski,M,Bulgaria,BUL,1988,Seoul,Rowing,Rowing Men's Coxed Eights,No medal,False
Ventseslav Kanchev,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Coxed Eights,No medal,True
Ventseslav Kanchev,M,Bulgaria,BUL,1988,Seoul,Rowing,Rowing Men's Coxed Eights,No medal,True
Stoyko Khadilev,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Double Sculls,No medal,False
Metodi Khalvadzhiski,M,Bulgaria,BUL,1972,Munich,Rowing,Rowing Men's Coxless Fours,No medal,False
Rumen Khristov,M,Bulgaria,BUL,1976,Montreal,Rowing,Rowing Men's Coxed Pairs,No medal,True
Rumen Khristov,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Coxed Pairs,No medal,True
Rumyan Khristov,M,Bulgaria,BUL,1976,Montreal,Rowing,Rowing Men's Coxless Fours,No medal,False
Kiril Kirchev,M,Bulgaria,BUL,1976,Montreal,Rowing,Rowing Men's Coxed Fours,No medal,True
Kiril Kirchev,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Coxless Fours,No medal,True
Todor Kishev,M,Bulgaria,BUL,1976,Montreal,Rowing,Rowing Men's Coxed Pairs,No medal,True
Todor Kishev,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Coxed Pairs,No medal,True
Nikolay Kolev,M,Bulgaria,BUL,1996,Atlanta,Rowing,Rowing Men's Coxless Pairs,No medal,True
Nikolay Kolev,M,Bulgaria,BUL,1972,Munich,Rowing,Rowing Men's Coxless Fours,No medal,True
Nacho Minchev,M,Bulgaria,BUL,1976,Montreal,Rowing,Rowing Men's Coxed Fours,No medal,False
Todor Mrankov,M,Bulgaria,BUL,1976,Montreal,Rowing,Rowing Men's Coxless Fours,No medal,True
Todor Mrankov,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Coxed Eights,No medal,True
Georgi Nikolov,M,Bulgaria,BUL,1968,Mexico City,Rowing,Rowing Men's Coxed Pairs,No medal,False
Mincho Nikolov,M,Bulgaria,BUL,1976,Montreal,Rowing,Rowing Men's Quadruple Sculls,No medal,True
Mincho Nikolov,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Quadruple Sculls,Bronze,True
Orlin Ninov,M,Bulgaria,BUL,1996,Atlanta,Rowing,Rowing Men's Coxless Pairs,No medal,False
Petar Patsev,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Coxed Eights,No medal,False
Georgi Petkov,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Coxed Fours,No medal,False
Tsvetan Petkov,M,Bulgaria,BUL,1976,Montreal,Rowing,Rowing Men's Coxed Pairs,No medal,True
Tsvetan Petkov,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Coxed Pairs,No medal,True
Dimitar Petrov,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Double Sculls,No medal,False
Lyubomir Petrov,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Quadruple Sculls,Bronze,False
Mikhail Petrov,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Coxed Eights,No medal,False
Chavdar Radev,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Single Sculls,No medal,False
Vasil Radev,M,Bulgaria,BUL,1988,Seoul,Rowing,Rowing Men's Double Sculls,No medal,False
Bozhidar Rangelov,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Coxed Eights,No medal,False
Ivo Rusev,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Quadruple Sculls,Bronze,False
Veselin Shterev,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Coxed Eights,No medal,False
Veselin Staevski,M,Bulgaria,BUL,1968,Mexico City,Rowing,Rowing Men's Coxed Pairs,No medal,False
Ivan Stanev,M,Bulgaria,BUL,1988,Seoul,Rowing,Rowing Men's Coxed Eights,No medal,False
Valentin Stoev,M,Bulgaria,BUL,1976,Montreal,Rowing,Rowing Men's Coxless Pairs,No medal,True
Valentin Stoev,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Coxless Fours,No medal,True
Stoyan Stoyanov,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Coxed Fours,No medal,False
Stefan Stoykov,M,Bulgaria,BUL,1988,Seoul,Rowing,Rowing Men's Coxed Pairs,No medal,True
Stefan Stoykov,M,Bulgaria,BUL,1992,Barcelona,Rowing,Rowing Men's Coxed Pairs,No medal,True
Dimitar Tonchev,M,Bulgaria,BUL,1988,Seoul,Rowing,Rowing Men's Coxed Eights,No medal,False
Yordan Valchev,M,Bulgaria,BUL,1968,Mexico City,Rowing,Rowing Men's Double Sculls,No medal,True
Yordan Valchev,M,Bulgaria,BUL,1972,Munich,Rowing,Rowing Men's Single Sculls,No medal,True
Yordan Valchev,M,Bulgaria,BUL,1976,Montreal,Rowing,Rowing Men's Quadruple Sculls,No medal,True
Dimitar Valov,M,Bulgaria,BUL,1972,Munich,Rowing,Rowing Men's Coxed Pairs,No medal,True
Dimitar Valov,M,Bulgaria,BUL,1976,Montreal,Rowing,Rowing Men's Coxless Fours,No medal,True
Borislav Vasilev,M,Bulgaria,BUL,1972,Munich,Rowing,Rowing Men's Coxless Fours,No medal,False
Kristian Vasilev,M,Bulgaria,BUL,2016,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,No medal,True
Dimitar Yanakiev,M,Bulgaria,BUL,1972,Munich,Rowing,Rowing Men's Coxed Pairs,No medal,True
Dimitar Yanakiev,M,Bulgaria,BUL,1976,Montreal,Rowing,Rowing Men's Coxless Fours,No medal,True
Dimitar Yanakiev,M,Bulgaria,BUL,1980,Moskva,Rowing,Rowing Men's Coxed Eights,No medal,True
Ivo Yanakiev,M,Bulgaria,BUL,2000,Sydney,Rowing,Rowing Men's Single Sculls,No medal,True
Ivo Yanakiev,M,Bulgaria,BUL,2004,Athina,Rowing,Rowing Men's Single Sculls,Bronze,True
Ivo Yanakiev,M,Bulgaria,BUL,2008,Beijing,Rowing,Rowing Men's Double Sculls,No medal,True
Martin Yanakiev,M,Bulgaria,BUL,2008,Beijing,Rowing,Rowing Men's Double Sculls,No medal,False
Daniel Yordanov,M,Bulgaria,BUL,1988,Seoul,Rowing,Rowing Men's Double Sculls,No medal,False
Atanas Zhelev,M,Bulgaria,BUL,1968,Mexico City,Rowing,Rowing Men's Double Sculls,No medal,False
Khristo Zhelev,M,Bulgaria,BUL,1976,Montreal,Rowing,Rowing Men's Quadruple Sculls,No medal,False
Nikola Zlatanov,M,Bulgaria,BUL,1988,Seoul,Rowing,Rowing Men's Coxed Eights,No medal,False
Kristian Vasilev,M,Bulgaria,BUL,2024,Paris,Rowing,Men's Single Sculls,No medal,True
