Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Ivan Abadzhiev,M,Bulgaria,BUL,1956,Melbourne,Weightlifting,Weightlifting Men's Lightweight,No medal,Weightlifting,WLF,True
Ivan Abadzhiev,M,Bulgaria,BUL,1960,Roma,Weightlifting,Weightlifting Men's Middleweight,No medal,Weightlifting,WLF,True
Mikhail Abadzhiev,M,Bulgaria,BUL,1960,Roma,Weightlifting,Weightlifting Men's Middleweight,No medal,Weightlifting,WLF,False
Rumen Aleksandrov,M,Bulgaria,BUL,1980,Moskva,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver,Weightlifting,WLF,False
Plamen Asparukhov,M,Bulgaria,BUL,1980,Moskva,Weightlifting,Weightlifting Men's Heavyweight I,No medal,Weightlifting,WLF,False
Yordan Bikov,M,Bulgaria,BUL,1972,Munich,Weightlifting,Weightlifting Men's Middleweight,Gold,Weightlifting,WLF,False
Blagoy Blagoev,M,Bulgaria,BUL,1976,Montreal,Weightlifting,Weightlifting Men's Light-Heavyweight,No medal,Weightlifting,WLF,True
Blagoy Blagoev,M,Bulgaria,BUL,1980,Moskva,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver,Weightlifting,WLF,True
Galabin Boevski,M,Bulgaria,BUL,2000,Sydney,Weightlifting,Weightlifting Men's Lightweight,Gold,Weightlifting,WLF,False
Plamen Bratoychev,M,Bulgaria,BUL,1992,Barcelona,Weightlifting,Weightlifting Men's Light-Heavyweight,No medal,Weightlifting,WLF,True
Plamen Bratoychev,M,Bulgaria,BUL,1996,Atlanta,Weightlifting,Weightlifting Men's Middle-Heavyweight,No medal,Weightlifting,WLF,True
Ivan Chakarov,M,Bulgaria,BUL,1992,Barcelona,Weightlifting,Weightlifting Men's Middle-Heavyweight,No medal,Weightlifting,WLF,False
Velichko Cholakov,M,Bulgaria,BUL,2004,Athina,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze,Weightlifting,WLF,False
Stefan Dimitrov,M,Bulgaria,BUL,1980,Moskva,Weightlifting,Weightlifting Men's Featherweight,Silver,Weightlifting,WLF,False
Milen Dobrev,M,Bulgaria,BUL,2004,Athina,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold,Weightlifting,WLF,False
