Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Jouan Etong,M,Cameroon,CMR,2000,Sydney,Football,Football Men's Football,Gold,Football,FBL,False
Thophile Mbida,M,Cameroon,CMR,1984,Los Angeles,Football,Football Men's Football,No medal,Football,FBL,False
Nicolas Alnoudji,M,Cameroon,CMR,2000,Sydney,Football,Football Men's Football,Gold,Football,FBL,False
Ibrahim Aoudou,M,Cameroon,CMR,1984,Los Angeles,Football,Football Men's Football,No medal,Football,FBL,False
Paul Bahoken,M,Cameroon,CMR,1984,Los Angeles,Football,Football Men's Football,No medal,Football,FBL,False
Albert Baning,M,Cameroon,CMR,2008,Beijing,Football,Football Men's Football,No medal,Football,FBL,False
Clment Beaud,M,Cameroon,CMR,2000,Sydney,Football,Football Men's Football,Gold,Football,FBL,False
Gustave Mbangue,M,Cameroon,CMR,2008,Beijing,Football,Football Men's Football,No medal,Football,FBL,False
Paul Kingu,M,Cameroon,CMR,2008,Beijing,Football,Football Men's Football,No medal,Football,FBL,False
Christian Aymard,M,Cameroon,CMR,2008,Beijing,Football,Football Men's Football,No medal,Football,FBL,False
Daniel Bekono,M,Cameroon,CMR,2000,Sydney,Football,Football Men's Football,Gold,Football,FBL,False
Joseph-Antoine Bell,M,Cameroon,CMR,1984,Los Angeles,Football,Football Men's Football,No medal,Football,FBL,False
Andr Amougou,M,Cameroon,CMR,2008,Beijing,Football,Football Men's Football,No medal,Football,FBL,False
Michel Bilamo,M,Cameroon,CMR,1984,Los Angeles,Football,Football Men's Football,No medal,Football,FBL,False
Serge Branco,M,Cameroon,CMR,2000,Sydney,Football,Football Men's Football,Gold,Football,FBL,False
Aurlien Fongang,M,Cameroon,CMR,2008,Beijing,Football,Football Men's Football,No medal,Football,FBL,False
Dagobert Dang,M,Cameroon,CMR,1984,Los Angeles,Football,Football Men's Football,No medal,Football,FBL,False
Ernest-Lottin Ebongu,M,Cameroon,CMR,1984,Los Angeles,Football,Football Men's Football,No medal,Football,FBL,False
Ebelle Ekk,M,Cameroon,CMR,1984,Los Angeles,Football,Football Men's Football,No medal,Football,FBL,False
Alexis Mendomo,M,Cameroon,CMR,2008,Beijing,Football,Football Men's Football,No medal,Football,FBL,False
Jol Newaka,M,Cameroon,CMR,2000,Sydney,Football,Football Men's Football,Gold,Football,FBL,False
Samuel Fils,M,Cameroon,CMR,2000,Sydney,Football,Football Men's Football,Gold,Football,FBL,False
Geremi Fotso,M,Cameroon,CMR,2000,Sydney,Football,Football Men's Football,Gold,Football,FBL,False
Antonio Ghomsi,M,Cameroon,CMR,2008,Beijing,Football,Football Men's Football,No medal,Football,FBL,False
Idriss Kameni,M,Cameroon,CMR,2000,Sydney,Football,Football Men's Football,Gold,Football,FBL,False
Emmanuel Kund,M,Cameroon,CMR,1984,Los Angeles,Football,Football Men's Football,No medal,Football,FBL,False
Laureano Etame-mayer,M,Cameroon,CMR,2000,Sydney,Football,Football Men's Football,Gold,Football,FBL,False
Georges Mandjeck,M,Cameroon,CMR,2008,Beijing,Football,Football Men's Football,No medal,Football,FBL,False
Modeste M'bami,M,Cameroon,CMR,2000,Sydney,Football,Football Men's Football,Gold,Football,FBL,False
Henri Dem,M,Cameroon,CMR,2000,Sydney,Football,Football Men's Football,Gold,Football,FBL,False
Luc Effengue,M,Cameroon,CMR,1984,Los Angeles,Football,Football Men's Football,No medal,Football,FBL,False
Stphane Etoundi,M,Cameroon,CMR,2008,Beijing,Football,Football Men's Football,No medal,Football,FBL,False
Marc Mboua,M,Cameroon,CMR,2008,Beijing,Football,Football Men's Football,No medal,Football,FBL,False
Albert Ze,M,Cameroon,CMR,2000,Sydney,Football,Football Men's Football,Gold,Football,FBL,False
Louis-Paul M'fd,M,Cameroon,CMR,1984,Los Angeles,Football,Football Men's Football,No medal,Football,FBL,False
Albert (miller-),M,Cameroon,CMR,1984,Los Angeles,Football,Football Men's Football,No medal,Football,FBL,False
Serge Mimpo-tsintsm,M,Cameroon,CMR,2000,Sydney,Football,Football Men's Football,Gold,Football,FBL,False
Franois Lea,M,Cameroon,CMR,1984,Los Angeles,Football,Football Men's Football,No medal,Football,FBL,False
Serge N'gal,M,Cameroon,CMR,2008,Beijing,Football,Football Men's Football,No medal,Football,FBL,False
Daniel Kome,M,Cameroon,CMR,2000,Sydney,Football,Football Men's Football,Gold,Football,FBL,False
Aaron Nguimbat,M,Cameroon,CMR,2000,Sydney,Football,Football Men's Football,Gold,Football,FBL,False
Nicolas N'doubena,M,Cameroon,CMR,2008,Beijing,Football,Football Men's Football,No medal,Football,FBL,False
Alain Oll,M,Cameroon,CMR,2008,Beijing,Football,Football Men's Football,No medal,Football,FBL,False
Isaac Sinkot,M,Cameroon,CMR,1984,Los Angeles,Football,Football Men's Football,No medal,Football,FBL,False
Alexandre Billong,M,Cameroon,CMR,2008,Beijing,Football,Football Men's Football,No medal,Football,FBL,False
Franck Songo'o,M,Cameroon,CMR,2008,Beijing,Football,Football Men's Football,No medal,Football,FBL,False
Patrick Kengn,M,Cameroon,CMR,2000,Sydney,Football,Football Men's Football,Gold,Football,FBL,False
Amour Tignyemb,M,Cameroon,CMR,2008,Beijing,Football,Football Men's Football,No medal,Football,FBL,False
Charles Toub,M,Cameroon,CMR,1984,Los Angeles,Football,Football Men's Football,No medal,Football,FBL,False
Pierre Wome,M,Cameroon,CMR,2000,Sydney,Football,Football Men's Football,Gold,Football,FBL,False
