Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
John Burnes,M,Canada,CAN,2008,Beijing,Archery,Archery Men's Individual,No medal,Archery,ARC,True,True
John Burnes,M,Canada,CAN,2008,Beijing,Archery,Archery Men's Team,No medal,Archery,ARC,True,True
Sylvain Cadieux,M,Canada,CAN,1992,Barcelona,Archery,Archery Men's Individual,No medal,Archery,ARC,True,True
Sylvain Cadieux,M,Canada,CAN,1992,Barcelona,Archery,Archery Men's Team,No medal,Archery,ARC,True,True
Denis Canuel,M,Canada,CAN,1988,Seoul,Archery,Archery Men's Individual,No medal,Archery,ARC,True,True
Denis Canuel,M,Canada,CAN,1988,Seoul,Archery,Archery Men's Team,No medal,Archery,ARC,True,True
Daniel Desnoyers,M,Canada,CAN,1988,Seoul,Archery,Archery Men's Individual,No medal,Archery,ARC,True,True
Daniel Desnoyers,M,Canada,CAN,1988,Seoul,Archery,Archery Men's Team,No medal,Archery,ARC,True,True
Crispin Duenas,M,Canada,CAN,2008,Beijing,Archery,Archery Men's Individual,No medal,Archery,ARC,True,True
Crispin Duenas,M,Canada,CAN,2008,Beijing,Archery,Archery Men's Team,No medal,Archery,ARC,True,True
Crispin Duenas,M,Canada,CAN,2012,London,Archery,Archery Men's Individual,No medal,Archery,ARC,True,False
Crispin Duenas,M,Canada,CAN,2016,Rio de Janeiro,Archery,Archery Men's Individual,No medal,Archery,ARC,True,False
Elmer Ewert,M,Canada,CAN,1972,Munich,Archery,Archery Men's Individual,No medal,Archery,ARC,False,True
Edward Gamble,M,Canada,CAN,1976,Montreal,Archery,Archery Men's Individual,No medal,Archery,ARC,False,True
Donald Jackson,M,Canada,CAN,1972,Munich,Archery,Archery Men's Individual,No medal,Archery,ARC,False,True
Jason Lyon,M,Canada,CAN,2008,Beijing,Archery,Archery Men's Individual,No medal,Archery,ARC,True,True
Jason Lyon,M,Canada,CAN,2008,Beijing,Archery,Archery Men's Team,No medal,Archery,ARC,True,True
David Mann,M,Canada,CAN,1976,Montreal,Archery,Archery Men's Individual,No medal,Archery,ARC,False,True
John Mcdonald,M,Canada,CAN,1988,Seoul,Archery,Archery Men's Individual,No medal,Archery,ARC,True,True
John Mcdonald,M,Canada,CAN,1988,Seoul,Archery,Archery Men's Team,No medal,Archery,ARC,True,True
Jonathan Ohayon,M,Canada,CAN,2004,Athina,Archery,Archery Men's Individual,No medal,Archery,ARC,False,True
Wayne Pullen,M,Canada,CAN,1972,Munich,Archery,Archery Men's Individual,No medal,Archery,ARC,False,True
Jeannot Robitaille,M,Canada,CAN,1992,Barcelona,Archery,Archery Men's Individual,No medal,Archery,ARC,True,True
Jeannot Robitaille,M,Canada,CAN,1992,Barcelona,Archery,Archery Men's Team,No medal,Archery,ARC,True,True
Jeannot Robitaille,M,Canada,CAN,1996,Atlanta,Archery,Archery Men's Individual,No medal,Archery,ARC,True,False
Jeannot Robitaille,M,Canada,CAN,1996,Atlanta,Archery,Archery Men's Team,No medal,Archery,ARC,True,False
Claude Rousseau,M,Canada,CAN,1992,Barcelona,Archery,Archery Men's Individual,No medal,Archery,ARC,True,True
Claude Rousseau,M,Canada,CAN,1992,Barcelona,Archery,Archery Men's Team,No medal,Archery,ARC,True,True
Robert Rusnov,M,Canada,CAN,1996,Atlanta,Archery,Archery Men's Individual,No medal,Archery,ARC,True,True
Robert Rusnov,M,Canada,CAN,1996,Atlanta,Archery,Archery Men's Team,No medal,Archery,ARC,True,True
Robert Rusnov,M,Canada,CAN,2000,Sydney,Archery,Archery Men's Individual,No medal,Archery,ARC,True,False
Kevin Sally,M,Canada,CAN,1996,Atlanta,Archery,Archery Men's Individual,No medal,Archery,ARC,True,True
Kevin Sally,M,Canada,CAN,1996,Atlanta,Archery,Archery Men's Team,No medal,Archery,ARC,True,True
Crispin Duenas,M,Canada,CAN,2020,Tokyo,Archery,Men's Individual,No medal,Men's,ARC,True,False
Crispin Duenas,M,Canada,CAN,2020,Tokyo,Archery,Mixed Team,No medal,Mixed,ARC,True,False
Eric Peters,M,Canada,CAN,2024,Paris,Archery,Men's Individual,No medal,Men's,ARC,True,True
Eric Peters,M,Canada,CAN,2024,Paris,Archery,Mixed Team,No medal,Mixed,ARC,True,True
