Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Natalie Achonwa,F,Canada,CAN,2012,London,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,True,True
Natalie Achonwa,F,Canada,CAN,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,True,False
Chelsea Aubry,F,Canada,CAN,2012,London,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Miranda Ayim,F,Canada,CAN,2012,London,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,True,True
Miranda Ayim,F,Canada,CAN,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,True,False
Beverly Barnes,F,Canada,CAN,1976,Montreal,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Andrea Blackwell,F,Canada,CAN,1984,Los Angeles,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,True,True
Andrea Blackwell,F,Canada,CAN,1996,Atlanta,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,True,False
Cori Blakebrough,F,Canada,CAN,2000,Sydney,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Beverley (-preston),F,Canada,CAN,1976,Montreal,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Carolin Bouchard,F,Canada,CAN,2000,Sydney,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Kelly Boucher,F,Canada,CAN,1996,Atlanta,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,True,True
Kelly Boucher,F,Canada,CAN,2000,Sydney,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,True,False
Claudia Brassard-riebesehl,F,Canada,CAN,2000,Sydney,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Candace (-jirik),F,Canada,CAN,1984,Los Angeles,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Christine Critelli,F,Canada,CAN,1976,Montreal,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Stacey (-schumann-),F,Canada,CAN,2000,Sydney,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Joyce (-slipp),F,Canada,CAN,1976,Montreal,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Coleen (-stewner),F,Canada,CAN,1976,Montreal,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Jodi Evans,F,Canada,CAN,1996,Atlanta,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Nirra Fields,F,Canada,CAN,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,True,True
Michelle (-carpay),F,Canada,CAN,2000,Sydney,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Donna Hobin,F,Canada,CAN,1976,Montreal,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Deborah Huband,F,Canada,CAN,1984,Los Angeles,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Anne (-mcgrath),F,Canada,CAN,1976,Montreal,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Martina Jerant,F,Canada,CAN,1996,Atlanta,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Angela (-straub),F,Canada,CAN,1976,Montreal,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Nicole Johnson,F,Canada,CAN,2000,Sydney,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Cynthia Johnston,F,Canada,CAN,1996,Atlanta,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Karla Karch-gailus,F,Canada,CAN,1996,Atlanta,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,True,True
Karla Karch-gailus,F,Canada,CAN,2000,Sydney,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,True,False
Teresa Kleindienst-gabriele,F,Canada,CAN,2000,Sydney,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,True,True
Teresa Kleindienst-gabriele,F,Canada,CAN,2012,London,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,True,False
Antonia (-gass),F,Canada,CAN,1984,Los Angeles,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Alison (-robertson),F,Canada,CAN,1984,Los Angeles,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Marlelynn Lange-harris,F,Canada,CAN,1996,Atlanta,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Miah-Marie Langlois,F,Canada,CAN,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Tracie (-sibbald),F,Canada,CAN,1984,Los Angeles,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Joy Mcnichol,F,Canada,CAN,2000,Sydney,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Shawna Molcak,F,Canada,CAN,1996,Atlanta,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Lizanne Murphy,F,Canada,CAN,2012,London,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,True,True
Lizanne Murphy,F,Canada,CAN,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,True,False
Dianne Norman,F,Canada,CAN,1996,Atlanta,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,True,True
Dianne Norman,F,Canada,CAN,2000,Sydney,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,True,False
Kia Nurse,F,Canada,CAN,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,True,True
Anna (-stamberger),F,Canada,CAN,1984,Los Angeles,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Krista Phillips,F,Canada,CAN,2012,London,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Courtnay Pilypaitis,F,Canada,CAN,2012,London,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Katherine Plouffe,F,Canada,CAN,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Michelle Plouffe,F,Canada,CAN,2012,London,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,True,True
Michelle Plouffe,F,Canada,CAN,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,True,False
Lynn (-hamilton),F,Canada,CAN,1984,Los Angeles,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Folade Raincock-ekunwe,F,Canada,CAN,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Joanne Sargent,F,Canada,CAN,1976,Montreal,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
Carole Sealey,F,Canada,CAN,1984,Los Angeles,Basketball,Basketball Women's Basketball,No medal,Basketball,BKB,False,True
