Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Elizabeth (-eriksen),F,Canada,CAN,1984,Los Angeles,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Elizabeth (-eriksen),F,Canada,CAN,1984,Los Angeles,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No medal,True
Hawley Bennett-awad,F,Canada,CAN,2004,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Hawley Bennett-awad,F,Canada,CAN,2004,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No medal,True
Hawley Bennett-awad,F,Canada,CAN,2012,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Hawley Bennett-awad,F,Canada,CAN,2012,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No medal,True
Leonie Bramall,F,Canada,CAN,1996,Atlanta,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Leonie Bramall,F,Canada,CAN,1996,Atlanta,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Jacqueline Brooks,F,Canada,CAN,2008,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Jacqueline Brooks,F,Canada,CAN,2012,London,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Jacqueline Brooks,F,Canada,CAN,2012,London,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Lisa Carlsen,F,Canada,CAN,1988,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,True
Lisa Carlsen,F,Canada,CAN,1988,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal,True
Frances Chesson,F,Canada,CAN,1984,Los Angeles,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Frances Chesson,F,Canada,CAN,1984,Los Angeles,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Sandra Donnelly,F,Canada,CAN,2008,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Sandra Donnelly,F,Canada,CAN,2008,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No medal,True
Inez Fischer-credo,F,Canada,CAN,1964,Tokyo,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Inez Fischer-credo,F,Canada,CAN,1968,Mexico City,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Inez Fischer-credo,F,Canada,CAN,1968,Mexico City,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Jennifer Foster,F,Canada,CAN,1992,Barcelona,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,True
Jennifer Foster,F,Canada,CAN,1992,Barcelona,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal,True
Tiffany Foster,F,Canada,CAN,2012,London,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,True
Tiffany Foster,F,Canada,CAN,2012,London,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal,True
Tiffany Foster,F,Canada,CAN,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,True
Tiffany Foster,F,Canada,CAN,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal,True
Juliet Graham,F,Canada,CAN,1976,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Juliet Graham,F,Canada,CAN,1976,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No medal,True
Martha Griggs,F,Canada,CAN,1984,Los Angeles,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Martha Griggs,F,Canada,CAN,1984,Los Angeles,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No medal,True
Christilot Hanson-boylen,F,Canada,CAN,1964,Tokyo,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Christilot Hanson-boylen,F,Canada,CAN,1968,Mexico City,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Christilot Hanson-boylen,F,Canada,CAN,1968,Mexico City,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Christilot Hanson-boylen,F,Canada,CAN,1972,Munich,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Christilot Hanson-boylen,F,Canada,CAN,1972,Munich,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Christilot Hanson-boylen,F,Canada,CAN,1976,Montreal,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Christilot Hanson-boylen,F,Canada,CAN,1976,Montreal,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Christilot Hanson-boylen,F,Canada,CAN,1984,Los Angeles,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Christilot Hanson-boylen,F,Canada,CAN,1984,Los Angeles,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Christilot Hanson-boylen,F,Canada,CAN,1992,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Christilot Hanson-boylen,F,Canada,CAN,1992,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Gillian Henselwood,F,Canada,CAN,2008,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,True
Gillian Henselwood,F,Canada,CAN,2008,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver,True
Gillian Henselwood,F,Canada,CAN,2012,London,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,True
Gillian Henselwood,F,Canada,CAN,2012,London,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal,True
Rebecca Howard,F,Canada,CAN,2012,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Rebecca Howard,F,Canada,CAN,2012,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No medal,True
Rebecca Howard,F,Canada,CAN,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Rebecca Howard,F,Canada,CAN,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No medal,True
Rachel Hunter,F,Canada,CAN,1992,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Rachel Hunter,F,Canada,CAN,1992,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No medal,True
Wendy (-dell),F,Canada,CAN,1972,Munich,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Wendy (-dell),F,Canada,CAN,1972,Munich,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No medal,True
Megan Lane,F,Canada,CAN,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,False
Colleen Loach,F,Canada,CAN,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Colleen Loach,F,Canada,CAN,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No medal,True
Kelli Mcmullen-temple,F,Canada,CAN,1996,Atlanta,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Kelli Mcmullen-temple,F,Canada,CAN,1996,Atlanta,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No medal,True
Amy Millar,F,Canada,CAN,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,True
Amy Millar,F,Canada,CAN,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal,True
Michele (-sharpe),F,Canada,CAN,2012,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Michele (-sharpe),F,Canada,CAN,2012,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No medal,True
Cynthia Neale-ishoy,F,Canada,CAN,1972,Munich,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Cynthia Neale-ishoy,F,Canada,CAN,1972,Munich,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Cynthia Neale-ishoy,F,Canada,CAN,1988,Seoul,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Cynthia Neale-ishoy,F,Canada,CAN,1988,Seoul,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze,True
Cynthia Neale-ishoy,F,Canada,CAN,1992,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Cynthia Neale-ishoy,F,Canada,CAN,1992,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Cynthia Neale-ishoy,F,Canada,CAN,2004,Athina,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Cynthia Neale-ishoy,F,Canada,CAN,2004,Athina,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Ashley (-munro-),F,Canada,CAN,1988,Seoul,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Ashley (-munro-),F,Canada,CAN,1988,Seoul,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze,True
Ashley (-munro-),F,Canada,CAN,2004,Athina,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Ashley (-munro-),F,Canada,CAN,2004,Athina,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Ashley (-munro-),F,Canada,CAN,2008,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Ashley (-munro-),F,Canada,CAN,2012,London,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Ashley (-munro-),F,Canada,CAN,2012,London,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Selena O'hanlon,F,Canada,CAN,2008,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Selena O'hanlon,F,Canada,CAN,2008,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No medal,True
Jessica Phoenix,F,Canada,CAN,2012,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Jessica Phoenix,F,Canada,CAN,2012,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No medal,True
Jessica Phoenix,F,Canada,CAN,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Jessica Phoenix,F,Canada,CAN,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No medal,True
Kelly (-roberts),F,Canada,CAN,1984,Los Angeles,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,True
Kelly (-roberts),F,Canada,CAN,1984,Los Angeles,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No medal,True
Eva-Maria (neckermann-),F,Canada,CAN,1984,Los Angeles,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Eva-Maria (neckermann-),F,Canada,CAN,1984,Los Angeles,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Eva-Maria (neckermann-),F,Canada,CAN,1988,Seoul,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Eva-Maria (neckermann-),F,Canada,CAN,1988,Seoul,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze,True
Martina Buttlar),F,Canada,CAN,1992,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Martina Buttlar),F,Canada,CAN,1992,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Leslie Reid,F,Canada,CAN,2004,Athina,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Leslie Reid,F,Canada,CAN,2004,Athina,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Leslie Reid,F,Canada,CAN,2008,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
