Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Helen (-riddell),F,Canada,CAN,1932,Los Angeles,Fencing,"Fencing Women's Foil, Individual",No medal,False
Nancy (-joeck),F,Canada,CAN,1936,Berlin,Fencing,"Fencing Women's Foil, Individual",No medal,False
Rene Aubin,F,Canada,CAN,1992,Barcelona,Fencing,"Fencing Women's Foil, Individual",No medal,True
Rene Aubin,F,Canada,CAN,1992,Barcelona,Fencing,"Fencing Women's Foil, Team",No medal,True
Hlne Bourdages,F,Canada,CAN,1992,Barcelona,Fencing,"Fencing Women's Foil, Team",No medal,False
Fleurette (-therrien),F,Canada,CAN,1976,Montreal,Fencing,"Fencing Women's Foil, Team",No medal,False
Sigrid (gazzera-),F,Canada,CAN,1968,Mexico City,Fencing,"Fencing Women's Foil, Individual",No medal,False
Julie Cloutier,F,Canada,CAN,2008,Beijing,Fencing,"Fencing Women's Sabre, Individual",No medal,True
Julie Cloutier,F,Canada,CAN,2008,Beijing,Fencing,"Fencing Women's Sabre, Team",No medal,True
Marie-Huguette Cormier,F,Canada,CAN,1984,Los Angeles,Fencing,"Fencing Women's Foil, Team",No medal,True
Marie-Huguette Cormier,F,Canada,CAN,1988,Seoul,Fencing,"Fencing Women's Foil, Team",No medal,True
Catherine Dunnette,F,Canada,CAN,2004,Athina,Fencing,"Fencing Women's epee, Individual",No medal,False
Elizabeth Hamilton,F,Canada,CAN,1948,London,Fencing,"Fencing Women's Foil, Individual",No medal,False
Eleanor Harvey,F,Canada,CAN,2016,Rio de Janeiro,Fencing,"Fencing Women's Foil, Individual",No medal,True
Donna (atkinson-),F,Canada,CAN,1972,Munich,Fencing,"Fencing Women's Foil, Individual",No medal,True
Donna (atkinson-),F,Canada,CAN,1976,Montreal,Fencing,"Fencing Women's Foil, Individual",No medal,True
Donna (atkinson-),F,Canada,CAN,1976,Montreal,Fencing,"Fencing Women's Foil, Team",No medal,True
Marie-Franoise Hervieu,F,Canada,CAN,1992,Barcelona,Fencing,"Fencing Women's Foil, Team",No medal,False
Kathleen -sprague),F,Canada,CAN,1936,Berlin,Fencing,"Fencing Women's Foil, Individual",No medal,False
Monique (-karlsson),F,Canada,CAN,2004,Athina,Fencing,"Fencing Women's epee, Individual",No medal,True
Monique (-karlsson),F,Canada,CAN,2004,Athina,Fencing,"Fencing Women's epee, Team",No medal,True
Julie Leprohon,F,Canada,CAN,2004,Athina,Fencing,"Fencing Women's epee, Team",No medal,False
Jujie Luan,F,Canada,CAN,2000,Sydney,Fencing,"Fencing Women's Foil, Individual",No medal,True
Jujie Luan,F,Canada,CAN,2000,Sydney,Fencing,"Fencing Women's Foil, Team",No medal,True
Jujie Luan,F,Canada,CAN,2008,Beijing,Fencing,"Fencing Women's Foil, Individual",No medal,True
Leonora Mackinnon,F,Canada,CAN,2016,Rio de Janeiro,Fencing,"Fencing Women's epee, Individual",No medal,False
Julie Mahoney,F,Canada,CAN,2000,Sydney,Fencing,"Fencing Women's Foil, Individual",No medal,True
Julie Mahoney,F,Canada,CAN,2000,Sydney,Fencing,"Fencing Women's Foil, Team",No medal,True
Rhoda Martin,F,Canada,CAN,1948,London,Fencing,"Fencing Women's Foil, Individual",No medal,False
Caroline Mitchell,F,Canada,CAN,1984,Los Angeles,Fencing,"Fencing Women's Foil, Individual",No medal,True
Caroline Mitchell,F,Canada,CAN,1984,Los Angeles,Fencing,"Fencing Women's Foil, Team",No medal,True
Olga Ovtchinnikova,F,Canada,CAN,2008,Beijing,Fencing,"Fencing Women's Sabre, Individual",No medal,True
Olga Ovtchinnikova,F,Canada,CAN,2008,Beijing,Fencing,"Fencing Women's Sabre, Team",No medal,True
Chantal (gilbert-),F,Canada,CAN,1976,Montreal,Fencing,"Fencing Women's Foil, Individual",No medal,True
Chantal (gilbert-),F,Canada,CAN,1976,Montreal,Fencing,"Fencing Women's Foil, Team",No medal,True
Monica (kwan-),F,Canada,CAN,2012,London,Fencing,"Fencing Women's Foil, Individual",No medal,False
Madeleine Philion,F,Canada,CAN,1984,Los Angeles,Fencing,"Fencing Women's Foil, Individual",No medal,True
Madeleine Philion,F,Canada,CAN,1984,Los Angeles,Fencing,"Fencing Women's Foil, Team",No medal,True
Madeleine Philion,F,Canada,CAN,1988,Seoul,Fencing,"Fencing Women's Foil, Individual",No medal,True
