Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
William Jr.,M,Canada,CAN,1996,Atlanta,Sailing,Sailing Mixed Three Person Keelboat,No medal,True
William Jr.,M,Canada,CAN,2000,Sydney,Sailing,Sailing Mixed Three Person Keelboat,No medal,True
Matt Abbott,M,Canada,CAN,2000,Sydney,Sailing,Sailing Mixed Three Person Keelboat,No medal,False
Donald Andrews,M,Canada,CAN,1972,Munich,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,No medal,False
Evert Bastet,M,Canada,CAN,1972,Munich,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,No medal,True
Evert Bastet,M,Canada,CAN,1976,Montreal,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,No medal,True
Evert Bastet,M,Canada,CAN,1984,Los Angeles,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver,True
Kai Bjorn,M,Canada,CAN,2000,Sydney,Sailing,Sailing Mixed Two Person Keelboat,No medal,False
Peter Bjorn,M,Canada,CAN,1972,Munich,Sailing,Sailing Mixed Two Person Keelboat,No medal,False
Tyler Bjorn,M,Canada,CAN,2012,London,Sailing,Sailing Men's Two Person Keelboat,No medal,False
Oswald Blouin,M,Canada,CAN,1968,Mexico City,Sailing,Sailing Mixed Two Person Keelboat,No medal,False
Alain Bolduc,M,Canada,CAN,1996,Atlanta,Sailing,Sailing Men's Windsurfer,No medal,False
Oliver Bone,M,Canada,CAN,2008,Beijing,Sailing,Sailing Men's Two Person Dinghy,No medal,True
Bradley Boston,M,Canada,CAN,1996,Atlanta,Sailing,Sailing Mixed Three Person Keelboat,No medal,True
Bradley Boston,M,Canada,CAN,2000,Sydney,Sailing,Sailing Mixed Three Person Keelboat,No medal,True
Ian Bruce,M,Canada,CAN,1960,Roma,Sailing,Sailing Mixed One Person Dinghy,No medal,True
Ian Bruce,M,Canada,CAN,1972,Munich,Sailing,Sailing Mixed Two Person Keelboat,No medal,True
Peter Byrne,M,Canada,CAN,1972,Munich,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,No medal,False
Stephen Calder,M,Canada,CAN,1984,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat,Bronze,False
John Clarke,M,Canada,CAN,1972,Munich,Sailing,Sailing Mixed One Person Dinghy,No medal,False
Richard Clarke,M,Canada,CAN,1996,Atlanta,Sailing,Sailing Men's One Person Dinghy,No medal,True
Richard Clarke,M,Canada,CAN,2000,Sydney,Sailing,Sailing Men's One Person Dinghy,No medal,True
Richard Clarke,M,Canada,CAN,2004,Athina,Sailing,Sailing Men's One Person Dinghy,No medal,True
Richard Clarke,M,Canada,CAN,2012,London,Sailing,Sailing Men's Two Person Keelboat,No medal,True
Nigel Cochrane,M,Canada,CAN,1988,Seoul,Sailing,Sailing Men's Two Person Dinghy,No medal,True
Nigel Cochrane,M,Canada,CAN,1992,Barcelona,Sailing,Sailing Men's Two Person Dinghy,No medal,True
Christopher Cook,M,Canada,CAN,2008,Beijing,Sailing,Sailing Mixed One Person Dinghy,No medal,False
Gordon Cook,M,Canada,CAN,2008,Beijing,Sailing,Sailing Mixed Skiff,No medal,True
Gordon Cook,M,Canada,CAN,2012,London,Sailing,Sailing Men's Skiff,No medal,True
Paul Ii,M,Canada,CAN,1972,Munich,Sailing,Sailing Mixed Three Person Keelboat,Bronze,False
Jay Cross,M,Canada,CAN,1976,Montreal,Sailing,Sailing Mixed Two Person Dinghy,No medal,False
John Curtis,M,Canada,CAN,2004,Athina,Sailing,Sailing Mixed Multihull,No medal,False
Rodney Davies,M,Canada,CAN,1996,Atlanta,Sailing,Sailing Mixed One Person Dinghy,No medal,False
Michael Roche,M,Canada,CAN,1976,Montreal,Sailing,Sailing Mixed Multihull,No medal,False
Glen Dexter,M,Canada,CAN,1976,Montreal,Sailing,Sailing Mixed Three Person Keelboat,No medal,False
Reginald Dixon,M,Canada,CAN,1932,Los Angeles,Sailing,Sailing Mixed One Person Dinghy,No medal,False
Gregory Douglas,M,Canada,CAN,2012,London,Sailing,Sailing Men's One Person Heavyweight Dinghy,No medal,False
Jeffrey Eckard,M,Canada,CAN,1992,Barcelona,Sailing,Sailing Men's Two Person Dinghy,No medal,False
John Ekels,M,Canada,CAN,1972,Munich,Sailing,Sailing Mixed Three Person Keelboat,Bronze,False
Marty Essig,M,Canada,CAN,2000,Sydney,Sailing,Sailing Mixed One Person Dinghy,No medal,False
Robert Flinn,M,Canada,CAN,1988,Seoul,Sailing,Sailing Mixed Three Person Keelboat,No medal,True
Robert Flinn,M,Canada,CAN,1992,Barcelona,Sailing,Sailing Mixed Three Person Keelboat,No medal,True
Hans Fogh,M,Canada,CAN,1976,Montreal,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,No medal,True
Hans Fogh,M,Canada,CAN,1984,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat,Bronze,True
