Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Jules Bouckaert,M,Cercle De L'Aviron Roubaix-4,FRA,1900,Paris,Rowing,Rowing Men's Coxed Fours,Gold,Rowing,ROW,True
Jules Bouckaert,M,Cercle De L'Aviron Roubaix-4,FRA,1900,Paris,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,True
Jean Cau,M,Cercle De L'Aviron Roubaix-4,FRA,1900,Paris,Rowing,Rowing Men's Coxed Fours,Gold,Rowing,ROW,True
Jean Cau,M,Cercle De L'Aviron Roubaix-4,FRA,1900,Paris,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,True
Charlot,M,Cercle De L'Aviron Roubaix-4,FRA,1900,Paris,Rowing,Rowing Men's Coxed Fours,Gold,Rowing,ROW,True
Charlot,M,Cercle De L'Aviron Roubaix-4,FRA,1900,Paris,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,True
mile Delchambre,M,Cercle De L'Aviron Roubaix-4,FRA,1900,Paris,Rowing,Rowing Men's Coxed Fours,Gold,Rowing,ROW,True
mile Delchambre,M,Cercle De L'Aviron Roubaix-4,FRA,1900,Paris,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,True
Henri (charlet-),M,Cercle De L'Aviron Roubaix-4,FRA,1900,Paris,Rowing,Rowing Men's Coxed Fours,Gold,Rowing,ROW,True
Henri (charlet-),M,Cercle De L'Aviron Roubaix-4,FRA,1900,Paris,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,True
