Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Juan Barahona,M,Chile,CHI,1984,Los Angeles,Sailing,Sailing Mixed Two Person Dinghy,No medal,False
Matas Goldsmith,M,Chile,CHI,2004,Athina,Sailing,Sailing Mixed One Person Dinghy,No medal,True
Matas Goldsmith,M,Chile,CHI,2008,Beijing,Sailing,Sailing Men's One Person Dinghy,No medal,True
Matas Goldsmith,M,Chile,CHI,2012,London,Sailing,Sailing Men's One Person Dinghy,No medal,True
Matas Goldsmith,M,Chile,CHI,2016,Rio de Janeiro,Sailing,Sailing Men's One Person Dinghy,No medal,True
Andrs Rojas,M,Chile,CHI,2016,Rio de Janeiro,Sailing,Sailing Men's Two Person Dinghy,No medal,False
Francisco Rojas,M,Chile,CHI,2016,Rio de Janeiro,Sailing,Sailing Men's Two Person Dinghy,No medal,False
Luis Wielandt,M,Chile,CHI,1996,Atlanta,Sailing,Sailing Mixed One Person Dinghy,No medal,False
Alberto Mas,M,Chile,CHI,1984,Los Angeles,Sailing,Sailing Mixed Two Person Dinghy,No medal,False
Diego Parro,M,Chile,CHI,2012,London,Sailing,Sailing Men's Two Person Dinghy,No medal,False
Manuel Gonzlez,M,Chile,CHI,1984,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat,No medal,True
Manuel Gonzlez,M,Chile,CHI,1988,Seoul,Sailing,Sailing Mixed Three Person Keelboat,No medal,True
Benjamn Ahrens,M,Chile,CHI,2012,London,Sailing,Sailing Men's Two Person Dinghy,No medal,True
Benjamn Ahrens,M,Chile,CHI,2016,Rio de Janeiro,Sailing,Sailing Men's Skiff,No medal,True
Cristbal Ahrens,M,Chile,CHI,2016,Rio de Janeiro,Sailing,Sailing Men's Skiff,No medal,False
Luis Herman,M,Chile,CHI,1984,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat,No medal,False
Carlos Rossi,M,Chile,CHI,1984,Los Angeles,Sailing,Sailing Mixed Two Person Keelboat,No medal,False
Germn Verdugo,M,Chile,CHI,1988,Seoul,Sailing,Sailing Mixed Three Person Keelboat,No medal,False
Jorge Zuazola,M,Chile,CHI,1984,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat,No medal,False
Rodrigo Zuazola,M,Chile,CHI,1984,Los Angeles,Sailing,Sailing Mixed Two Person Keelboat,No medal,True
Rodrigo Zuazola,M,Chile,CHI,1988,Seoul,Sailing,Sailing Mixed Three Person Keelboat,No medal,True
Clemente Seguel,M,Chile,CHI,2020,Tokyo,Sailing,Men's One Person Dinghy - Laser,No medal,True
Clemente Seguel,M,Chile,CHI,2024,Paris,Sailing,Men's Dinghy,No medal,True
