Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Dong Cheng,F,China,CHN,2012,London,Boxing,Boxing Women's Lightweight,No medal,False
Li Jinzi,F,China,CHN,2012,London,Boxing,Boxing Women's Middleweight,Bronze,False
Li Qian,F,China,CHN,2016,Rio de Janeiro,Boxing,Boxing Women's Middleweight,Bronze,False
Ren Cancan,F,China,CHN,2012,London,Boxing,Boxing Women's Flyweight,Silver,True
Ren Cancan,F,China,CHN,2016,Rio de Janeiro,Boxing,Boxing Women's Flyweight,Bronze,True
Yin Junhua,F,China,CHN,2016,Rio de Janeiro,Boxing,Boxing Women's Lightweight,Silver,False
Yuan Chang,F,China,CHN,2020,Tokyo,Boxing,Women's Fly (48-51kg),No medal,True
Hong Gu,F,China,CHN,2020,Tokyo,Boxing,Women's Welter (64-69kg),Silver,False
Qian Li,F,China,CHN,2020,Tokyo,Boxing,Women's Middle (69-75kg),Silver,True
Qian Li,F,China,CHN,2024,Paris,Boxing,Women's 75kg,Gold,True
Liu Yang,F,China,CHN,2024,Paris,Boxing,Women's 66kg,Silver,False
Wenlu Yang,F,China,CHN,2024,Paris,Boxing,Women's 60kg,Silver,False
Zichun Xu,F,China,CHN,2024,Paris,Boxing,Women's 57kg,No medal,False
Yuan Chang,F,China,CHN,2024,Paris,Boxing,Women's 54kg,Gold,True
Yu Wu,F,China,CHN,2024,Paris,Boxing,Women's 50kg,Gold,False
