Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Hua Tian,M,China,CHN,2008,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,Equestrianism,EVE,True,True
Hua Tian,M,China,CHN,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No medal,Equestrianism,EVE,True,False
Huang Zuping,M,China,CHN,2008,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,Equestrianism,EVE,True,True
Huang Zuping,M,China,CHN,2008,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal,Equestrianism,EVE,True,True
Li Zhenqiang,M,China,CHN,2008,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,Equestrianism,EVE,True,True
Li Zhenqiang,M,China,CHN,2008,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal,Equestrianism,EVE,True,True
Zhang Bin,M,China,CHN,2008,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,Equestrianism,EVE,True,True
Zhang Bin,M,China,CHN,2008,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal,Equestrianism,EVE,True,True
Zhao Zhiwen,M,China,CHN,2008,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,Equestrianism,EVE,True,True
Zhao Zhiwen,M,China,CHN,2008,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal,Equestrianism,EVE,True,True
Yingfeng Bao,M,China,CHN,2020,Tokyo,Equestrian,Eventing Team,No medal,Eventing,EVE,True,True
Yingfeng Bao,M,China,CHN,2020,Tokyo,Equestrian,Eventing Individual,No medal,Eventing,EVE,True,True
Alex Hua,M,China,CHN,2020,Tokyo,Equestrian,Eventing Team,No medal,Eventing,EVE,True,True
Alex Hua,M,China,CHN,2020,Tokyo,Equestrian,Eventing Individual,No medal,Eventing,EVE,True,True
Ruiji Liang,M,China,CHN,2020,Tokyo,Equestrian,Eventing Team,No medal,Eventing,EVE,False,True
Huadong Sun,M,China,CHN,2020,Tokyo,Equestrian,Eventing Team,No medal,Eventing,EVE,True,True
Huadong Sun,M,China,CHN,2020,Tokyo,Equestrian,Eventing Individual,No medal,Eventing,EVE,True,True
Huadong Sun,M,China,CHN,2024,Paris,Equestrian,Eventing Individual,No medal,Eventing,EVE,True,False
Alex Hua,M,China,CHN,2024,Paris,Equestrian,Eventing Individual,No medal,Eventing,EVE,True,False
