Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Cai Xuemei,F,China,CHN,2000,Sydney,Hockey,Hockey Women's Hockey,No medal,False
Chen Qiuqi,F,China,CHN,2004,Athina,Hockey,Hockey Women's Hockey,No medal,True
Chen Qiuqi,F,China,CHN,2008,Beijing,Hockey,Hockey Women's Hockey,Silver,True
Chen Qunqing,F,China,CHN,2004,Athina,Hockey,Hockey Women's Hockey,No medal,False
Chen Zhaoxia,F,China,CHN,2000,Sydney,Hockey,Hockey Women's Hockey,No medal,True
Chen Zhaoxia,F,China,CHN,2004,Athina,Hockey,Hockey Women's Hockey,No medal,True
Chen Zhaoxia,F,China,CHN,2008,Beijing,Hockey,Hockey Women's Hockey,Silver,True
Cheng Hui,F,China,CHN,2000,Sydney,Hockey,Hockey Women's Hockey,No medal,True
Cheng Hui,F,China,CHN,2004,Athina,Hockey,Hockey Women's Hockey,No medal,True
Cheng Hui,F,China,CHN,2008,Beijing,Hockey,Hockey Women's Hockey,Silver,True
Cui Qiuxia,F,China,CHN,2012,London,Hockey,Hockey Women's Hockey,No medal,True
Cui Qiuxia,F,China,CHN,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,True
De Jiaojiao,F,China,CHN,2012,London,Hockey,Hockey Women's Hockey,No medal,True
De Jiaojiao,F,China,CHN,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,True
Fu Baorong,F,China,CHN,2004,Athina,Hockey,Hockey Women's Hockey,No medal,True
Fu Baorong,F,China,CHN,2008,Beijing,Hockey,Hockey Women's Hockey,Silver,True
Fu Baorong,F,China,CHN,2012,London,Hockey,Hockey Women's Hockey,No medal,True
Gao Lihua,F,China,CHN,2004,Athina,Hockey,Hockey Women's Hockey,No medal,True
Gao Lihua,F,China,CHN,2008,Beijing,Hockey,Hockey Women's Hockey,Silver,True
Gao Lihua,F,China,CHN,2012,London,Hockey,Hockey Women's Hockey,No medal,True
Hou Xiaolan,F,China,CHN,2000,Sydney,Hockey,Hockey Women's Hockey,No medal,True
Hou Xiaolan,F,China,CHN,2004,Athina,Hockey,Hockey Women's Hockey,No medal,True
Huang Junxia,F,China,CHN,2000,Sydney,Hockey,Hockey Women's Hockey,No medal,True
Huang Junxia,F,China,CHN,2004,Athina,Hockey,Hockey Women's Hockey,No medal,True
Huang Junxia,F,China,CHN,2008,Beijing,Hockey,Hockey Women's Hockey,Silver,True
