Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Chen Fei,F,China,CHN,2012,London,Judo,Judo Women's Middleweight,No medal,Judo,JUD,False,True
Gao Feng,F,China,CHN,2004,Athina,Judo,Judo Women's Extra-Lightweight,Bronze,Judo,JUD,False,True
He Hongmei,F,China,CHN,2012,London,Judo,Judo Women's Half-Lightweight,No medal,Judo,JUD,False,True
Jin Xianglan,F,China,CHN,1992,Barcelona,Judo,Judo Women's Lightweight,No medal,Judo,JUD,False,True
Leng Chunhui,F,China,CHN,1992,Barcelona,Judo,Judo Women's Middleweight,No medal,Judo,JUD,True,True
Leng Chunhui,F,China,CHN,1996,Atlanta,Judo,Judo Women's Half-Heavyweight,No medal,Judo,JUD,True,False
Li Aiyue,F,China,CHN,1992,Barcelona,Judo,Judo Women's Extra-Lightweight,No medal,Judo,JUD,True,True
Li Aiyue,F,China,CHN,1996,Atlanta,Judo,Judo Women's Extra-Lightweight,No medal,Judo,JUD,True,False
Li Shufang,F,China,CHN,2000,Sydney,Judo,Judo Women's Half-Middleweight,Silver,Judo,JUD,True,True
Li Shufang,F,China,CHN,2004,Athina,Judo,Judo Women's Half-Middleweight,No medal,Judo,JUD,True,False
Li Zhongyun,F,China,CHN,1992,Barcelona,Judo,Judo Women's Half-Lightweight,Bronze,Judo,JUD,False,True
Liu Chuang,F,China,CHN,1996,Atlanta,Judo,Judo Women's Lightweight,No medal,Judo,JUD,False,True
Liu Lizhe,F,China,CHN,1996,Atlanta,Judo,Judo Women's Half-Middleweight,No medal,Judo,JUD,False,True
Liu Xia,F,China,CHN,2004,Athina,Judo,Judo Women's Half-Heavyweight,Silver,Judo,JUD,False,True
Liu Yuxiang,F,China,CHN,2000,Sydney,Judo,Judo Women's Half-Lightweight,Bronze,Judo,JUD,True,True
Liu Yuxiang,F,China,CHN,2004,Athina,Judo,Judo Women's Lightweight,No medal,Judo,JUD,True,False
Ma Yingnan,F,China,CHN,2016,Rio de Janeiro,Judo,Judo Women's Half-Lightweight,No medal,Judo,JUD,False,True
Qin Dongya,F,China,CHN,2000,Sydney,Judo,Judo Women's Middleweight,No medal,Judo,JUD,True,True
Qin Dongya,F,China,CHN,2004,Athina,Judo,Judo Women's Middleweight,Bronze,Judo,JUD,True,False
Shen Jun,F,China,CHN,2000,Sydney,Judo,Judo Women's Lightweight,No medal,Judo,JUD,False,True
Sun Fuming,F,China,CHN,1996,Atlanta,Judo,Judo Women's Heavyweight,Gold,Judo,JUD,True,True
Sun Fuming,F,China,CHN,2004,Athina,Judo,Judo Women's Heavyweight,Bronze,Judo,JUD,True,False
Tang Lin,F,China,CHN,2000,Sydney,Judo,Judo Women's Half-Heavyweight,Gold,Judo,JUD,False,True
Tong Wen,F,China,CHN,2008,Beijing,Judo,Judo Women's Heavyweight,Gold,Judo,JUD,True,True
Tong Wen,F,China,CHN,2012,London,Judo,Judo Women's Heavyweight,Bronze,Judo,JUD,True,False
Wang Hui,F,China,CHN,2012,London,Judo,Judo Women's Lightweight,No medal,Judo,JUD,False,True
Wang Jin,F,China,CHN,1996,Atlanta,Judo,Judo Women's Half-Lightweight,No medal,Judo,JUD,False,True
Wang Juan,F,China,CHN,2008,Beijing,Judo,Judo Women's Middleweight,No medal,Judo,JUD,False,True
Wang Xianbo,F,China,CHN,1996,Atlanta,Judo,Judo Women's Middleweight,Bronze,Judo,JUD,False,True
Wu Shugen,F,China,CHN,2008,Beijing,Judo,Judo Women's Extra-Lightweight,No medal,Judo,JUD,True,True
Wu Shugen,F,China,CHN,2012,London,Judo,Judo Women's Extra-Lightweight,No medal,Judo,JUD,True,False
Xian Dongmei,F,China,CHN,2004,Athina,Judo,Judo Women's Half-Lightweight,Gold,Judo,JUD,True,True
Xian Dongmei,F,China,CHN,2008,Beijing,Judo,Judo Women's Half-Lightweight,Gold,Judo,JUD,True,False
Xu Lili,F,China,CHN,2012,London,Judo,Judo Women's Half-Middleweight,Silver,Judo,JUD,False,True
Xu Yan,F,China,CHN,2008,Beijing,Judo,Judo Women's Lightweight,Bronze,Judo,JUD,False,True
Xu Yuhua,F,China,CHN,2008,Beijing,Judo,Judo Women's Half-Middleweight,No medal,Judo,JUD,False,True
Yang Junxia,F,China,CHN,2016,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,No medal,Judo,JUD,False,True
Yang Xiuli,F,China,CHN,2008,Beijing,Judo,Judo Women's Half-Heavyweight,Gold,Judo,JUD,True,True
Yang Xiuli,F,China,CHN,2012,London,Judo,Judo Women's Half-Heavyweight,No medal,Judo,JUD,True,False
Yu Song,F,China,CHN,2016,Rio de Janeiro,Judo,Judo Women's Heavyweight,Bronze,Judo,JUD,False,True
Yuan Hua,F,China,CHN,2000,Sydney,Judo,Judo Women's Heavyweight,Gold,Judo,JUD,False,True
Zhang Di,F,China,CHN,1992,Barcelona,Judo,Judo Women's Half-Middleweight,Bronze,Judo,JUD,False,True
Zhang Zhehui,F,China,CHN,2016,Rio de Janeiro,Judo,Judo Women's Half-Heavyweight,No medal,Judo,JUD,False,True
Zhao Shunxin,F,China,CHN,2000,Sydney,Judo,Judo Women's Extra-Lightweight,No medal,Judo,JUD,False,True
Zhou Chao,F,China,CHN,2016,Rio de Janeiro,Judo,Judo Women's Middleweight,No medal,Judo,JUD,False,True
Zhuang Xiaoyan,F,China,CHN,1992,Barcelona,Judo,Judo Women's Heavyweight,Gold,Judo,JUD,False,True
Yanan Li,F,China,CHN,2020,Tokyo,Judo,Women -48 kg,No medal,Women,JUD,False,True
Tongjuan Lu,F,China,CHN,2020,Tokyo,Judo,Women -57 kg,No medal,Women,JUD,False,True
Zhenzhao Ma,F,China,CHN,2020,Tokyo,Judo,Women -78 kg,No medal,Women,JUD,True,True
Xiaoqian Sun,F,China,CHN,2020,Tokyo,Judo,Women -70 kg,No medal,Women,JUD,False,True
Shiyan Xu,F,China,CHN,2020,Tokyo,Judo,Women +78 kg,No medal,Women,JUD,True,True
Junxia Yang,F,China,CHN,2020,Tokyo,Judo,Women -63 kg,No medal,Women,JUD,False,True
Zongying Guo,F,China,CHN,2024,Paris,Judo,Women -48 kg,No medal,Women,JUD,False,True
Yeqing Zhu,F,China,CHN,2024,Paris,Judo,Women -52 kg,No medal,Women,JUD,False,True
Qi Cai,F,China,CHN,2024,Paris,Judo,Women -57 kg,No medal,Women,JUD,False,True
