Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Chen Chih-hao,M,Chinese Taipei,TPE,1996,Atlanta,Cycling,"Cycling Men's Road Race, Individual",No medal,False
Deng Chueng-hwai,M,Chinese Taipei,TPE,1964,Tokyo,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Deng Chueng-hwai,M,Chinese Taipei,TPE,1964,Tokyo,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Deng Chueng-hwai,M,Chinese Taipei,TPE,1968,Mexico City,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Deng Chueng-hwai,M,Chinese Taipei,TPE,1968,Mexico City,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Fan Yue-tao,M,Chinese Taipei,TPE,1968,Mexico City,Cycling,Cycling Men's Sprint,No medal,True
Fan Yue-tao,M,Chinese Taipei,TPE,1968,Mexico City,Cycling,"Cycling Men's 1,000 metres Time Trial",No medal,True
Feng Chun-kai,M,Chinese Taipei,TPE,2008,Beijing,Cycling,Cycling Men's Points Race,No medal,False
Her Jong-chau,M,Chinese Taipei,TPE,1964,Tokyo,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Her Jong-chau,M,Chinese Taipei,TPE,1964,Tokyo,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Hsu Chin-te,M,Chinese Taipei,TPE,1984,Los Angeles,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",No medal,False
Hsu Jui-te,M,Chinese Taipei,TPE,1988,Seoul,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Hsu Jui-te,M,Chinese Taipei,TPE,1988,Seoul,Cycling,Cycling Men's Points Race,No medal,True
Jiang Guang-nan,M,Chinese Taipei,TPE,1968,Mexico City,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,False
Lee Fu-hsiang,M,Chinese Taipei,TPE,1984,Los Angeles,Cycling,Cycling Men's Sprint,No medal,True
Lee Fu-hsiang,M,Chinese Taipei,TPE,1984,Los Angeles,Cycling,"Cycling Men's 1,000 metres Time Trial",No medal,True
Lee Fu-hsiang,M,Chinese Taipei,TPE,1988,Seoul,Cycling,Cycling Men's Sprint,No medal,True
Lee Fu-hsiang,M,Chinese Taipei,TPE,1988,Seoul,Cycling,"Cycling Men's 1,000 metres Time Trial",No medal,True
Lin Chih-hsun,M,Chinese Taipei,TPE,2004,Athina,Cycling,"Cycling Men's 1,000 metres Time Trial",No medal,False
Liu Cheng-tao,M,Chinese Taipei,TPE,1968,Mexico City,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Liu Cheng-tao,M,Chinese Taipei,TPE,1968,Mexico City,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Shue Ming-fa,M,Chinese Taipei,TPE,1972,Munich,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Shue Ming-fa,M,Chinese Taipei,TPE,1972,Munich,Cycling,Cycling Men's Sprint,No medal,True
Shue Ming-fa,M,Chinese Taipei,TPE,1972,Munich,Cycling,"Cycling Men's 1,000 metres Time Trial",No medal,True
Shue Ming-shu,M,Chinese Taipei,TPE,1964,Tokyo,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Shue Ming-shu,M,Chinese Taipei,TPE,1964,Tokyo,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Shue Ming-shu,M,Chinese Taipei,TPE,1964,Tokyo,Cycling,"Cycling Men's 1,000 metres Time Trial",No medal,True
Shue Ming-shu,M,Chinese Taipei,TPE,1968,Mexico City,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Shue Ming-shu,M,Chinese Taipei,TPE,1968,Mexico City,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Weng Yu-yi,M,Chinese Taipei,TPE,1992,Barcelona,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Weng Yu-yi,M,Chinese Taipei,TPE,1992,Barcelona,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",No medal,True
Weng Yu-yi,M,Chinese Taipei,TPE,1992,Barcelona,Cycling,Cycling Men's Points Race,No medal,True
Yang Rong-hwa,M,Chinese Taipei,TPE,1964,Tokyo,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,False
