Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Giorgos Akhilleos,M,Cyprus,CYP,2000,Sydney,Shooting,Shooting Men's Skeet,No medal,True
Giorgos Akhilleos,M,Cyprus,CYP,2004,Athina,Shooting,Shooting Men's Skeet,No medal,True
Giorgos Akhilleos,M,Cyprus,CYP,2008,Beijing,Shooting,Shooting Men's Skeet,No medal,True
Giorgos Akhilleos,M,Cyprus,CYP,2012,London,Shooting,Shooting Men's Skeet,No medal,True
Antonis Andreou,M,Cyprus,CYP,1996,Atlanta,Shooting,Shooting Men's Skeet,No medal,True
Antonis Andreou,M,Cyprus,CYP,2000,Sydney,Shooting,Shooting Men's Skeet,No medal,True
Antonis Andreou,M,Cyprus,CYP,2012,London,Shooting,Shooting Men's Skeet,No medal,True
Andreas Chasikos,M,Cyprus,CYP,2016,Rio de Janeiro,Shooting,Shooting Men's Skeet,No medal,False
Khristos Kourtellas,M,Cyprus,CYP,1996,Atlanta,Shooting,Shooting Men's Skeet,No medal,False
Petros Kyritsis,M,Cyprus,CYP,1984,Los Angeles,Shooting,Shooting Mixed Skeet,No medal,False
Anastasios Lordos,M,Cyprus,CYP,1984,Los Angeles,Shooting,Shooting Mixed Trap,No medal,False
Dimitrios Lordos,M,Cyprus,CYP,1992,Barcelona,Shooting,Shooting Mixed Trap,No medal,False
Antonis Nikolaidis,M,Cyprus,CYP,1992,Barcelona,Shooting,Shooting Mixed Skeet,No medal,True
Antonis Nikolaidis,M,Cyprus,CYP,1996,Atlanta,Shooting,Shooting Men's Skeet,No medal,True
Antonis Nikolaidis,M,Cyprus,CYP,2004,Athina,Shooting,Shooting Men's Skeet,No medal,True
Antonis Nikolaidis,M,Cyprus,CYP,2008,Beijing,Shooting,Shooting Men's Skeet,No medal,True
Dimitrios Papakhrisostomou,M,Cyprus,CYP,1984,Los Angeles,Shooting,Shooting Mixed Trap,No medal,False
Mikhalakis Tymbios,M,Cyprus,CYP,1984,Los Angeles,Shooting,Shooting Mixed Skeet,No medal,True
Mikhalakis Tymbios,M,Cyprus,CYP,1988,Seoul,Shooting,Shooting Mixed Skeet,No medal,True
Georgios Achilleos,M,Cyprus,CYP,2020,Tokyo,Shooting,Skeet Men,No medal,False
Dimitris Konstantinou,M,Cyprus,CYP,2020,Tokyo,Shooting,Skeet Men,No medal,False
Andreas Makri,M,Cyprus,CYP,2020,Tokyo,Shooting,Trap Men,No medal,False
