Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Froelund Funch,F,Denmark,DEN,2020,Tokyo,Canoe Sprint,Women's Kayak Double 500m Team,No medal,True
Froelund Funch,F,Denmark,DEN,2020,Tokyo,Canoe Sprint,Women's Kayak Four 500m Team,No medal,True
Nyvang Iversen,F,Denmark,DEN,2020,Tokyo,Canoe Sprint,Women's Kayak Double 500m Team,No medal,True
Nyvang Iversen,F,Denmark,DEN,2020,Tokyo,Canoe Sprint,Women's Kayak Four 500m Team,No medal,True
Aastrand Jorgensen,F,Denmark,DEN,2020,Tokyo,Canoe Sprint,Women's Kayak Single 200m,Bronze,True
Aastrand Jorgensen,F,Denmark,DEN,2020,Tokyo,Canoe Sprint,Women's Kayak Single 500m,Bronze,True
Aastrand Jorgensen,F,Denmark,DEN,2020,Tokyo,Canoe Sprint,Women's Kayak Four 500m Team,No medal,True
Corfixsen Milthers,F,Denmark,DEN,2020,Tokyo,Canoe Sprint,Women's Kayak Single 200m,No medal,True
Corfixsen Milthers,F,Denmark,DEN,2020,Tokyo,Canoe Sprint,Women's Kayak Four 500m Team,No medal,True
Aastrand Jorgensen,F,Denmark,DEN,2024,Paris,Canoe Sprint,Women's Kayak Single 500m,Bronze,True
Aastrand Jorgensen,F,Denmark,DEN,2024,Paris,Canoe Sprint,Women's Kayak Double 500m,No medal,True
Hauge Matthiesen,F,Denmark,DEN,2024,Paris,Canoe Sprint,Women's Kayak Double 500m,No medal,False
