Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Marie-Louise Castenskiold,F,Denmark,DEN,1984,Los Angeles,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Marie-Louise Castenskiold,F,Denmark,DEN,1984,Los Angeles,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Cathrine Dufour,F,Denmark,DEN,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Cathrine Dufour,F,Denmark,DEN,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Lis (holst-),F,Denmark,DEN,1952,Helsinki,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver,True
Lis (holst-),F,Denmark,DEN,1956,Stockholm,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver,True
Lis (holst-),F,Denmark,DEN,1956,Stockholm,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Lene Hoberg,F,Denmark,DEN,1992,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Lene Hoberg,F,Denmark,DEN,1992,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Charlotte -fouillet),F,Denmark,DEN,1972,Munich,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Charlotte -fouillet),F,Denmark,DEN,1972,Munich,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Merethe Jensen,F,Denmark,DEN,1992,Barcelona,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,False
Anne Jensen-trnblad,F,Denmark,DEN,1984,Los Angeles,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver,True
Anne Jensen-trnblad,F,Denmark,DEN,1984,Los Angeles,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Anne Jensen-trnblad,F,Denmark,DEN,1988,Seoul,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Anne Jensen-trnblad,F,Denmark,DEN,1988,Seoul,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Anne Jensen-trnblad,F,Denmark,DEN,1992,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Anne Jensen-trnblad,F,Denmark,DEN,1992,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Anne Olst,F,Denmark,DEN,1988,Seoul,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Anne Olst,F,Denmark,DEN,1988,Seoul,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Anne Olst,F,Denmark,DEN,1992,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Anne Olst,F,Denmark,DEN,1992,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Anne Olst,F,Denmark,DEN,2000,Sydney,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Anne Olst,F,Denmark,DEN,2000,Sydney,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Anne Olst,F,Denmark,DEN,2008,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Anne Olst,F,Denmark,DEN,2012,London,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Anne Olst,F,Denmark,DEN,2012,London,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Lone Jrgensen,F,Denmark,DEN,2000,Sydney,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Lone Jrgensen,F,Denmark,DEN,2000,Sydney,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Lone Jrgensen,F,Denmark,DEN,2004,Athina,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Lone Jrgensen,F,Denmark,DEN,2004,Athina,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Anna Kasprzak,F,Denmark,DEN,2012,London,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Anna Kasprzak,F,Denmark,DEN,2012,London,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Anna Kasprzak,F,Denmark,DEN,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Anna Kasprzak,F,Denmark,DEN,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Agnete Kristiansen-),F,Denmark,DEN,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Agnete Kristiansen-),F,Denmark,DEN,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Inger (schiler-),F,Denmark,DEN,1956,Stockholm,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Inger (schiler-),F,Denmark,DEN,1956,Stockholm,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Lone (pedersen-),F,Denmark,DEN,1992,Barcelona,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal,False
Ulla (holm-),F,Denmark,DEN,1972,Munich,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Ulla (holm-),F,Denmark,DEN,1972,Munich,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Ulla (holm-),F,Denmark,DEN,1976,Montreal,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Ulla (holm-),F,Denmark,DEN,1976,Montreal,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
Lisbeth Seierskilde,F,Denmark,DEN,2012,London,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,False
Nathalie Sayn-wittgenstein-berleburg,F,Denmark,DEN,2008,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Nathalie Sayn-wittgenstein-berleburg,F,Denmark,DEN,2012,London,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal,True
Nathalie Sayn-wittgenstein-berleburg,F,Denmark,DEN,2012,London,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal,True
