Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Georg Albertsen,M,Denmark,DEN,1920,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold,False
Axel Andersen,M,Denmark,DEN,1912,Stockholm,Gymnastics,Gymnastics Men's Individual All-Around,No medal,True
Axel Andersen,M,Denmark,DEN,1912,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Bronze,True
Carl Andersen,M,Denmark,DEN,1906,Athina,Gymnastics,Gymnastics Men's Team All-Around,Silver,True
Carl Andersen,M,Denmark,DEN,1908,London,Gymnastics,Gymnastics Men's Team All-Around,No medal,True
Carl Andersen,M,Denmark,DEN,1920,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold,True
Hjalmart (-eering),M,Denmark,DEN,1912,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Bronze,False
Peter Andersen,M,Denmark,DEN,1912,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver,False
Ole Benediktson,M,Denmark,DEN,1972,Munich,Gymnastics,Gymnastics Men's Individual All-Around,No medal,True
Ole Benediktson,M,Denmark,DEN,1972,Munich,Gymnastics,Gymnastics Men's Floor Exercise,No medal,True
Ole Benediktson,M,Denmark,DEN,1972,Munich,Gymnastics,Gymnastics Men's Horse Vault,No medal,True
Ole Benediktson,M,Denmark,DEN,1972,Munich,Gymnastics,Gymnastics Men's Parallel Bars,No medal,True
Ole Benediktson,M,Denmark,DEN,1972,Munich,Gymnastics,Gymnastics Men's Horizontal Bar,No medal,True
Ole Benediktson,M,Denmark,DEN,1972,Munich,Gymnastics,Gymnastics Men's Rings,No medal,True
Ole Benediktson,M,Denmark,DEN,1972,Munich,Gymnastics,Gymnastics Men's Pommelled Horse,No medal,True
Ole Benediktson,M,Denmark,DEN,1976,Montreal,Gymnastics,Gymnastics Men's Individual All-Around,No medal,True
Ole Benediktson,M,Denmark,DEN,1976,Montreal,Gymnastics,Gymnastics Men's Floor Exercise,No medal,True
Ole Benediktson,M,Denmark,DEN,1976,Montreal,Gymnastics,Gymnastics Men's Horse Vault,No medal,True
Ole Benediktson,M,Denmark,DEN,1976,Montreal,Gymnastics,Gymnastics Men's Parallel Bars,No medal,True
Ole Benediktson,M,Denmark,DEN,1976,Montreal,Gymnastics,Gymnastics Men's Horizontal Bar,No medal,True
Ole Benediktson,M,Denmark,DEN,1976,Montreal,Gymnastics,Gymnastics Men's Rings,No medal,True
Ole Benediktson,M,Denmark,DEN,1976,Montreal,Gymnastics,Gymnastics Men's Pommelled Horse,No medal,True
Halvor Birch,M,Denmark,DEN,1906,Athina,Gymnastics,Gymnastics Men's Team All-Around,Silver,True
Halvor Birch,M,Denmark,DEN,1912,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Bronze,True
Johannes Birk,M,Denmark,DEN,1920,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver,False
Valdemar Bggild,M,Denmark,DEN,1912,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver,False
Hans Bredmose,M,Denmark,DEN,1908,London,Gymnastics,Gymnastics Men's Team All-Around,No medal,False
Peder Bukdahl,M,Denmark,DEN,1906,Athina,Gymnastics,Gymnastics Men's Team All-Around,Silver,False
William Chievitz,M,Denmark,DEN,1908,London,Gymnastics,Gymnastics Men's Team All-Around,No medal,False
Sren Christensen,M,Denmark,DEN,1912,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver,False
Viggo Dibbern,M,Denmark,DEN,1920,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold,False
Ingvald Eriksen,M,Denmark,DEN,1912,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver,False
George Falcke,M,Denmark,DEN,1912,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver,False
Aage Frandsen,M,Denmark,DEN,1920,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold,False
Torkild Garp,M,Denmark,DEN,1912,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver,False
Kaj Gnudtzmann,M,Denmark,DEN,1906,Athina,Gymnastics,Gymnastics Men's Team All-Around,Silver,False
Herman Grimmelmann,M,Denmark,DEN,1912,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Bronze,False
Tage Grnne,M,Denmark,DEN,1948,London,Gymnastics,Gymnastics Men's Individual All-Around,No medal,True
Tage Grnne,M,Denmark,DEN,1948,London,Gymnastics,Gymnastics Men's Team All-Around,No medal,True
Tage Grnne,M,Denmark,DEN,1948,London,Gymnastics,Gymnastics Men's Floor Exercise,No medal,True
Tage Grnne,M,Denmark,DEN,1948,London,Gymnastics,Gymnastics Men's Horse Vault,No medal,True
Tage Grnne,M,Denmark,DEN,1948,London,Gymnastics,Gymnastics Men's Parallel Bars,No medal,True
Tage Grnne,M,Denmark,DEN,1948,London,Gymnastics,Gymnastics Men's Horizontal Bar,No medal,True
Tage Grnne,M,Denmark,DEN,1948,London,Gymnastics,Gymnastics Men's Rings,No medal,True
Tage Grnne,M,Denmark,DEN,1948,London,Gymnastics,Gymnastics Men's Pommelled Horse,No medal,True
Arvor Hansen,M,Denmark,DEN,1908,London,Gymnastics,Gymnastics Men's Team All-Around,No medal,True
Arvor Hansen,M,Denmark,DEN,1912,Stockholm,Gymnastics,Gymnastics Men's Individual All-Around,No medal,True
Arvor Hansen,M,Denmark,DEN,1912,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Bronze,True
Christian Hansen,M,Denmark,DEN,1908,London,Gymnastics,Gymnastics Men's Team All-Around,No medal,True
Christian Hansen,M,Denmark,DEN,1912,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Bronze,True
Frede Hansen,M,Denmark,DEN,1920,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver,False
Frederik (-melvang),M,Denmark,DEN,1920,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver,False
Hans Hansen,M,Denmark,DEN,1912,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver,False
Ingvardt Hansen,M,Denmark,DEN,1908,London,Gymnastics,Gymnastics Men's Team All-Around,No medal,False
Johannes Hansen,M,Denmark,DEN,1912,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver,False
Kristian (-bges),M,Denmark,DEN,1920,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver,False
Aage Hansen,M,Denmark,DEN,1912,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Bronze,False
Rasmus Hansen,M,Denmark,DEN,1912,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver,False
Hugo Helsten,M,Denmark,DEN,1920,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold,False
Georg Hermann,M,Denmark,DEN,1908,London,Gymnastics,Gymnastics Men's Team All-Around,No medal,False
Harry Holm,M,Denmark,DEN,1920,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold,False
Knud Holm,M,Denmark,DEN,1906,Athina,Gymnastics,Gymnastics Men's Team All-Around,Silver,True
Knud Holm,M,Denmark,DEN,1908,London,Gymnastics,Gymnastics Men's Team All-Around,No medal,True
Poul Holm,M,Denmark,DEN,1908,London,Gymnastics,Gymnastics Men's Team All-Around,No medal,False
Oluf Husted-nielsen,M,Denmark,DEN,1908,London,Gymnastics,Gymnastics Men's Team All-Around,No medal,False
Hans Jakobsen,M,Denmark,DEN,1920,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver,False
Carl Jansson,M,Denmark,DEN,1920,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold,False
Sren Jensen,M,Denmark,DEN,1912,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver,False
Charles Jensen,M,Denmark,DEN,1908,London,Gymnastics,Gymnastics Men's Team All-Around,No medal,True
Charles Jensen,M,Denmark,DEN,1912,Stockholm,Gymnastics,Gymnastics Men's Individual All-Around,No medal,True
Charles Jensen,M,Denmark,DEN,1912,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Bronze,True
