Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Anne Andersen,F,Denmark,DEN,2016,Rio de Janeiro,Rowing,Rowing Women's Coxless Pairs,Bronze,False
Judith (-lyster),F,Denmark,DEN,1976,Montreal,Rowing,Rowing Women's Coxed Quadruple Sculls,No medal,False
Lene Andersson,F,Denmark,DEN,1996,Atlanta,Rowing,Rowing Women's Lightweight Double Sculls,No medal,False
Bianca (-bech),F,Denmark,DEN,2000,Sydney,Rowing,Rowing Women's Quadruple Sculls,No medal,False
Berit Christoffersen,F,Denmark,DEN,1992,Barcelona,Rowing,Rowing Women's Quadruple Sculls,No medal,True
Berit Christoffersen,F,Denmark,DEN,1996,Atlanta,Rowing,Rowing Women's Lightweight Double Sculls,No medal,True
Fie Erichsen,F,Denmark,DEN,2012,London,Rowing,Rowing Women's Single Sculls,Silver,True
Fie Erichsen,F,Denmark,DEN,2016,Rio de Janeiro,Rowing,Rowing Women's Single Sculls,No medal,True
Hanne Eriksen,F,Denmark,DEN,1984,Los Angeles,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze,False
Katrin Gleie,F,Denmark,DEN,2000,Sydney,Rowing,Rowing Women's Quadruple Sculls,No medal,False
Birgitte Hanel,F,Denmark,DEN,1984,Los Angeles,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze,False
Hanne Hansen,F,Denmark,DEN,1992,Barcelona,Rowing,Rowing Women's Quadruple Sculls,No medal,True
Hanne Hansen,F,Denmark,DEN,1996,Atlanta,Rowing,Rowing Women's Single Sculls,Bronze,True
Ulla Hansen,F,Denmark,DEN,1992,Barcelona,Rowing,Rowing Women's Quadruple Sculls,No medal,True
Ulla Hansen,F,Denmark,DEN,1996,Atlanta,Rowing,Rowing Women's Quadruple Sculls,No medal,True
Nina Hollensen,F,Denmark,DEN,2016,Rio de Janeiro,Rowing,Rowing Women's Double Sculls,No medal,False
Lisbet Jakobsen,F,Denmark,DEN,2016,Rio de Janeiro,Rowing,Rowing Women's Double Sculls,No medal,False
Kirsten (-bjnness),F,Denmark,DEN,1976,Montreal,Rowing,Rowing Women's Coxed Quadruple Sculls,No medal,False
Lise Justesen,F,Denmark,DEN,1980,Moskva,Rowing,Rowing Women's Single Sculls,No medal,True
Lise Justesen,F,Denmark,DEN,1984,Los Angeles,Rowing,Rowing Women's Single Sculls,No medal,True
Inger (-pedersen),F,Denmark,DEN,1984,Los Angeles,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze,False
Sarah Lauritzen,F,Denmark,DEN,1996,Atlanta,Rowing,Rowing Women's Quadruple Sculls,No medal,True
Sarah Lauritzen,F,Denmark,DEN,2000,Sydney,Rowing,Rowing Women's Quadruple Sculls,No medal,True
Sarah Lauritzen,F,Denmark,DEN,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,No medal,True
Else (-hundebll),F,Denmark,DEN,1976,Montreal,Rowing,Rowing Women's Coxed Quadruple Sculls,No medal,False
Karen (-hansen),F,Denmark,DEN,1976,Montreal,Rowing,Rowing Women's Coxed Quadruple Sculls,No medal,False
Majbrit Nielsen,F,Denmark,DEN,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,No medal,False
