Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Hans-Georg Beyer,M,East Germany,GDR,1980,Moskva,Handball,Handball Men's Handball,Gold,Handball,HBL,False,True
Wolfgang Bhme,M,East Germany,GDR,1972,Munich,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Rdiger Borchardt,M,East Germany,GDR,1988,Seoul,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Lothar Doering,M,East Germany,GDR,1980,Moskva,Handball,Handball Men's Handball,Gold,Handball,HBL,False,True
Gnter Dreibrodt,M,East Germany,GDR,1980,Moskva,Handball,Handball Men's Handball,Gold,Handball,HBL,False,True
Jens Fiedler,M,East Germany,GDR,1988,Seoul,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Reiner Frieske,M,East Germany,GDR,1972,Munich,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Mike Fuhrig,M,East Germany,GDR,1988,Seoul,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Reiner Ganschow,M,East Germany,GDR,1972,Munich,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Ernst Gerlach,M,East Germany,GDR,1980,Moskva,Handball,Handball Men's Handball,Gold,Handball,HBL,False,True
Klaus Gruner,M,East Germany,GDR,1980,Moskva,Handball,Handball Men's Handball,Gold,Handball,HBL,False,True
Matthias Hahn,M,East Germany,GDR,1988,Seoul,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Stephan Hauck,M,East Germany,GDR,1988,Seoul,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Jrgen Hildebrand,M,East Germany,GDR,1972,Munich,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Peter Hofmann,M,East Germany,GDR,1988,Seoul,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Rainer Hft,M,East Germany,GDR,1980,Moskva,Handball,Handball Men's Handball,Gold,Handball,HBL,False,True
Horst Jankhfer,M,East Germany,GDR,1972,Munich,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Hans-Georg Jaunich,M,East Germany,GDR,1980,Moskva,Handball,Handball Men's Handball,Gold,Handball,HBL,False,True
Hartmut Krger,M,East Germany,GDR,1980,Moskva,Handball,Handball Men's Handball,Gold,Handball,HBL,False,True
Wolfgang Lakenmacher,M,East Germany,GDR,1972,Munich,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Klaus Langhoff,M,East Germany,GDR,1972,Munich,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Peter Larisch,M,East Germany,GDR,1972,Munich,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Bernd Metzke,M,East Germany,GDR,1988,Seoul,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Andreas Neitzel,M,East Germany,GDR,1988,Seoul,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Peter Pysall,M,East Germany,GDR,1988,Seoul,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Peter Randt,M,East Germany,GDR,1972,Munich,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Udo Rhrig,M,East Germany,GDR,1972,Munich,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Josef Rose,M,East Germany,GDR,1972,Munich,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Peter Rost,M,East Germany,GDR,1980,Moskva,Handball,Handball Men's Handball,Gold,Handball,HBL,False,True
Dietmar Schmidt,M,East Germany,GDR,1980,Moskva,Handball,Handball Men's Handball,Gold,Handball,HBL,False,True
Wieland Schmidt,M,East Germany,GDR,1980,Moskva,Handball,Handball Men's Handball,Gold,Handball,HBL,True,True
Wieland Schmidt,M,East Germany,GDR,1988,Seoul,Handball,Handball Men's Handball,No medal,Handball,HBL,True,False
Holger Schneider,M,East Germany,GDR,1988,Seoul,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Siegfried Voigt,M,East Germany,GDR,1972,Munich,Handball,Handball Men's Handball,No medal,Handball,HBL,True,True
Siegfried Voigt,M,East Germany,GDR,1980,Moskva,Handball,Handball Men's Handball,Gold,Handball,HBL,True,False
Frank-Michael Wahl,M,East Germany,GDR,1980,Moskva,Handball,Handball Men's Handball,Gold,Handball,HBL,True,True
Frank-Michael Wahl,M,East Germany,GDR,1988,Seoul,Handball,Handball Men's Handball,No medal,Handball,HBL,True,False
Klaus Wei,M,East Germany,GDR,1972,Munich,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Ingolf Wiegert,M,East Germany,GDR,1980,Moskva,Handball,Handball Men's Handball,Gold,Handball,HBL,False,True
Holger Winselmann,M,East Germany,GDR,1988,Seoul,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Rainer Wrdig,M,East Germany,GDR,1972,Munich,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Rainer Zimmermann,M,East Germany,GDR,1972,Munich,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
Harry Zrnack,M,East Germany,GDR,1972,Munich,Handball,Handball Men's Handball,No medal,Handball,HBL,False,True
