Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Jrgen Freiwald,M,East Germany,GDR,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,No medal,Volleyball,VVO,False
Horst Hagen,M,East Germany,GDR,1972,Munich,Volleyball,Volleyball Men's Volleyball,Silver,Volleyball,VVO,False
Manfred Heine,M,East Germany,GDR,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,No medal,Volleyball,VVO,False
Jrgen Kessel,M,East Germany,GDR,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,No medal,Volleyball,VVO,False
Wolfgang Lwe,M,East Germany,GDR,1972,Munich,Volleyball,Volleyball Men's Volleyball,Silver,Volleyball,VVO,False
Wolfgang Maibohm,M,East Germany,GDR,1972,Munich,Volleyball,Volleyball Men's Volleyball,Silver,Volleyball,VVO,False
Jrgen Maune,M,East Germany,GDR,1972,Munich,Volleyball,Volleyball Men's Volleyball,Silver,Volleyball,VVO,False
Horst Peter,M,East Germany,GDR,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,No medal,Volleyball,VVO,True
Horst Peter,M,East Germany,GDR,1972,Munich,Volleyball,Volleyball Men's Volleyball,Silver,Volleyball,VVO,True
Eckehard Pietzsch,M,East Germany,GDR,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,No medal,Volleyball,VVO,True
Eckehard Pietzsch,M,East Germany,GDR,1972,Munich,Volleyball,Volleyball Men's Volleyball,Silver,Volleyball,VVO,True
Siegfried Schneider,M,East Germany,GDR,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,No medal,Volleyball,VVO,True
Siegfried Schneider,M,East Germany,GDR,1972,Munich,Volleyball,Volleyball Men's Volleyball,Silver,Volleyball,VVO,True
Arnold Schulz,M,East Germany,GDR,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,No medal,Volleyball,VVO,True
Arnold Schulz,M,East Germany,GDR,1972,Munich,Volleyball,Volleyball Men's Volleyball,Silver,Volleyball,VVO,True
Rudi Schumann,M,East Germany,GDR,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,No medal,Volleyball,VVO,True
Rudi Schumann,M,East Germany,GDR,1972,Munich,Volleyball,Volleyball Men's Volleyball,Silver,Volleyball,VVO,True
Eckhard Tielscher,M,East Germany,GDR,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,No medal,Volleyball,VVO,False
Walter Toussaint,M,East Germany,GDR,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,No medal,Volleyball,VVO,False
Rainer Tscharke,M,East Germany,GDR,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,No medal,Volleyball,VVO,True
Rainer Tscharke,M,East Germany,GDR,1972,Munich,Volleyball,Volleyball Men's Volleyball,Silver,Volleyball,VVO,True
Wolfgang Webner,M,East Germany,GDR,1968,Mexico City,Volleyball,Volleyball Men's Volleyball,No medal,Volleyball,VVO,True
Wolfgang Webner,M,East Germany,GDR,1972,Munich,Volleyball,Volleyball Men's Volleyball,Silver,Volleyball,VVO,True
Wolfgang Weise,M,East Germany,GDR,1972,Munich,Volleyball,Volleyball Men's Volleyball,Silver,Volleyball,VVO,False
