Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Maike Arlt,F,East Germany,GDR,1988,Seoul,Volleyball,Volleyball Women's Volleyball,No medal,False
Jutta (puls-),F,East Germany,GDR,1976,Montreal,Volleyball,Volleyball Women's Volleyball,No medal,False
Monika Beu,F,East Germany,GDR,1988,Seoul,Volleyball,Volleyball Women's Volleyball,No medal,False
Katharina Bullin,F,East Germany,GDR,1980,Moskva,Volleyball,Volleyball Women's Volleyball,Silver,False
Barbara Czekalla,F,East Germany,GDR,1976,Montreal,Volleyball,Volleyball Women's Volleyball,No medal,True
Barbara Czekalla,F,East Germany,GDR,1980,Moskva,Volleyball,Volleyball Women's Volleyball,Silver,True
Brigitte (-consuegra),F,East Germany,GDR,1980,Moskva,Volleyball,Volleyball Women's Volleyball,Silver,False
Gudrun Grtner,F,East Germany,GDR,1976,Montreal,Volleyball,Volleyball Women's Volleyball,No medal,False
Andrea (-markus),F,East Germany,GDR,1980,Moskva,Volleyball,Volleyball Women's Volleyball,Silver,False
Heike Jensen,F,East Germany,GDR,1988,Seoul,Volleyball,Volleyball Women's Volleyball,No medal,False
Grit (-bhnke),F,East Germany,GDR,1988,Seoul,Volleyball,Volleyball Women's Volleyball,No medal,False
Ute (-meyer),F,East Germany,GDR,1980,Moskva,Volleyball,Volleyball Women's Volleyball,Silver,False
Susanne Lahme,F,East Germany,GDR,1988,Seoul,Volleyball,Volleyball Women's Volleyball,No medal,False
Ute Langenau,F,East Germany,GDR,1988,Seoul,Volleyball,Volleyball Women's Volleyball,No medal,False
Kathrin Langschwager,F,East Germany,GDR,1988,Seoul,Volleyball,Volleyball Women's Volleyball,No medal,False
Heike (-grund),F,East Germany,GDR,1980,Moskva,Volleyball,Volleyball Women's Volleyball,Silver,False
Hannelore Meincke,F,East Germany,GDR,1976,Montreal,Volleyball,Volleyball Women's Volleyball,No medal,False
Monika Meiner,F,East Germany,GDR,1976,Montreal,Volleyball,Volleyball Women's Volleyball,No medal,False
Ingrid (hamann-),F,East Germany,GDR,1976,Montreal,Volleyball,Volleyball Women's Volleyball,No medal,False
Helga Offen,F,East Germany,GDR,1976,Montreal,Volleyball,Volleyball Women's Volleyball,No medal,False
Karin (kahlow-),F,East Germany,GDR,1980,Moskva,Volleyball,Volleyball Women's Volleyball,Silver,False
Ariane (-hornung),F,East Germany,GDR,1988,Seoul,Volleyball,Volleyball Women's Volleyball,No medal,False
Cornelia Rickert,F,East Germany,GDR,1976,Montreal,Volleyball,Volleyball Women's Volleyball,No medal,False
Karla (-mgge),F,East Germany,GDR,1976,Montreal,Volleyball,Volleyball Women's Volleyball,No medal,True
Karla (-mgge),F,East Germany,GDR,1980,Moskva,Volleyball,Volleyball Women's Volleyball,Silver,True
Martina (-schwarz),F,East Germany,GDR,1980,Moskva,Volleyball,Volleyball Women's Volleyball,Silver,False
Steffi Schmidt,F,East Germany,GDR,1988,Seoul,Volleyball,Volleyball Women's Volleyball,No medal,False
Annette (-klatt),F,East Germany,GDR,1980,Moskva,Volleyball,Volleyball Women's Volleyball,Silver,False
Ute (oldenburg-),F,East Germany,GDR,1988,Seoul,Volleyball,Volleyball Women's Volleyball,No medal,False
Johanna (kuhfu-),F,East Germany,GDR,1976,Montreal,Volleyball,Volleyball Women's Volleyball,No medal,False
Drte Stdemann,F,East Germany,GDR,1988,Seoul,Volleyball,Volleyball Women's Volleyball,No medal,False
Christine Walther-mummhardt,F,East Germany,GDR,1976,Montreal,Volleyball,Volleyball Women's Volleyball,No medal,True
Christine Walther-mummhardt,F,East Germany,GDR,1980,Moskva,Volleyball,Volleyball Women's Volleyball,Silver,True
Anke (-maukel),F,East Germany,GDR,1976,Montreal,Volleyball,Volleyball Women's Volleyball,No medal,True
Anke (-maukel),F,East Germany,GDR,1980,Moskva,Volleyball,Volleyball Women's Volleyball,Silver,True
Brit Wiedemann,F,East Germany,GDR,1988,Seoul,Volleyball,Volleyball Women's Volleyball,No medal,False
