Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Magaly Sols,F,Ecuador,ECU,2016,Rio de Janeiro,Athletics,Athletics Women's 20 kilometres Walk,No medal,Athletics,ATH,False
Janeth (-alder),F,Ecuador,ECU,1992,Barcelona,Athletics,"Athletics Women's 3,000 metres",No medal,Athletics,ATH,False
Mara Galarza,F,Ecuador,ECU,2016,Rio de Janeiro,Athletics,Athletics Women's Marathon,No medal,Athletics,ATH,False
Rosa Chacha,F,Ecuador,ECU,2012,London,Athletics,Athletics Women's Marathon,No medal,Athletics,ATH,True
Rosa Chacha,F,Ecuador,ECU,2016,Rio de Janeiro,Athletics,Athletics Women's Marathon,No medal,Athletics,ATH,True
Liliana Das,F,Ecuador,ECU,1988,Seoul,Athletics,Athletics Women's 400 metres,No medal,Athletics,ATH,True
Liliana Das,F,Ecuador,ECU,1988,Seoul,Athletics,Athletics Women's 400 metres Hurdles,No medal,Athletics,ATH,True
Liliana Das,F,Ecuador,ECU,1992,Barcelona,Athletics,Athletics Women's 400 metres Hurdles,No medal,Athletics,ATH,True
rika Quintero,F,Ecuador,ECU,2012,London,Athletics,Athletics Women's 200 metres,No medal,Athletics,ATH,False
Maritza Guamn,F,Ecuador,ECU,2016,Rio de Janeiro,Athletics,Athletics Women's 20 kilometres Walk,No medal,Athletics,ATH,False
Yadira Maza,F,Ecuador,ECU,2012,London,Athletics,Athletics Women's 20 kilometres Walk,No medal,Athletics,ATH,False
Lucy Ogonaga,F,Ecuador,ECU,2012,London,Athletics,Athletics Women's 400 metres Hurdles,No medal,Athletics,ATH,False
Narcisa Bentez,F,Ecuador,ECU,2016,Rio de Janeiro,Athletics,Athletics Women's 100 metres,No medal,Athletics,ATH,False
Johana Lucero,F,Ecuador,ECU,2008,Beijing,Athletics,Athletics Women's 20 kilometres Walk,No medal,Athletics,ATH,False
Silvia Yucailla,F,Ecuador,ECU,2016,Rio de Janeiro,Athletics,Athletics Women's Marathon,No medal,Athletics,ATH,False
Paola Saquipay,F,Ecuador,ECU,2012,London,Athletics,Athletics Women's 20 kilometres Walk,No medal,Athletics,ATH,True
Paola Saquipay,F,Ecuador,ECU,2016,Rio de Janeiro,Athletics,Athletics Women's 20 kilometres Walk,No medal,Athletics,ATH,True
Miriam Duran,F,Ecuador,ECU,1992,Barcelona,Athletics,Athletics Women's 10 kilometres Walk,No medal,Athletics,ATH,False
Sandra Mosquera,F,Ecuador,ECU,2004,Athina,Athletics,Athletics Women's Marathon,No medal,Athletics,ATH,True
Sandra Mosquera,F,Ecuador,ECU,2008,Beijing,Athletics,Athletics Women's Marathon,No medal,Athletics,ATH,True
ngela Micolta,F,Ecuador,ECU,2016,Rio de Janeiro,Athletics,Athletics Women's 100 metres,No medal,Athletics,ATH,True
ngela Micolta,F,Ecuador,ECU,2016,Rio de Janeiro,Athletics,Athletics Women's 200 metres,No medal,Athletics,ATH,True
Martha Pancar,F,Ecuador,ECU,1992,Barcelona,Athletics,"Athletics Women's 10,000 metres",No medal,Athletics,ATH,True
Martha Pancar,F,Ecuador,ECU,1996,Atlanta,Athletics,Athletics Women's Marathon,No medal,Athletics,ATH,True
Martha Pancar,F,Ecuador,ECU,2000,Sydney,Athletics,Athletics Women's Marathon,No medal,Athletics,ATH,True
Nancy Vallecilla,F,Ecuador,ECU,1980,Moskva,Athletics,Athletics Women's Pentathlon,No medal,Athletics,ATH,True
Nancy Vallecilla,F,Ecuador,ECU,1988,Seoul,Athletics,Athletics Women's 100 metres Hurdles,No medal,Athletics,ATH,True
Yuliana Angulo,F,Ecuador,ECU,2020,Tokyo,Athletics,Women's 4 x 100m Relay Team,No medal,Women's,ATH,False
Paola Bonilla,F,Ecuador,ECU,2020,Tokyo,Athletics,Women's Marathon,No medal,Women's,ATH,False
Rosa Chacha,F,Ecuador,ECU,2020,Tokyo,Athletics,Women's Marathon,No medal,Women's,ATH,True
Karla Jaramillo,F,Ecuador,ECU,2020,Tokyo,Athletics,Women's 20km Race Walk,No medal,Women's,ATH,False
Marizol Landazuri,F,Ecuador,ECU,2020,Tokyo,Athletics,Women's 4 x 100m Relay Team,No medal,Women's,ATH,False
Glenda Morejon,F,Ecuador,ECU,2020,Tokyo,Athletics,Women's 20km Race Walk,No medal,Women's,ATH,True
