Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Petrus Bergman,M,Erna Signe,SWE,1912,Stockholm,Sailing,Sailing Mixed 12 metres,Silver,False
Dick Bergstrm,M,Erna Signe,SWE,1912,Stockholm,Sailing,Sailing Mixed 12 metres,Silver,False
Kurt Bergstrm,M,Erna Signe,SWE,1912,Stockholm,Sailing,Sailing Mixed 12 metres,Silver,False
Hugo Clason,M,Erna Signe,SWE,1912,Stockholm,Sailing,Sailing Mixed 12 metres,Silver,False
Folke Johnson,M,Erna Signe,SWE,1912,Stockholm,Sailing,Sailing Mixed 12 metres,Silver,False
Gustaf Kander,M,Erna Signe,SWE,1912,Stockholm,Sailing,Sailing Mixed 12 metres,Silver,False
Nils Lamby,M,Erna Signe,SWE,1912,Stockholm,Sailing,Sailing Mixed 12 metres,Silver,False
Erik Lindqvist,M,Erna Signe,SWE,1912,Stockholm,Sailing,Sailing Mixed 12 metres,Silver,False
Nils Persson,M,Erna Signe,SWE,1912,Stockholm,Sailing,Sailing Mixed 12 metres,Silver,False
Rikard Sllstrm,M,Erna Signe,SWE,1912,Stockholm,Sailing,Sailing Mixed 12 metres,Silver,False
