Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Eduard (-eelma),M,Estonia,EST,1924,Paris,Football,Football Men's Football,No medal,False
Ernst-Aleksander Joll,M,Estonia,EST,1924,Paris,Football,Football Men's Football,No medal,False
Harald (-kaarma),M,Estonia,EST,1924,Paris,Football,Football Men's Football,No medal,False
Elmar Kaljot,M,Estonia,EST,1924,Paris,Football,Football Men's Football,No medal,False
August Lass,M,Estonia,EST,1924,Paris,Football,Football Men's Football,No medal,False
Heinrich Paal,M,Estonia,EST,1924,Paris,Football,Football Men's Football,No medal,False
Arnold Pihlak,M,Estonia,EST,1924,Paris,Football,Football Men's Football,No medal,False
Bernhard Rein,M,Estonia,EST,1924,Paris,Football,Football Men's Football,No medal,False
Otto Silber,M,Estonia,EST,1924,Paris,Football,Football Men's Football,No medal,False
Oskar Praus,M,Estonia,EST,1924,Paris,Football,Football Men's Football,No medal,False
Hugo Vli,M,Estonia,EST,1924,Paris,Football,Football Men's Football,No medal,False
