Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Alain Acart,M,France,FRA,1972,Munich,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",No medal,True
Alain Acart,M,France,FRA,1976,Montreal,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",No medal,True
Franck Adisson,M,France,FRA,2000,Sydney,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",No medal,False
Henri Amazouze,M,France,FRA,1960,Roma,Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres,No medal,False
Bbak Amir-tahmasseb,M,France,FRA,2000,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",No medal,True
Bbak Amir-tahmasseb,M,France,FRA,2000,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",No medal,True
Bbak Amir-tahmasseb,M,France,FRA,2004,Athina,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",No medal,True
Bbak Amir-tahmasseb,M,France,FRA,2004,Athina,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",No medal,True
Ren Argentin,M,France,FRA,1948,London,Canoeing,"Canoeing Men's Canadian Singles, 10,000 metres",No medal,False
Philippe Aubertin,M,France,FRA,1992,Barcelona,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",No medal,True
Philippe Aubertin,M,France,FRA,2000,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",No medal,True
Philippe Aubertin,M,France,FRA,2000,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",No medal,True
Jacky Avril,M,France,FRA,1992,Barcelona,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Bronze,False
Franois Barouh,M,France,FRA,1980,Moskva,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",No medal,True
Franois Barouh,M,France,FRA,1984,Los Angeles,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze,True
Adrien Bart,M,France,FRA,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",No medal,False
Claude Baux,M,France,FRA,1972,Munich,Canoeing,"Canoeing Men's Canadian Singles, Slalom",No medal,False
Maxime Beaumont,M,France,FRA,2012,London,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",No medal,True
Maxime Beaumont,M,France,FRA,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Silver,True
Maxime Beaumont,M,France,FRA,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",No medal,True
Patrick Brard,M,France,FRA,1980,Moskva,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",No medal,False
Jol Bettin,M,France,FRA,1988,Seoul,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze,False
Bruno Bicocchi,M,France,FRA,1976,Montreal,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",No medal,False
Philippe Boccara,M,France,FRA,1980,Moskva,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",No medal,True
