Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Remi Cavagna,M,France,FRA,2020,Tokyo,Cycling Road,Men's Road Race,No medal,True
Remi Cavagna,M,France,FRA,2020,Tokyo,Cycling Road,Men's Individual Time Trial,No medal,True
Benoit Cosnefroy,M,France,FRA,2020,Tokyo,Cycling Road,Men's Road Race,No medal,False
Kenny Elissonde,M,France,FRA,2020,Tokyo,Cycling Road,Men's Road Race,No medal,False
David Gaudu,M,France,FRA,2020,Tokyo,Cycling Road,Men's Road Race,No medal,False
Guillaume Martin,M,France,FRA,2020,Tokyo,Cycling Road,Men's Road Race,No medal,False
Julian Alaphilippe,M,France,FRA,2024,Paris,Cycling Road,Men's Road Race,No medal,False
Christophe Laporte,M,France,FRA,2024,Paris,Cycling Road,Men's Road Race,Bronze,False
Valentin Madouas,M,France,FRA,2024,Paris,Cycling Road,Men's Road Race,Silver,False
Kevin Vauquelin,M,France,FRA,2024,Paris,Cycling Road,Men's Road Race,No medal,True
Kevin Vauquelin,M,France,FRA,2024,Paris,Cycling Road,Men's Individual Time Trial,No medal,True
