Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Ccile Argiolas,F,France,FRA,2004,Athina,Fencing,"Fencing Women's Sabre, Individual",No medal,False
Valrie Barlois-mevel-leroux,F,France,FRA,1996,Atlanta,Fencing,"Fencing Women's epee, Individual",Silver,True
Valrie Barlois-mevel-leroux,F,France,FRA,1996,Atlanta,Fencing,"Fencing Women's epee, Team",Gold,True
Valrie Barlois-mevel-leroux,F,France,FRA,2000,Sydney,Fencing,"Fencing Women's epee, Individual",No medal,True
Valrie Barlois-mevel-leroux,F,France,FRA,2000,Sydney,Fencing,"Fencing Women's epee, Team",No medal,True
Ccilia Berder,F,France,FRA,2016,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Individual",No medal,True
Ccilia Berder,F,France,FRA,2016,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",No medal,True
Anita Blaze,F,France,FRA,2012,London,Fencing,"Fencing Women's Foil, Team",No medal,True
Isabelle Bori-bgard,F,France,FRA,1980,Moskva,Fencing,"Fencing Women's Foil, Team",Gold,False
Andre (bauduin-),F,France,FRA,1936,Berlin,Fencing,"Fencing Women's Foil, Individual",No medal,False
Marcelle Bory,F,France,FRA,1924,Paris,Fencing,"Fencing Women's Foil, Individual",No medal,False
Saoussen Boudiaf,F,France,FRA,2016,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",No medal,False
Vronique Brouquier,F,France,FRA,1980,Moskva,Fencing,"Fencing Women's Foil, Individual",No medal,True
Vronique Brouquier,F,France,FRA,1980,Moskva,Fencing,"Fencing Women's Foil, Team",Gold,True
Vronique Brouquier,F,France,FRA,1984,Los Angeles,Fencing,"Fencing Women's Foil, Individual",No medal,True
Vronique Brouquier,F,France,FRA,1984,Los Angeles,Fencing,"Fencing Women's Foil, Team",Bronze,True
Manon Brunet,F,France,FRA,2016,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Individual",No medal,True
Manon Brunet,F,France,FRA,2016,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",No medal,True
Marie-Florence Candassamy,F,France,FRA,2016,Rio de Janeiro,Fencing,"Fencing Women's epee, Individual",No medal,True
Marie-Florence Candassamy,F,France,FRA,2016,Rio de Janeiro,Fencing,"Fencing Women's epee, Team",No medal,True
Yvonne Conte,F,France,FRA,1924,Paris,Fencing,"Fencing Women's Foil, Individual",No medal,False
Camille Couzi,F,France,FRA,1992,Barcelona,Fencing,"Fencing Women's Foil, Team",No medal,False
Sarah Daninthe,F,France,FRA,2004,Athina,Fencing,"Fencing Women's epee, Team",Bronze,False
Catherine -d'oriola),F,France,FRA,1956,Melbourne,Fencing,"Fencing Women's Foil, Individual",No medal,True
Catherine -d'oriola),F,France,FRA,1960,Roma,Fencing,"Fencing Women's Foil, Individual",No medal,True
Catherine -d'oriola),F,France,FRA,1960,Roma,Fencing,"Fencing Women's Foil, Team",No medal,True
Marie-Chantal Depetris-demaille,F,France,FRA,1964,Tokyo,Fencing,"Fencing Women's Foil, Team",No medal,True
Marie-Chantal Depetris-demaille,F,France,FRA,1968,Mexico City,Fencing,"Fencing Women's Foil, Individual",No medal,True
Marie-Chantal Depetris-demaille,F,France,FRA,1968,Mexico City,Fencing,"Fencing Women's Foil, Team",No medal,True
Marie-Chantal Depetris-demaille,F,France,FRA,1972,Munich,Fencing,"Fencing Women's Foil, Individual",No medal,True
Marie-Chantal Depetris-demaille,F,France,FRA,1972,Munich,Fencing,"Fencing Women's Foil, Team",No medal,True
Odette (-heymann),F,France,FRA,1952,Helsinki,Fencing,"Fencing Women's Foil, Individual",No medal,False
Laura Flessel-colovic,F,France,FRA,1996,Atlanta,Fencing,"Fencing Women's epee, Individual",Gold,True
Laura Flessel-colovic,F,France,FRA,1996,Atlanta,Fencing,"Fencing Women's epee, Team",Gold,True
Laura Flessel-colovic,F,France,FRA,2000,Sydney,Fencing,"Fencing Women's epee, Individual",Bronze,True
Laura Flessel-colovic,F,France,FRA,2000,Sydney,Fencing,"Fencing Women's epee, Team",No medal,True
Laura Flessel-colovic,F,France,FRA,2004,Athina,Fencing,"Fencing Women's epee, Individual",Silver,True
Laura Flessel-colovic,F,France,FRA,2004,Athina,Fencing,"Fencing Women's epee, Team",Bronze,True
Laura Flessel-colovic,F,France,FRA,2008,Beijing,Fencing,"Fencing Women's epee, Individual",No medal,True
Laura Flessel-colovic,F,France,FRA,2012,London,Fencing,"Fencing Women's epee, Individual",No medal,True
Brigitte Gapais-dumont,F,France,FRA,1964,Tokyo,Fencing,"Fencing Women's Foil, Individual",No medal,True
Brigitte Gapais-dumont,F,France,FRA,1964,Tokyo,Fencing,"Fencing Women's Foil, Team",No medal,True
Brigitte Gapais-dumont,F,France,FRA,1968,Mexico City,Fencing,"Fencing Women's Foil, Individual",No medal,True
Brigitte Gapais-dumont,F,France,FRA,1968,Mexico City,Fencing,"Fencing Women's Foil, Team",No medal,True
Brigitte Gapais-dumont,F,France,FRA,1972,Munich,Fencing,"Fencing Women's Foil, Individual",No medal,True
Brigitte Gapais-dumont,F,France,FRA,1972,Munich,Fencing,"Fencing Women's Foil, Team",No medal,True
Brigitte Gapais-dumont,F,France,FRA,1976,Montreal,Fencing,"Fencing Women's Foil, Individual",No medal,True
Brigitte Gapais-dumont,F,France,FRA,1976,Montreal,Fencing,"Fencing Women's Foil, Team",Silver,True
Rene Garilhe,F,France,FRA,1948,London,Fencing,"Fencing Women's Foil, Individual",No medal,True
Rene Garilhe,F,France,FRA,1952,Helsinki,Fencing,"Fencing Women's Foil, Individual",No medal,True
Rene Garilhe,F,France,FRA,1956,Melbourne,Fencing,"Fencing Women's Foil, Individual",Bronze,True
Rene Garilhe,F,France,FRA,1960,Roma,Fencing,"Fencing Women's Foil, Team",No medal,True
Franoise (-guittet),F,France,FRA,1948,London,Fencing,"Fencing Women's Foil, Individual",No medal,False
Julie-Anne Gross,F,France,FRA,1992,Barcelona,Fencing,"Fencing Women's Foil, Team",No medal,False
Astrid Guyart,F,France,FRA,2012,London,Fencing,"Fencing Women's Foil, Individual",No medal,True
Astrid Guyart,F,France,FRA,2012,London,Fencing,"Fencing Women's Foil, Team",No medal,True
Astrid Guyart,F,France,FRA,2016,Rio de Janeiro,Fencing,"Fencing Women's Foil, Individual",No medal,True
Claudette Herbster-josland,F,France,FRA,1968,Mexico City,Fencing,"Fencing Women's Foil, Team",No medal,True
Claudette Herbster-josland,F,France,FRA,1972,Munich,Fencing,"Fencing Women's Foil, Team",No medal,True
Claudette Herbster-josland,F,France,FRA,1976,Montreal,Fencing,"Fencing Women's Foil, Individual",No medal,True
Claudette Herbster-josland,F,France,FRA,1976,Montreal,Fencing,"Fencing Women's Foil, Team",Silver,True
Josphine Jacques-andr-coquin,F,France,FRA,2016,Rio de Janeiro,Fencing,"Fencing Women's epee, Team",No medal,False
Hajnalka Kiraly-picot,F,France,FRA,2004,Athina,Fencing,"Fencing Women's epee, Individual",No medal,True
Hajnalka Kiraly-picot,F,France,FRA,2004,Athina,Fencing,"Fencing Women's epee, Team",Bronze,True
Hajnalka Kiraly-picot,F,France,FRA,2008,Beijing,Fencing,"Fencing Women's epee, Individual",No medal,True
Brigitte Latrille-gaudin,F,France,FRA,1976,Montreal,Fencing,"Fencing Women's Foil, Individual",No medal,True
Brigitte Latrille-gaudin,F,France,FRA,1976,Montreal,Fencing,"Fencing Women's Foil, Team",Silver,True
Brigitte Latrille-gaudin,F,France,FRA,1980,Moskva,Fencing,"Fencing Women's Foil, Individual",No medal,True
Brigitte Latrille-gaudin,F,France,FRA,1980,Moskva,Fencing,"Fencing Women's Foil, Team",Gold,True
Brigitte Latrille-gaudin,F,France,FRA,1984,Los Angeles,Fencing,"Fencing Women's Foil, Individual",No medal,True
Brigitte Latrille-gaudin,F,France,FRA,1984,Los Angeles,Fencing,"Fencing Women's Foil, Team",Bronze,True
Brigitte Latrille-gaudin,F,France,FRA,1988,Seoul,Fencing,"Fencing Women's Foil, Individual",No medal,True
Brigitte Latrille-gaudin,F,France,FRA,1988,Seoul,Fencing,"Fencing Women's Foil, Team",No medal,True
Charlotte Lembach,F,France,FRA,2016,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Individual",No medal,True
Charlotte Lembach,F,France,FRA,2016,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",No medal,True
Monique Noray),F,France,FRA,1960,Roma,Fencing,"Fencing Women's Foil, Individual",No medal,True
Monique Noray),F,France,FRA,1960,Roma,Fencing,"Fencing Women's Foil, Team",No medal,True
Annick Level,F,France,FRA,1964,Tokyo,Fencing,"Fencing Women's Foil, Individual",No medal,True
Annick Level,F,France,FRA,1964,Tokyo,Fencing,"Fencing Women's Foil, Team",No medal,True
Annick Level,F,France,FRA,1968,Mexico City,Fencing,"Fencing Women's Foil, Team",No medal,True
Clothilde Magnan,F,France,FRA,1996,Atlanta,Fencing,"Fencing Women's Foil, Individual",No medal,True
Clothilde Magnan,F,France,FRA,1996,Atlanta,Fencing,"Fencing Women's Foil, Team",No medal,True
Olive Mahaut,F,France,FRA,1928,Amsterdam,Fencing,"Fencing Women's Foil, Individual",No medal,False
Franoise (-turbil),F,France,FRA,1960,Roma,Fencing,"Fencing Women's Foil, Team",No medal,False
Corinne Matrejean,F,France,FRA,2008,Beijing,Fencing,"Fencing Women's Foil, Individual",No medal,True
Corinne Matrejean,F,France,FRA,2012,London,Fencing,"Fencing Women's Foil, Individual",No medal,True
Corinne Matrejean,F,France,FRA,2012,London,Fencing,"Fencing Women's Foil, Team",No medal,True
Lylian Malherbaud-lecomte-guyonneau,F,France,FRA,1948,London,Fencing,"Fencing Women's Foil, Individual",No medal,True
Lylian Malherbaud-lecomte-guyonneau,F,France,FRA,1952,Helsinki,Fencing,"Fencing Women's Foil, Individual",No medal,True
Auriane Mallo,F,France,FRA,2016,Rio de Janeiro,Fencing,"Fencing Women's epee, Individual",No medal,True
Auriane Mallo,F,France,FRA,2016,Rio de Janeiro,Fencing,"Fencing Women's epee, Team",No medal,True
Solne Mary,F,France,FRA,2008,Beijing,Fencing,"Fencing Women's Sabre, Team",No medal,False
Anne (-brottel),F,France,FRA,1984,Los Angeles,Fencing,"Fencing Women's Foil, Team",Bronze,False
Gisle Meygret,F,France,FRA,1988,Seoul,Fencing,"Fencing Women's Foil, Team",No medal,True
Gisle Meygret,F,France,FRA,1992,Barcelona,Fencing,"Fencing Women's Foil, Individual",No medal,True
Gisle Meygret,F,France,FRA,1992,Barcelona,Fencing,"Fencing Women's Foil, Team",No medal,True
Laurence (vallet-),F,France,FRA,1984,Los Angeles,Fencing,"Fencing Women's Foil, Individual",No medal,True
Laurence (vallet-),F,France,FRA,1984,Los Angeles,Fencing,"Fencing Women's Foil, Team",Bronze,True
Laurence (vallet-),F,France,FRA,1988,Seoul,Fencing,"Fencing Women's Foil, Individual",No medal,True
Laurence (vallet-),F,France,FRA,1988,Seoul,Fencing,"Fencing Women's Foil, Team",No medal,True
Laurence (vallet-),F,France,FRA,1992,Barcelona,Fencing,"Fencing Women's Foil, Individual",No medal,True
Laurence (vallet-),F,France,FRA,1992,Barcelona,Fencing,"Fencing Women's Foil, Team",No medal,True
Laurence (vallet-),F,France,FRA,1996,Atlanta,Fencing,"Fencing Women's Foil, Individual",No medal,True
Laurence (vallet-),F,France,FRA,1996,Atlanta,Fencing,"Fencing Women's Foil, Team",No medal,True
Sophie Moresse-pichot,F,France,FRA,1996,Atlanta,Fencing,"Fencing Women's epee, Individual",No medal,True
Sophie Moresse-pichot,F,France,FRA,1996,Atlanta,Fencing,"Fencing Women's epee, Team",Gold,True
Sophie Moresse-pichot,F,France,FRA,2000,Sydney,Fencing,"Fencing Women's epee, Team",No medal,True
Christine Muzio,F,France,FRA,1976,Montreal,Fencing,"Fencing Women's Foil, Team",Silver,True
Christine Muzio,F,France,FRA,1980,Moskva,Fencing,"Fencing Women's Foil, Team",Gold,True
Maureen Nisima,F,France,FRA,2004,Athina,Fencing,"Fencing Women's epee, Individual",Bronze,True
Maureen Nisima,F,France,FRA,2004,Athina,Fencing,"Fencing Women's epee, Team",Bronze,True
Nathalie Pallet,F,France,FRA,1988,Seoul,Fencing,"Fencing Women's Foil, Team",No medal,False
Lonore Perrus,F,France,FRA,2004,Athina,Fencing,"Fencing Women's Sabre, Individual",No medal,True
Lonore Perrus,F,France,FRA,2008,Beijing,Fencing,"Fencing Women's Sabre, Individual",No medal,True
Lonore Perrus,F,France,FRA,2008,Beijing,Fencing,"Fencing Women's Sabre, Team",No medal,True
Lonore Perrus,F,France,FRA,2012,London,Fencing,"Fencing Women's Sabre, Individual",No medal,True
Lucienne Prost,F,France,FRA,1924,Paris,Fencing,"Fencing Women's Foil, Individual",No medal,True
Lucienne Prost,F,France,FRA,1928,Amsterdam,Fencing,"Fencing Women's Foil, Individual",No medal,True
Lauren Rembi,F,France,FRA,2016,Rio de Janeiro,Fencing,"Fencing Women's epee, Individual",No medal,True
Lauren Rembi,F,France,FRA,2016,Rio de Janeiro,Fencing,"Fencing Women's epee, Team",No medal,True
Marguerite Reuche,F,France,FRA,1928,Amsterdam,Fencing,"Fencing Women's Foil, Individual",No medal,True
Marguerite Reuche,F,France,FRA,1936,Berlin,Fencing,"Fencing Women's Foil, Individual",No medal,True
Colette Revenu,F,France,FRA,1964,Tokyo,Fencing,"Fencing Women's Foil, Team",No medal,False
Cathrine Rousselet-ceretti,F,France,FRA,1964,Tokyo,Fencing,"Fencing Women's Foil, Individual",No medal,True
Cathrine Rousselet-ceretti,F,France,FRA,1964,Tokyo,Fencing,"Fencing Women's Foil, Team",No medal,True
Cathrine Rousselet-ceretti,F,France,FRA,1968,Mexico City,Fencing,"Fencing Women's Foil, Individual",No medal,True
Cathrine Rousselet-ceretti,F,France,FRA,1968,Mexico City,Fencing,"Fencing Women's Foil, Team",No medal,True
Cathrine Rousselet-ceretti,F,France,FRA,1972,Munich,Fencing,"Fencing Women's Foil, Individual",No medal,True
Cathrine Rousselet-ceretti,F,France,FRA,1972,Munich,Fencing,"Fencing Women's Foil, Team",No medal,True
Isabelle Spennato,F,France,FRA,1988,Seoul,Fencing,"Fencing Women's Foil, Individual",No medal,True
Isabelle Spennato,F,France,FRA,1988,Seoul,Fencing,"Fencing Women's Foil, Team",No medal,True
Isabelle Spennato,F,France,FRA,1992,Barcelona,Fencing,"Fencing Women's Foil, Individual",No medal,True
Isabelle Spennato,F,France,FRA,1992,Barcelona,Fencing,"Fencing Women's Foil, Team",No medal,True
Fernande Tassy,F,France,FRA,1924,Paris,Fencing,"Fencing Women's Foil, Individual",No medal,False
Ysaora Thibus,F,France,FRA,2012,London,Fencing,"Fencing Women's Foil, Individual",No medal,True
Ysaora Thibus,F,France,FRA,2012,London,Fencing,"Fencing Women's Foil, Team",No medal,True
Ysaora Thibus,F,France,FRA,2016,Rio de Janeiro,Fencing,"Fencing Women's Foil, Individual",No medal,True
Anne-Lise Touya,F,France,FRA,2004,Athina,Fencing,"Fencing Women's Sabre, Individual",No medal,True
Anne-Lise Touya,F,France,FRA,2008,Beijing,Fencing,"Fencing Women's Sabre, Individual",No medal,True
Anne-Lise Touya,F,France,FRA,2008,Beijing,Fencing,"Fencing Women's Sabre, Team",No medal,True
Vronique (-mathoulin),F,France,FRA,1976,Montreal,Fencing,"Fencing Women's Foil, Team",Silver,False
Pascale Trinquet-hachin,F,France,FRA,1980,Moskva,Fencing,"Fencing Women's Foil, Individual",Gold,True
Pascale Trinquet-hachin,F,France,FRA,1980,Moskva,Fencing,"Fencing Women's Foil, Team",Gold,True
Pascale Trinquet-hachin,F,France,FRA,1984,Los Angeles,Fencing,"Fencing Women's Foil, Team",Bronze,True
Sangita Tripathi,F,France,FRA,2000,Sydney,Fencing,"Fencing Women's epee, Individual",No medal,True
Sangita Tripathi,F,France,FRA,2000,Sydney,Fencing,"Fencing Women's epee, Team",No medal,True
Agathe Turgis,F,France,FRA,1936,Berlin,Fencing,"Fencing Women's Foil, Individual",No medal,False
Carole Vergne,F,France,FRA,2008,Beijing,Fencing,"Fencing Women's Sabre, Individual",No medal,True
Carole Vergne,F,France,FRA,2008,Beijing,Fencing,"Fencing Women's Sabre, Team",No medal,True
Rgine Veronnet,F,France,FRA,1956,Melbourne,Fencing,"Fencing Women's Foil, Individual",No medal,True
Rgine Veronnet,F,France,FRA,1960,Roma,Fencing,"Fencing Women's Foil, Individual",No medal,True
Rgine Veronnet,F,France,FRA,1960,Roma,Fencing,"Fencing Women's Foil, Team",No medal,True
Jeanne (-miller),F,France,FRA,1932,Los Angeles,Fencing,"Fencing Women's Foil, Individual",No medal,False
Adeline Wuillme,F,France,FRA,1996,Atlanta,Fencing,"Fencing Women's Foil, Individual",No medal,True
Adeline Wuillme,F,France,FRA,1996,Atlanta,Fencing,"Fencing Women's Foil, Team",No medal,True
Adeline Wuillme,F,France,FRA,2000,Sydney,Fencing,"Fencing Women's Foil, Individual",No medal,True
Adeline Wuillme,F,France,FRA,2004,Athina,Fencing,"Fencing Women's Foil, Individual",No medal,True
Sara Balzer,F,France,FRA,2020,Tokyo,Fencing,Women's Sabre Team,Silver,True
Cecilia Berder,F,France,FRA,2020,Tokyo,Fencing,Women's Sabre Individual,No medal,True
Cecilia Berder,F,France,FRA,2020,Tokyo,Fencing,Women's Sabre Team,Silver,True
Anita Blaze,F,France,FRA,2020,Tokyo,Fencing,Women's Foil Individual,No medal,True
Anita Blaze,F,France,FRA,2020,Tokyo,Fencing,Women's Foil Team,Silver,True
Manon Brunet,F,France,FRA,2020,Tokyo,Fencing,Women's Sabre Individual,Bronze,True
Manon Brunet,F,France,FRA,2020,Tokyo,Fencing,Women's Sabre Team,Silver,True
Astrid Guyart,F,France,FRA,2020,Tokyo,Fencing,Women's Foil Team,Silver,True
Charlotte Lembach,F,France,FRA,2020,Tokyo,Fencing,Women's Sabre Individual,No medal,True
Charlotte Lembach,F,France,FRA,2020,Tokyo,Fencing,Women's Sabre Team,Silver,True
Pauline Ranvier,F,France,FRA,2020,Tokyo,Fencing,Women's Foil Individual,No medal,True
Pauline Ranvier,F,France,FRA,2020,Tokyo,Fencing,Women's Foil Team,Silver,True
Ysaora Thibus,F,France,FRA,2020,Tokyo,Fencing,Women's Foil Individual,No medal,True
Ysaora Thibus,F,France,FRA,2020,Tokyo,Fencing,Women's Foil Team,Silver,True
Coraline Vitalis,F,France,FRA,2020,Tokyo,Fencing,Women's Épée Individual,No medal,True
Coraline Vitalis,F,France,FRA,2024,Paris,Fencing,Women's Épée Individual,No medal,True
Coraline Vitalis,F,France,FRA,2024,Paris,Fencing,Women's Épée Team,Silver,True
Auriane Mallo-breton,F,France,FRA,2024,Paris,Fencing,Women's Épée Individual,Silver,True
Auriane Mallo-breton,F,France,FRA,2024,Paris,Fencing,Women's Épée Team,Silver,True
Marie-florence Candassamy,F,France,FRA,2024,Paris,Fencing,Women's Épée Individual,No medal,True
Marie-florence Candassamy,F,France,FRA,2024,Paris,Fencing,Women's Épée Team,Silver,True
Alexandra Louis-marie,F,France,FRA,2024,Paris,Fencing,Women's Épée Team,Silver,False
Ysaora Thibus,F,France,FRA,2024,Paris,Fencing,Women's Foil Individual,No medal,True
Ysaora Thibus,F,France,FRA,2024,Paris,Fencing,Women's Foil Team,No medal,True
Pauline Ranvier,F,France,FRA,2024,Paris,Fencing,Women's Foil Individual,No medal,True
Pauline Ranvier,F,France,FRA,2024,Paris,Fencing,Women's Foil Team,No medal,True
Anita Blaze,F,France,FRA,2024,Paris,Fencing,Women's Foil Team,No medal,True
Eva Lacheray,F,France,FRA,2024,Paris,Fencing,Women's Foil Individual,No medal,True
Eva Lacheray,F,France,FRA,2024,Paris,Fencing,Women's Foil Team,No medal,True
Sara Balzer,F,France,FRA,2024,Paris,Fencing,Women's Sabre Individual,Silver,True
Sara Balzer,F,France,FRA,2024,Paris,Fencing,Women's Sabre Team,No medal,True
Manon Apithy-brunet,F,France,FRA,2024,Paris,Fencing,Women's Sabre Individual,Gold,True
Manon Apithy-brunet,F,France,FRA,2024,Paris,Fencing,Women's Sabre Team,No medal,True
Cecilia Berder,F,France,FRA,2024,Paris,Fencing,Women's Sabre Individual,No medal,True
Cecilia Berder,F,France,FRA,2024,Paris,Fencing,Women's Sabre Team,No medal,True
Sarah Noutcha,F,France,FRA,2024,Paris,Fencing,Women's Sabre Team,No medal,False
