Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Lara Andres,F,France,FRA,2024,Paris,Water Polo,Women,No medal,Women,WPO,False,True
Aurelie Battu,F,France,FRA,2024,Paris,Water Polo,Women,No medal,Women,WPO,False,True
Camelia Bouloukbachi,F,France,FRA,2024,Paris,Water Polo,Women,No medal,Women,WPO,False,True
Audrey Daule,F,France,FRA,2024,Paris,Water Polo,Women,No medal,Women,WPO,False,True
Juliette Dhalluin,F,France,FRA,2024,Paris,Water Polo,Women,No medal,Women,WPO,False,True
Louise Guillet,F,France,FRA,2024,Paris,Water Polo,Women,No medal,Women,WPO,False,True
Orsolya Hertzka,F,France,FRA,2024,Paris,Water Polo,Women,No medal,Women,WPO,False,True
Valentine Heurtaux,F,France,FRA,2024,Paris,Water Polo,Women,No medal,Women,WPO,False,True
St Martineaud,F,France,FRA,2024,Paris,Water Polo,Women,No medal,Women,WPO,False,True
Camille Radosavljevic,F,France,FRA,2024,Paris,Water Polo,Women,No medal,Women,WPO,False,True
Tiziana Raspo,F,France,FRA,2024,Paris,Water Polo,Women,No medal,Women,WPO,False,True
Mia Rycraw,F,France,FRA,2024,Paris,Water Polo,Women,No medal,Women,WPO,False,True
Ema Vernoux,F,France,FRA,2024,Paris,Water Polo,Women,No medal,Women,WPO,False,True
