Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Armin Andres,M,Germany,GER,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal,False
Stephan Baeck,M,Germany,GER,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal,False
Gunther Behnke,M,Germany,GER,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal,False
Uwe Blab,M,Germany,GER,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal,False
Bernhard Cuiper,M,Germany,GER,1936,Berlin,Basketball,Basketball Men's Basketball,No medal,False
Robert (hamer-),M,Germany,GER,1936,Berlin,Basketball,Basketball Men's Basketball,No medal,False
Karl Endres,M,Germany,GER,1936,Berlin,Basketball,Basketball Men's Basketball,No medal,False
Patrick Femerling,M,Germany,GER,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,False
Robert Garrett,M,Germany,GER,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,False
Hans-Jrgen Gnad,M,Germany,GER,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal,False
Emil Ging,M,Germany,GER,1936,Berlin,Basketball,Basketball Men's Basketball,No medal,False
Demond Greene,M,Germany,GER,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,False
Steffen Hamann,M,Germany,GER,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,False
Henning Harnisch,M,Germany,GER,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal,False
Michael Jackel,M,Germany,GER,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal,False
Jan-Hendrik Jagla,M,Germany,GER,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,False
Christopher Kaman,M,Germany,GER,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,False
Otto Kuchenbecker,M,Germany,GER,1936,Berlin,Basketball,Basketball Men's Basketball,No medal,False
Jens Kujawa,M,Germany,GER,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal,False
Emil Lohbeck,M,Germany,GER,1936,Berlin,Basketball,Basketball Men's Basketball,No medal,False
Arnd Neuhaus,M,Germany,GER,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal,False
Hans Niclaus,M,Germany,GER,1936,Berlin,Basketball,Basketball Men's Basketball,No medal,False
Dirk Nowitzki,M,Germany,GER,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,False
Kai Nrnberger,M,Germany,GER,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal,False
Tim Ohlbrecht,M,Germany,GER,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,False
Kurt Oleska,M,Germany,GER,1936,Berlin,Basketball,Basketball Men's Basketball,No medal,False
Siegfried (-reiner),M,Germany,GER,1936,Berlin,Basketball,Basketball Men's Basketball,No medal,False
Henrik Rdl,M,Germany,GER,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal,False
Pascal Roller,M,Germany,GER,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,False
Detlef Schrempf,M,Germany,GER,1992,Barcelona,Basketball,Basketball Men's Basketball,No medal,False
Sven Schultze,M,Germany,GER,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,False
Heinz Steinschulte,M,Germany,GER,1936,Berlin,Basketball,Basketball Men's Basketball,No medal,False
Konrad Wysocki,M,Germany,GER,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,False
Philip Zwiener,M,Germany,GER,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,False
Danilo Barthel,M,Germany,GER,2020,Tokyo,Basketball,Men Team,No medal,False
Robin Benzing,M,Germany,GER,2020,Tokyo,Basketball,Men Team,No medal,False
Isaac Bonga,M,Germany,GER,2020,Tokyo,Basketball,Men Team,No medal,True
Niels Giffey,M,Germany,GER,2020,Tokyo,Basketball,Men Team,No medal,True
Maodo Lo,M,Germany,GER,2020,Tokyo,Basketball,Men Team,No medal,True
Andreas Obst,M,Germany,GER,2020,Tokyo,Basketball,Men Team,No medal,True
Joshiko Saibou,M,Germany,GER,2020,Tokyo,Basketball,Men Team,No medal,False
Johannes Thiemann,M,Germany,GER,2020,Tokyo,Basketball,Men Team,No medal,True
Johannes Voigtmann,M,Germany,GER,2020,Tokyo,Basketball,Men Team,No medal,True
Moritz Wagner,M,Germany,GER,2020,Tokyo,Basketball,Men Team,No medal,True
Lukas Wank,M,Germany,GER,2020,Tokyo,Basketball,Men Team,No medal,False
Niklas Wimberg,M,Germany,GER,2020,Tokyo,Basketball,Men Team,No medal,False
Dennis Schroder,M,Germany,GER,2024,Paris,Basketball,Men,No medal,False
Andreas Obst,M,Germany,GER,2024,Paris,Basketball,Men,No medal,True
Niels Giffey,M,Germany,GER,2024,Paris,Basketball,Men,No medal,True
Maodo Lo,M,Germany,GER,2024,Paris,Basketball,Men,No medal,True
Daniel Theis,M,Germany,GER,2024,Paris,Basketball,Men,No medal,False
Johannes Voigtmann,M,Germany,GER,2024,Paris,Basketball,Men,No medal,True
Isaac Bonga,M,Germany,GER,2024,Paris,Basketball,Men,No medal,True
da Oscar,M,Germany,GER,2024,Paris,Basketball,Men,No medal,False
Johannes Thiemann,M,Germany,GER,2024,Paris,Basketball,Men,No medal,True
Moritz Wagner,M,Germany,GER,2024,Paris,Basketball,Men,No medal,True
Franz Wagner,M,Germany,GER,2024,Paris,Basketball,Men,No medal,False
Nick Weiler-babb,M,Germany,GER,2024,Paris,Basketball,Men,No medal,False
