Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Jennifer Bongardt,F,Germany,GER,2004,Athina,Canoeing,"Canoeing Women's Kayak Singles, Slalom",No medal,True
Jennifer Bongardt,F,Germany,GER,2008,Beijing,Canoeing,"Canoeing Women's Kayak Singles, Slalom",No medal,True
Katrin Borchert,F,Germany,GER,1992,Barcelona,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver,False
Tina Dietze,F,Germany,GER,2012,London,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold,True
Tina Dietze,F,Germany,GER,2012,London,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver,True
Tina Dietze,F,Germany,GER,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver,True
Tina Dietze,F,Germany,GER,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver,True
Roswitha Esser,F,Germany,GER,1964,Tokyo,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold,False
Elke Felten,F,Germany,GER,1964,Tokyo,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,False
Fanny Fischer,F,Germany,GER,2008,Beijing,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,True
Fanny Fischer,F,Germany,GER,2008,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold,True
Birgit Fischer-schmidt,F,Germany,GER,1992,Barcelona,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold,True
Birgit Fischer-schmidt,F,Germany,GER,1992,Barcelona,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver,True
Birgit Fischer-schmidt,F,Germany,GER,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,True
Birgit Fischer-schmidt,F,Germany,GER,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver,True
Birgit Fischer-schmidt,F,Germany,GER,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold,True
Birgit Fischer-schmidt,F,Germany,GER,2000,Sydney,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold,True
Birgit Fischer-schmidt,F,Germany,GER,2000,Sydney,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold,True
Birgit Fischer-schmidt,F,Germany,GER,2004,Athina,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver,True
Birgit Fischer-schmidt,F,Germany,GER,2004,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold,True
Ingrid Hartmann,F,Germany,GER,1960,Roma,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver,False
Sabrina Hering,F,Germany,GER,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver,False
Susanne Hirt,F,Germany,GER,2000,Sydney,Canoeing,"Canoeing Women's Kayak Singles, Slalom",No medal,False
Silke Hrmann,F,Germany,GER,2012,London,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",No medal,False
Josefa -krger),F,Germany,GER,1952,Helsinki,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,False
Steffi Kriegerstein,F,Germany,GER,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver,False
Carolin Leonhardt,F,Germany,GER,2004,Athina,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver,True
Carolin Leonhardt,F,Germany,GER,2004,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold,True
Carolin Leonhardt,F,Germany,GER,2012,London,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver,True
