Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Lisa Brennauer,F,Germany,GER,2020,Tokyo,Cycling Road,Women's Road Race,No medal,True
Lisa Brennauer,F,Germany,GER,2020,Tokyo,Cycling Road,Women's Individual Time Trial,No medal,True
Lisa Klein,F,Germany,GER,2020,Tokyo,Cycling Road,Women's Individual Time Trial,No medal,False
Liane Lippert,F,Germany,GER,2020,Tokyo,Cycling Road,Women's Road Race,No medal,True
Hannah Ludwig,F,Germany,GER,2020,Tokyo,Cycling Road,Women's Road Race,No medal,False
Trixi Worrack,F,Germany,GER,2020,Tokyo,Cycling Road,Women's Road Race,No medal,False
Franziska Koch,F,Germany,GER,2024,Paris,Cycling Road,Women's Road Race,No medal,False
Liane Lippert,F,Germany,GER,2024,Paris,Cycling Road,Women's Road Race,No medal,True
Antonia Niedermaier,F,Germany,GER,2024,Paris,Cycling Road,Women's Road Race,No medal,True
Antonia Niedermaier,F,Germany,GER,2024,Paris,Cycling Road,Women's Individual Time Trial,No medal,True
