Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Giorgos Abalof,M,Greece,GRE,2004,Athina,Fencing,"Fencing Men's epee, Individual",No medal,Fencing,FEN,False,True
Georgios Ambet,M,Greece,GRE,1928,Amsterdam,Fencing,"Fencing Men's epee, Individual",No medal,Fencing,FEN,True,True
Georgios Ambet,M,Greece,GRE,1928,Amsterdam,Fencing,"Fencing Men's epee, Team",No medal,Fencing,FEN,True,True
Georgios Ambet,M,Greece,GRE,1928,Amsterdam,Fencing,"Fencing Men's Sabre, Team",No medal,Fencing,FEN,True,True
Mikhail Anerrapsis,M,Greece,GRE,1906,Athina,Fencing,"Fencing Men's Foil, Individual",No medal,Fencing,FEN,False,True
S. Antonidas,M,Greece,GRE,1920,Antwerpen,Fencing,"Fencing Men's epee, Individual",No medal,Fencing,FEN,False,True
Zisis Babanasis,M,Greece,GRE,1984,Los Angeles,Fencing,"Fencing Men's Sabre, Individual",No medal,Fencing,FEN,True,True
Zisis Babanasis,M,Greece,GRE,1992,Barcelona,Fencing,"Fencing Men's Sabre, Individual",No medal,Fencing,FEN,True,False
Marios Basmatzian,M,Greece,GRE,2004,Athina,Fencing,"Fencing Men's Sabre, Individual",No medal,Fencing,FEN,True,True
Marios Basmatzian,M,Greece,GRE,2004,Athina,Fencing,"Fencing Men's Sabre, Team",No medal,Fencing,FEN,True,True
Konstantinos Bembis,M,Greece,GRE,1928,Amsterdam,Fencing,"Fencing Men's epee, Individual",No medal,Fencing,FEN,True,True
Konstantinos Bembis,M,Greece,GRE,1928,Amsterdam,Fencing,"Fencing Men's epee, Team",No medal,Fencing,FEN,True,True
Konstantinos Bembis,M,Greece,GRE,1936,Berlin,Fencing,"Fencing Men's Foil, Individual",No medal,Fencing,FEN,True,False
Konstantinos Bembis,M,Greece,GRE,1936,Berlin,Fencing,"Fencing Men's Foil, Team",No medal,Fencing,FEN,True,False
Konstantinos Bembis,M,Greece,GRE,1936,Berlin,Fencing,"Fencing Men's epee, Individual",No medal,Fencing,FEN,True,False
Konstantinos Bembis,M,Greece,GRE,1936,Berlin,Fencing,"Fencing Men's epee, Team",No medal,Fencing,FEN,True,False
Konstantinos Bembis,M,Greece,GRE,1948,London,Fencing,"Fencing Men's Foil, Individual",No medal,Fencing,FEN,True,False
Konstantinos Bembis,M,Greece,GRE,1948,London,Fencing,"Fencing Men's Foil, Team",No medal,Fencing,FEN,True,False
Konstantinos Bembis,M,Greece,GRE,1948,London,Fencing,"Fencing Men's epee, Team",No medal,Fencing,FEN,True,False
Konstantinos Botasis,M,Greece,GRE,1928,Amsterdam,Fencing,"Fencing Men's Foil, Individual",No medal,Fencing,FEN,True,True
Konstantinos Botasis,M,Greece,GRE,1928,Amsterdam,Fencing,"Fencing Men's epee, Team",No medal,Fencing,FEN,True,True
Konstantinos Botasis,M,Greece,GRE,1928,Amsterdam,Fencing,"Fencing Men's Sabre, Team",No medal,Fencing,FEN,True,True
Konstantinos Botasis,M,Greece,GRE,1936,Berlin,Fencing,"Fencing Men's Foil, Team",No medal,Fencing,FEN,True,False
Konstantinos Botasis,M,Greece,GRE,1936,Berlin,Fencing,"Fencing Men's epee, Team",No medal,Fencing,FEN,True,False
Konstantinos Botasis,M,Greece,GRE,1936,Berlin,Fencing,"Fencing Men's Sabre, Individual",No medal,Fencing,FEN,True,False
Konstantinos Botasis,M,Greece,GRE,1936,Berlin,Fencing,"Fencing Men's Sabre, Team",No medal,Fencing,FEN,True,False
Jason Dourakos,M,Greece,GRE,2004,Athina,Fencing,"Fencing Men's Sabre, Individual",No medal,Fencing,FEN,True,True
Jason Dourakos,M,Greece,GRE,2004,Athina,Fencing,"Fencing Men's Sabre, Team",No medal,Fencing,FEN,True,True
Panagiotis Dourakos,M,Greece,GRE,1972,Munich,Fencing,"Fencing Men's epee, Individual",No medal,Fencing,FEN,False,True
Spyridon Ferentinos,M,Greece,GRE,1936,Berlin,Fencing,"Fencing Men's Foil, Individual",No medal,Fencing,FEN,True,True
Spyridon Ferentinos,M,Greece,GRE,1936,Berlin,Fencing,"Fencing Men's Foil, Team",No medal,Fencing,FEN,True,True
Konstantinos Fotiadis,M,Greece,GRE,1906,Athina,Fencing,"Fencing Men's Sabre, Individual",No medal,Fencing,FEN,True,True
Konstantinos Fotiadis,M,Greece,GRE,1906,Athina,Fencing,"Fencing Men's Sabre, Individual, Three Hits",No medal,Fencing,FEN,True,True
Theodoros Foustanos,M,Greece,GRE,1924,Paris,Fencing,"Fencing Men's Foil, Individual",No medal,Fencing,FEN,True,True
Theodoros Foustanos,M,Greece,GRE,1924,Paris,Fencing,"Fencing Men's epee, Individual",No medal,Fencing,FEN,True,True
Ioannis Georgiadis,M,Greece,GRE,1896,Athina,Fencing,"Fencing Men's Sabre, Individual",Gold,Fencing,FEN,True,True
Ioannis Georgiadis,M,Greece,GRE,1906,Athina,Fencing,"Fencing Men's epee, Individual",No medal,Fencing,FEN,True,False
Ioannis Georgiadis,M,Greece,GRE,1906,Athina,Fencing,"Fencing Men's epee, Team",No medal,Fencing,FEN,True,False
Ioannis Georgiadis,M,Greece,GRE,1906,Athina,Fencing,"Fencing Men's Sabre, Individual",Gold,Fencing,FEN,True,False
Ioannis Georgiadis,M,Greece,GRE,1906,Athina,Fencing,"Fencing Men's Sabre, Team",Silver,Fencing,FEN,True,False
Ioannis Georgiadis,M,Greece,GRE,1924,Paris,Fencing,"Fencing Men's Sabre, Individual",No medal,Fencing,FEN,True,False
Ioannis Georgiadis,M,Greece,GRE,1924,Paris,Fencing,"Fencing Men's Sabre, Team",No medal,Fencing,FEN,True,False
Georgios Iatridis,M,Greece,GRE,1896,Athina,Fencing,"Fencing Men's Sabre, Individual",No medal,Fencing,FEN,False,True
Panagiotis Kambas,M,Greece,GRE,1912,Stockholm,Fencing,"Fencing Men's epee, Team",No medal,Fencing,FEN,False,True
Tilemakhos Karakalos,M,Greece,GRE,1896,Athina,Fencing,"Fencing Men's Sabre, Individual",Silver,Fencing,FEN,False,True
Ioannis Karamazakis,M,Greece,GRE,1948,London,Fencing,"Fencing Men's Foil, Individual",No medal,Fencing,FEN,True,True
Ioannis Karamazakis,M,Greece,GRE,1948,London,Fencing,"Fencing Men's Foil, Team",No medal,Fencing,FEN,True,True
Ioannis Karamazakis,M,Greece,GRE,1948,London,Fencing,"Fencing Men's epee, Individual",No medal,Fencing,FEN,True,True
Ioannis Karamazakis,M,Greece,GRE,1948,London,Fencing,"Fencing Men's epee, Team",No medal,Fencing,FEN,True,True
