Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Jazy Garcia,M,Guam,GUM,1992,Barcelona,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Jazy Garcia,M,Guam,GUM,1992,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Jazy Garcia,M,Guam,GUM,1992,Barcelona,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No medal,True
Jazy Garcia,M,Guam,GUM,2000,Sydney,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Manuel Garca,M,Guam,GUM,1992,Barcelona,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Manuel Garca,M,Guam,GUM,1992,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Manuel Garca,M,Guam,GUM,1992,Barcelona,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",No medal,True
Manuel Garca,M,Guam,GUM,1992,Barcelona,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No medal,True
Derek Horton,M,Guam,GUM,2000,Sydney,Cycling,"Cycling Men's Mountainbike, Cross-Country",No medal,True
Derek Horton,M,Guam,GUM,2012,London,Cycling,"Cycling Men's Mountainbike, Cross-Country",No medal,True
Peter Ii,M,Guam,GUM,2016,Rio de Janeiro,Cycling,"Cycling Men's Mountainbike, Cross-Country",No medal,False
David Martin,M,Guam,GUM,1992,Barcelona,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No medal,False
Martin Santos,M,Guam,GUM,1992,Barcelona,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Martin Santos,M,Guam,GUM,1992,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Martin Santos,M,Guam,GUM,1992,Barcelona,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No medal,True
Wil Yamamoto,M,Guam,GUM,1992,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,False
