Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
scar Sandoval,M,Guatemala,GUA,1988,Seoul,Cycling,"Cycling Men's Road Race, Individual",No medal,True
scar Sandoval,M,Guatemala,GUA,1988,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Armando Samayoa,M,Guatemala,GUA,1952,Helsinki,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No medal,False
Francisco Luna,M,Guatemala,GUA,1968,Mexico City,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Francisco Luna,M,Guatemala,GUA,1968,Mexico City,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Sergio Franke,M,Guatemala,GUA,1996,Atlanta,Cycling,Cycling Men's Points Race,No medal,False
Julio Illescas,M,Guatemala,GUA,1988,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,False
Jorge Nufio,M,Guatemala,GUA,1968,Mexico City,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Jorge Nufio,M,Guatemala,GUA,1968,Mexico City,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Vctor Reyes,M,Guatemala,GUA,1988,Seoul,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Vctor Reyes,M,Guatemala,GUA,1988,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Max Buhler,M,Guatemala,GUA,1984,Los Angeles,Cycling,"Cycling Men's 1,000 metres Time Trial",No medal,True
Max Buhler,M,Guatemala,GUA,1988,Seoul,Cycling,"Cycling Men's 1,000 metres Time Trial",No medal,True
Felipe Cabrera,M,Guatemala,GUA,1996,Atlanta,Cycling,"Cycling Men's Road Race, Individual",No medal,False
Fernando Marroqun,M,Guatemala,GUA,1952,Helsinki,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No medal,False
Gustavo Martnez,M,Guatemala,GUA,1952,Helsinki,Cycling,Cycling Men's Sprint,No medal,True
Gustavo Martnez,M,Guatemala,GUA,1952,Helsinki,Cycling,"Cycling Men's 1,000 metres Time Trial",No medal,True
Juan Montoya,M,Guatemala,GUA,1952,Helsinki,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No medal,False
Omar Caldern,M,Guatemala,GUA,1996,Atlanta,Cycling,"Cycling Men's Road Race, Individual",No medal,False
Evaristo Piril,M,Guatemala,GUA,1968,Mexico City,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Evaristo Piril,M,Guatemala,GUA,1968,Mexico City,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Mrlon Garca,M,Guatemala,GUA,1996,Atlanta,Cycling,"Cycling Men's Road Race, Individual",No medal,False
scar Mndez,M,Guatemala,GUA,2000,Sydney,Cycling,"Cycling Men's Road Race, Individual",No medal,False
Manuel Ochoa,M,Guatemala,GUA,2012,London,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Manuel Ochoa,M,Guatemala,GUA,2016,Rio de Janeiro,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Saturnino Cceres,M,Guatemala,GUA,1968,Mexico City,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Saturnino Cceres,M,Guatemala,GUA,1968,Mexico City,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Carlos Sandoval,M,Guatemala,GUA,1952,Helsinki,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No medal,False
Edwin Garca,M,Guatemala,GUA,1996,Atlanta,Cycling,"Cycling Men's Road Race, Individual",No medal,False
Jos Gudiel,M,Guatemala,GUA,2004,Athina,Cycling,Cycling Men's Keirin,No medal,False
Andrs Torres,M,Guatemala,GUA,1988,Seoul,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Andrs Torres,M,Guatemala,GUA,1988,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Antn Villatoro,M,Guatemala,GUA,1996,Atlanta,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Antn Villatoro,M,Guatemala,GUA,1996,Atlanta,Cycling,Cycling Men's Individual Time Trial,No medal,True
