Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
douard Armand,M,Haiti,HAI,1924,Paris,Athletics,Athletics Men's 400 metres,No medal,True
douard Armand,M,Haiti,HAI,1924,Paris,Athletics,Athletics Men's 800 metres,No medal,True
douard Armand,M,Haiti,HAI,1924,Paris,Athletics,Athletics Men's Decathlon,No medal,True
Sylvio Cator,M,Haiti,HAI,1924,Paris,Athletics,Athletics Men's High Jump,No medal,True
Sylvio Cator,M,Haiti,HAI,1924,Paris,Athletics,Athletics Men's Long Jump,No medal,True
Sylvio Cator,M,Haiti,HAI,1928,Amsterdam,Athletics,Athletics Men's Long Jump,Silver,True
Sylvio Cator,M,Haiti,HAI,1932,Los Angeles,Athletics,Athletics Men's Long Jump,No medal,True
Olmeus Charles,M,Haiti,HAI,1976,Montreal,Athletics,"Athletics Men's 10,000 metres",No medal,False
Maurice Charlotin,M,Haiti,HAI,1972,Munich,Athletics,Athletics Men's Marathon,No medal,False
Gerald Clervil,M,Haiti,HAI,2000,Sydney,Athletics,Athletics Men's 400 metres,No medal,False
Wilfrid Cyriaque,M,Haiti,HAI,1976,Montreal,Athletics,Athletics Men's 400 metres,No medal,False
Dadi Denis,M,Haiti,HAI,2004,Athina,Athletics,Athletics Men's 400 metres,No medal,False
Jean-Marc Destine,M,Haiti,HAI,1996,Atlanta,Athletics,Athletics Men's 800 metres,No medal,False
Thancule Dezart,M,Haiti,HAI,1976,Montreal,Athletics,Athletics Men's Marathon,No medal,False
Dudley Dorival,M,Haiti,HAI,2000,Sydney,Athletics,Athletics Men's 110 metres Hurdles,No medal,True
Dudley Dorival,M,Haiti,HAI,2004,Athina,Athletics,Athletics Men's 110 metres Hurdles,No medal,True
Dudley Dorival,M,Haiti,HAI,2008,Beijing,Athletics,Athletics Men's 110 metres Hurdles,No medal,True
Philippe Tienne,M,Haiti,HAI,1976,Montreal,Athletics,Athletics Men's 100 metres,No medal,True
Philippe Tienne,M,Haiti,HAI,1976,Montreal,Athletics,Athletics Men's 200 metres,No medal,True
Jean-Max Faustin,M,Haiti,HAI,1972,Munich,Athletics,Athletics Men's 400 metres,No medal,False
Pierre-Richard Gaetjens,M,Haiti,HAI,1972,Munich,Athletics,Athletics Men's 100 metres,No medal,False
Gary Georges,M,Haiti,HAI,1972,Munich,Athletics,Athletics Men's 200 metres,No medal,False
Anilus Joseph,M,Haiti,HAI,1972,Munich,Athletics,"Athletics Men's 10,000 metres",No medal,False
Moise Joseph,M,Haiti,HAI,2004,Athina,Athletics,Athletics Men's 800 metres,No medal,True
Moise Joseph,M,Haiti,HAI,2012,London,Athletics,Athletics Men's 800 metres,No medal,True
Wilnor Joseph,M,Haiti,HAI,1976,Montreal,Athletics,Athletics Men's 800 metres,No medal,False
Jeffrey Julmis,M,Haiti,HAI,2012,London,Athletics,Athletics Men's 110 metres Hurdles,No medal,True
Jeffrey Julmis,M,Haiti,HAI,2016,Rio de Janeiro,Athletics,Athletics Men's 110 metres Hurdles,No medal,True
Samyr Laine,M,Haiti,HAI,2012,London,Athletics,Athletics Men's Triple Jump,No medal,False
Dieudonn Lamothe,M,Haiti,HAI,1976,Montreal,Athletics,"Athletics Men's 5,000 metres",No medal,True
Dieudonn Lamothe,M,Haiti,HAI,1984,Los Angeles,Athletics,Athletics Men's Marathon,No medal,True
Dieudonn Lamothe,M,Haiti,HAI,1988,Seoul,Athletics,Athletics Men's Marathon,No medal,True
Dieudonn Lamothe,M,Haiti,HAI,1992,Barcelona,Athletics,Athletics Men's Marathon,No medal,True
Wagner Marseille,M,Haiti,HAI,1996,Atlanta,Athletics,Athletics Men's 110 metres Hurdles,No medal,False
Fritz Pierre,M,Haiti,HAI,1972,Munich,Athletics,Athletics Men's 800 metres,No medal,False
Claude Roumain,M,Haiti,HAI,1988,Seoul,Athletics,Athletics Men's 100 metres,No medal,True
Claude Roumain,M,Haiti,HAI,1988,Seoul,Athletics,Athletics Men's 200 metres,No medal,True
Claude Roumain,M,Haiti,HAI,1992,Barcelona,Athletics,Athletics Men's 100 metres,No medal,True
Claude Roumain,M,Haiti,HAI,1992,Barcelona,Athletics,Athletics Men's 200 metres,No medal,True
Emmanuel Saint-hilaire,M,Haiti,HAI,1976,Montreal,Athletics,"Athletics Men's 1,500 metres",No medal,False
Valry Thard,M,Haiti,HAI,1924,Paris,Athletics,Athletics Men's 100 metres,No medal,True
Valry Thard,M,Haiti,HAI,1924,Paris,Athletics,Athletics Men's 200 metres,No medal,True
Valry Thard,M,Haiti,HAI,1928,Amsterdam,Athletics,Athletics Men's 100 metres,No medal,True
Valry Thard,M,Haiti,HAI,1928,Amsterdam,Athletics,Athletics Men's 200 metres,No medal,True
Valry Thard,M,Haiti,HAI,1932,Los Angeles,Athletics,Athletics Men's 100 metres,No medal,True
Anderson Vilien,M,Haiti,HAI,1996,Atlanta,Athletics,Athletics Men's 200 metres,No medal,False
Darrell Wesh,M,Haiti,HAI,2016,Rio de Janeiro,Athletics,Athletics Men's 100 metres,No medal,False
Christopher Borzor,M,Haiti,HAI,2024,Paris,Athletics,Men's 100m,No medal,False
