Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Oi Chan,F,Hong Kong,HKG,1996,Atlanta,Badminton,Badminton Mixed Doubles,No medal,Badminton,BDM,False
Chau Wah,F,Hong Kong,HKG,2016,Rio de Janeiro,Badminton,Badminton Mixed Doubles,No medal,Badminton,BDM,False
Wai Koon,F,Hong Kong,HKG,2000,Sydney,Badminton,Badminton Women's Singles,No medal,Badminton,BDM,True
Wai Koon,F,Hong Kong,HKG,2000,Sydney,Badminton,Badminton Mixed Doubles,No medal,Badminton,BDM,True
Wai Koon,F,Hong Kong,HKG,2000,Sydney,Badminton,Badminton Women's Doubles,No medal,Badminton,BDM,True
Wai Koon,F,Hong Kong,HKG,2004,Athina,Badminton,Badminton Women's Doubles,No medal,Badminton,BDM,True
Li Mui,F,Hong Kong,HKG,2004,Athina,Badminton,Badminton Women's Doubles,No medal,Badminton,BDM,False
Ling Ting,F,Hong Kong,HKG,2000,Sydney,Badminton,Badminton Women's Singles,No medal,Badminton,BDM,True
Ling Ting,F,Hong Kong,HKG,2000,Sydney,Badminton,Badminton Women's Doubles,No medal,Badminton,BDM,True
Ling Ting,F,Hong Kong,HKG,2004,Athina,Badminton,Badminton Women's Singles,No medal,Badminton,BDM,True
Poon Yan,F,Hong Kong,HKG,2012,London,Badminton,Badminton Women's Doubles,No medal,Badminton,BDM,True
Poon Yan,F,Hong Kong,HKG,2016,Rio de Janeiro,Badminton,Badminton Women's Doubles,No medal,Badminton,BDM,True
Tse Suet,F,Hong Kong,HKG,2012,London,Badminton,Badminton Women's Doubles,No medal,Badminton,BDM,True
Tse Suet,F,Hong Kong,HKG,2016,Rio de Janeiro,Badminton,Badminton Women's Doubles,No medal,Badminton,BDM,True
Wang Chen,F,Hong Kong,HKG,2004,Athina,Badminton,Badminton Women's Singles,No medal,Badminton,BDM,True
Wang Chen,F,Hong Kong,HKG,2008,Beijing,Badminton,Badminton Women's Singles,No medal,Badminton,BDM,True
Wong Fan,F,Hong Kong,HKG,1992,Barcelona,Badminton,Badminton Women's Singles,No medal,Badminton,BDM,False
Yip Yin,F,Hong Kong,HKG,2008,Beijing,Badminton,Badminton Women's Singles,No medal,Badminton,BDM,True
Yip Yin,F,Hong Kong,HKG,2012,London,Badminton,Badminton Women's Singles,No medal,Badminton,BDM,True
Yip Yin,F,Hong Kong,HKG,2016,Rio de Janeiro,Badminton,Badminton Women's Singles,No medal,Badminton,BDM,True
