Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Zsuzsa Boksay,F,Hungary,HUN,1980,Moskva,Basketball,Basketball Women's Basketball,No medal,False
va (-beloberk),F,Hungary,HUN,1980,Moskva,Basketball,Basketball Women's Basketball,No medal,False
Ildik Gulys,F,Hungary,HUN,1980,Moskva,Basketball,Basketball Women's Basketball,No medal,False
Magdolna (-szabics),F,Hungary,HUN,1980,Moskva,Basketball,Basketball Women's Basketball,No medal,False
Lenke Jacs-kiss,F,Hungary,HUN,1980,Moskva,Basketball,Basketball Women's Basketball,No medal,False
Ilona Kovcs,F,Hungary,HUN,1980,Moskva,Basketball,Basketball Women's Basketball,No medal,False
Ilona (winter-),F,Hungary,HUN,1980,Moskva,Basketball,Basketball Women's Basketball,No medal,False
Judit Medgyesi,F,Hungary,HUN,1980,Moskva,Basketball,Basketball Women's Basketball,No medal,False
gnes Nmeth,F,Hungary,HUN,1980,Moskva,Basketball,Basketball Women's Basketball,No medal,False
Erzsbet (lszl-),F,Hungary,HUN,1980,Moskva,Basketball,Basketball Women's Basketball,No medal,False
Katalin Szuchy,F,Hungary,HUN,1980,Moskva,Basketball,Basketball Women's Basketball,No medal,False
Gyrgyi (vertetics-),F,Hungary,HUN,1980,Moskva,Basketball,Basketball Women's Basketball,No medal,False
