Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Jzsef Dra,M,Hungary,HUN,1960,Roma,Diving,Diving Men's Springboard,No medal,Diving,DIV,True,True
Jzsef Dra,M,Hungary,HUN,1960,Roma,Diving,Diving Men's Platform,No medal,Diving,DIV,True,True
Jzsef Dra,M,Hungary,HUN,1964,Tokyo,Diving,Diving Men's Platform,No medal,Diving,DIV,True,False
Jzsef Gerlach,M,Hungary,HUN,1956,Melbourne,Diving,Diving Men's Springboard,No medal,Diving,DIV,True,True
Jzsef Gerlach,M,Hungary,HUN,1956,Melbourne,Diving,Diving Men's Platform,No medal,Diving,DIV,True,True
Andrs Hajnal,M,Hungary,HUN,2000,Sydney,Diving,Diving Men's Platform,No medal,Diving,DIV,True,True
Andrs Hajnal,M,Hungary,HUN,2004,Athina,Diving,Diving Men's Platform,No medal,Diving,DIV,True,False
Lszl (heckmann-),M,Hungary,HUN,1936,Berlin,Diving,Diving Men's Springboard,No medal,Diving,DIV,True,True
Lszl (heckmann-),M,Hungary,HUN,1936,Berlin,Diving,Diving Men's Platform,No medal,Diving,DIV,True,True
Lszl (hoffmann),M,Hungary,HUN,1936,Berlin,Diving,Diving Men's Springboard,No medal,Diving,DIV,True,True
Lszl (hoffmann),M,Hungary,HUN,1936,Berlin,Diving,Diving Men's Platform,No medal,Diving,DIV,True,True
Jnos Konkoly,M,Hungary,HUN,1960,Roma,Diving,Diving Men's Springboard,No medal,Diving,DIV,True,True
Jnos Konkoly,M,Hungary,HUN,1960,Roma,Diving,Diving Men's Platform,No medal,Diving,DIV,True,True
Imre Lengyel,M,Hungary,HUN,1996,Atlanta,Diving,Diving Men's Springboard,No medal,Diving,DIV,True,True
Imre Lengyel,M,Hungary,HUN,2000,Sydney,Diving,Diving Men's Springboard,No medal,Diving,DIV,True,False
Kroly Nmedi,M,Hungary,HUN,1980,Moskva,Diving,Diving Men's Springboard,No medal,Diving,DIV,True,True
Kroly Nmedi,M,Hungary,HUN,1980,Moskva,Diving,Diving Men's Platform,No medal,Diving,DIV,True,True
Ferenc Sik,M,Hungary,HUN,1956,Melbourne,Diving,Diving Men's Springboard,No medal,Diving,DIV,True,True
Ferenc Sik,M,Hungary,HUN,1956,Melbourne,Diving,Diving Men's Platform,No medal,Diving,DIV,True,True
