Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Lenke Almsi,F,Hungary,HUN,1980,Moskva,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Lenke Almsi,F,Hungary,HUN,1980,Moskva,Gymnastics,Gymnastics Women's Team All-Around,No medal,True
Lenke Almsi,F,Hungary,HUN,1980,Moskva,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Lenke Almsi,F,Hungary,HUN,1980,Moskva,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Lenke Almsi,F,Hungary,HUN,1980,Moskva,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Lenke Almsi,F,Hungary,HUN,1980,Moskva,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Bernadett Balzs,F,Hungary,HUN,1992,Barcelona,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Bernadett Balzs,F,Hungary,HUN,1992,Barcelona,Gymnastics,Gymnastics Women's Team All-Around,No medal,True
Bernadett Balzs,F,Hungary,HUN,1992,Barcelona,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Bernadett Balzs,F,Hungary,HUN,1992,Barcelona,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Bernadett Balzs,F,Hungary,HUN,1992,Barcelona,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Bernadett Balzs,F,Hungary,HUN,1992,Barcelona,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Erzsbet (-baranyai),F,Hungary,HUN,1948,London,Gymnastics,Gymnastics Women's Team All-Around,Silver,False
Ildik Balog,F,Hungary,HUN,1992,Barcelona,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Ildik Balog,F,Hungary,HUN,1992,Barcelona,Gymnastics,Gymnastics Women's Team All-Around,No medal,True
Ildik Balog,F,Hungary,HUN,1992,Barcelona,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Ildik Balog,F,Hungary,HUN,1992,Barcelona,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Ildik Balog,F,Hungary,HUN,1992,Barcelona,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Ildik Balog,F,Hungary,HUN,1992,Barcelona,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Ildik Balog,F,Hungary,HUN,1996,Atlanta,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Ildik Balog,F,Hungary,HUN,1996,Atlanta,Gymnastics,Gymnastics Women's Team All-Around,No medal,True
Ildik Balog,F,Hungary,HUN,1996,Atlanta,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Ildik Balog,F,Hungary,HUN,1996,Atlanta,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Ildik Balog,F,Hungary,HUN,1996,Atlanta,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
gnes Bnfai,F,Hungary,HUN,1968,Mexico City,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
gnes Bnfai,F,Hungary,HUN,1968,Mexico City,Gymnastics,Gymnastics Women's Team All-Around,No medal,True
gnes Bnfai,F,Hungary,HUN,1968,Mexico City,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
gnes Bnfai,F,Hungary,HUN,1968,Mexico City,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
gnes Bnfai,F,Hungary,HUN,1968,Mexico City,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
gnes Bnfai,F,Hungary,HUN,1968,Mexico City,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Ilona Bksi,F,Hungary,HUN,1968,Mexico City,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Ilona Bksi,F,Hungary,HUN,1968,Mexico City,Gymnastics,Gymnastics Women's Team All-Around,No medal,True
Ilona Bksi,F,Hungary,HUN,1968,Mexico City,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Ilona Bksi,F,Hungary,HUN,1968,Mexico City,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Ilona Bksi,F,Hungary,HUN,1968,Mexico City,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Ilona Bksi,F,Hungary,HUN,1968,Mexico City,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Ilona Bksi,F,Hungary,HUN,1972,Munich,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Ilona Bksi,F,Hungary,HUN,1972,Munich,Gymnastics,Gymnastics Women's Team All-Around,Bronze,True
Ilona Bksi,F,Hungary,HUN,1972,Munich,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Ilona Bksi,F,Hungary,HUN,1972,Munich,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Ilona Bksi,F,Hungary,HUN,1972,Munich,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Ilona Bksi,F,Hungary,HUN,1972,Munich,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Mria Bencsik,F,Hungary,HUN,1960,Roma,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Mria Bencsik,F,Hungary,HUN,1960,Roma,Gymnastics,Gymnastics Women's Team All-Around,No medal,True
Mria Bencsik,F,Hungary,HUN,1960,Roma,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Mria Bencsik,F,Hungary,HUN,1960,Roma,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Mria Bencsik,F,Hungary,HUN,1960,Roma,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Mria Bencsik,F,Hungary,HUN,1960,Roma,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Dorina Bczg,F,Hungary,HUN,2008,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Dorina Bczg,F,Hungary,HUN,2008,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Dorina Bczg,F,Hungary,HUN,2008,Beijing,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Dorina Bczg,F,Hungary,HUN,2008,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Dorina Bczg,F,Hungary,HUN,2008,Beijing,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Dorina Bczg,F,Hungary,HUN,2012,London,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Dorina Bczg,F,Hungary,HUN,2012,London,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Dorina Bczg,F,Hungary,HUN,2012,London,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Dorina Bczg,F,Hungary,HUN,2012,London,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Dorina Bczg,F,Hungary,HUN,2012,London,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Andrea Bod-molnr,F,Hungary,HUN,1952,Helsinki,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Andrea Bod-molnr,F,Hungary,HUN,1952,Helsinki,Gymnastics,Gymnastics Women's Team All-Around,Silver,True
Andrea Bod-molnr,F,Hungary,HUN,1952,Helsinki,Gymnastics,Gymnastics Women's Team Portable Apparatus,Bronze,True
Andrea Bod-molnr,F,Hungary,HUN,1952,Helsinki,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Andrea Bod-molnr,F,Hungary,HUN,1952,Helsinki,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Andrea Bod-molnr,F,Hungary,HUN,1952,Helsinki,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Andrea Bod-molnr,F,Hungary,HUN,1952,Helsinki,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Andrea Bod-molnr,F,Hungary,HUN,1956,Melbourne,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Andrea Bod-molnr,F,Hungary,HUN,1956,Melbourne,Gymnastics,Gymnastics Women's Team All-Around,Silver,True
Andrea Bod-molnr,F,Hungary,HUN,1956,Melbourne,Gymnastics,Gymnastics Women's Team Portable Apparatus,Gold,True
Andrea Bod-molnr,F,Hungary,HUN,1956,Melbourne,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Andrea Bod-molnr,F,Hungary,HUN,1956,Melbourne,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Andrea Bod-molnr,F,Hungary,HUN,1956,Melbourne,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Andrea Bod-molnr,F,Hungary,HUN,1956,Melbourne,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Erika Csnyi,F,Hungary,HUN,1980,Moskva,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Erika Csnyi,F,Hungary,HUN,1980,Moskva,Gymnastics,Gymnastics Women's Team All-Around,No medal,True
Erika Csnyi,F,Hungary,HUN,1980,Moskva,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Erika Csnyi,F,Hungary,HUN,1980,Moskva,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Erika Csnyi,F,Hungary,HUN,1980,Moskva,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Erika Csnyi,F,Hungary,HUN,1980,Moskva,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Mnika Csszr,F,Hungary,HUN,1972,Munich,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Mnika Csszr,F,Hungary,HUN,1972,Munich,Gymnastics,Gymnastics Women's Team All-Around,Bronze,True
Mnika Csszr,F,Hungary,HUN,1972,Munich,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Mnika Csszr,F,Hungary,HUN,1972,Munich,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Mnika Csszr,F,Hungary,HUN,1972,Munich,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Mnika Csszr,F,Hungary,HUN,1972,Munich,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Margit Csillik,F,Hungary,HUN,1936,Berlin,Gymnastics,Gymnastics Women's Team All-Around,Bronze,False
Zsuzsa Csisztu,F,Hungary,HUN,1988,Seoul,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Zsuzsa Csisztu,F,Hungary,HUN,1988,Seoul,Gymnastics,Gymnastics Women's Team All-Around,No medal,True
Zsuzsa Csisztu,F,Hungary,HUN,1988,Seoul,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Zsuzsa Csisztu,F,Hungary,HUN,1988,Seoul,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Zsuzsa Csisztu,F,Hungary,HUN,1988,Seoul,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Zsuzsa Csisztu,F,Hungary,HUN,1988,Seoul,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Anik Ducza-jnosi,F,Hungary,HUN,1960,Roma,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Anik Ducza-jnosi,F,Hungary,HUN,1960,Roma,Gymnastics,Gymnastics Women's Team All-Around,No medal,True
Anik Ducza-jnosi,F,Hungary,HUN,1960,Roma,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Anik Ducza-jnosi,F,Hungary,HUN,1960,Roma,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Anik Ducza-jnosi,F,Hungary,HUN,1960,Roma,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Anik Ducza-jnosi,F,Hungary,HUN,1960,Roma,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Anik Ducza-jnosi,F,Hungary,HUN,1964,Tokyo,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Anik Ducza-jnosi,F,Hungary,HUN,1964,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,No medal,True
Anik Ducza-jnosi,F,Hungary,HUN,1964,Tokyo,Gymnastics,Gymnastics Women's Floor Exercise,Bronze,True
Anik Ducza-jnosi,F,Hungary,HUN,1964,Tokyo,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Anik Ducza-jnosi,F,Hungary,HUN,1964,Tokyo,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Anik Ducza-jnosi,F,Hungary,HUN,1964,Tokyo,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Anik Ducza-jnosi,F,Hungary,HUN,1968,Mexico City,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
