Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
va Angyal,F,Hungary,HUN,1976,Montreal,Handball,Handball Women's Handball,Bronze,True
va Angyal,F,Hungary,HUN,1980,Moskva,Handball,Handball Women's Handball,No medal,True
Beatrix (-csata),F,Hungary,HUN,2000,Sydney,Handball,Handball Women's Handball,Silver,False
Erzsbet (nyri-),F,Hungary,HUN,1980,Moskva,Handball,Handball Women's Handball,No medal,False
Mria Berzsenyi,F,Hungary,HUN,1976,Montreal,Handball,Handball Women's Handball,Bronze,True
Mria Berzsenyi,F,Hungary,HUN,1980,Moskva,Handball,Handball Women's Handball,No medal,True
Bernadett (-bognr),F,Hungary,HUN,2008,Beijing,Handball,Handball Women's Handball,No medal,False
Beta Bohus-megyerbr,F,Hungary,HUN,2004,Athina,Handball,Handball Women's Handball,No medal,False
Klra Bonyhdi,F,Hungary,HUN,1980,Moskva,Handball,Handball Women's Handball,No medal,False
Rita Borbs,F,Hungary,HUN,2008,Beijing,Handball,Handball Women's Handball,No medal,False
Piroska Budai,F,Hungary,HUN,1980,Moskva,Handball,Handball Women's Handball,No medal,False
gota Bujdos,F,Hungary,HUN,1976,Montreal,Handball,Handball Women's Handball,Bronze,False
va (boz-),F,Hungary,HUN,1980,Moskva,Handball,Handball Women's Handball,No medal,False
Rita Deli,F,Hungary,HUN,2000,Sydney,Handball,Handball Women's Handball,Silver,False
va Erds,F,Hungary,HUN,1996,Atlanta,Handball,Handball Women's Handball,Bronze,False
gnes Farkas,F,Hungary,HUN,2000,Sydney,Handball,Handball Women's Handball,Silver,True
gnes Farkas,F,Hungary,HUN,2004,Athina,Handball,Handball Women's Handball,No medal,True
Andrea (-sgor),F,Hungary,HUN,1996,Atlanta,Handball,Handball Women's Handball,Bronze,True
Andrea (-sgor),F,Hungary,HUN,2000,Sydney,Handball,Handball Women's Handball,Silver,True
Bernadett Ferling,F,Hungary,HUN,2004,Athina,Handball,Handball Women's Handball,No medal,True
