Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Shakeel Ahmed,M,India,IND,1992,Barcelona,Hockey,Hockey Men's Hockey,No medal,False
Anil Aldrin,M,India,IND,1996,Atlanta,Hockey,Hockey Men's Hockey,No medal,False
Shaukat Ali,M,India,IND,1928,Amsterdam,Hockey,Hockey Men's Hockey,Gold,False
Syed Ali,M,India,IND,1976,Montreal,Hockey,Hockey Men's Hockey,No medal,True
Syed Ali,M,India,IND,1964,Tokyo,Hockey,Hockey Men's Hockey,Gold,True
Richard Allen,M,India,IND,1928,Amsterdam,Hockey,Hockey Men's Hockey,Gold,True
Richard Allen,M,India,IND,1932,Los Angeles,Hockey,Hockey Men's Hockey,Gold,True
Richard Allen,M,India,IND,1936,Berlin,Hockey,Hockey Men's Hockey,Gold,True
Subbaiah Bopaiah,M,India,IND,1996,Atlanta,Hockey,Hockey Men's Hockey,No medal,False
Joseph Antic,M,India,IND,1960,Roma,Hockey,Hockey Men's Hockey,Silver,False
Sardar Aslam,M,India,IND,1932,Los Angeles,Hockey,Hockey Men's Hockey,Gold,False
Subramani Kalaiah,M,India,IND,1988,Seoul,Hockey,Hockey Men's Hockey,No medal,False
Ashish Ballal,M,India,IND,1992,Barcelona,Hockey,Hockey Men's Hockey,No medal,False
Lazarus Barla,M,India,IND,2000,Sydney,Hockey,Hockey Men's Hockey,No medal,False
Vasudevan Bhaskaran,M,India,IND,1976,Montreal,Hockey,Hockey Men's Hockey,No medal,True
Vasudevan Bhaskaran,M,India,IND,1980,Moskva,Hockey,Hockey Men's Hockey,Gold,True
Govinda Billimogaputtaswamy,M,India,IND,1972,Munich,Hockey,Hockey Men's Hockey,Bronze,True
Govinda Billimogaputtaswamy,M,India,IND,1976,Montreal,Hockey,Hockey Men's Hockey,No medal,True
Lal Bokhari,M,India,IND,1932,Los Angeles,Hockey,Hockey Men's Hockey,Gold,False
Frank Brewin,M,India,IND,1932,Los Angeles,Hockey,Hockey Men's Hockey,Gold,False
Richard Carr,M,India,IND,1932,Los Angeles,Hockey,Hockey Men's Hockey,Gold,False
Joaquim Carvalho,M,India,IND,1984,Los Angeles,Hockey,Hockey Men's Hockey,No medal,False
Dhyan Bais,M,India,IND,1928,Amsterdam,Hockey,Hockey Men's Hockey,Gold,True
Dhyan Bais,M,India,IND,1932,Los Angeles,Hockey,Hockey Men's Hockey,Gold,True
Dhyan Bais,M,India,IND,1936,Berlin,Hockey,Hockey Men's Hockey,Gold,True
Devesh Chauhan,M,India,IND,2004,Athina,Hockey,Hockey Men's Hockey,No medal,False
Bharat Chetri,M,India,IND,2012,London,Hockey,Hockey Men's Hockey,No medal,False
Bir Chettri,M,India,IND,1976,Montreal,Hockey,Hockey Men's Hockey,No medal,True
Bir Chettri,M,India,IND,1980,Moskva,Hockey,Hockey Men's Hockey,Gold,True
Rajendra Christy,M,India,IND,1968,Mexico City,Hockey,Hockey Men's Hockey,Bronze,False
Leslie Claudius,M,India,IND,1948,London,Hockey,Hockey Men's Hockey,Gold,True
Leslie Claudius,M,India,IND,1952,Helsinki,Hockey,Hockey Men's Hockey,Gold,True
Leslie Claudius,M,India,IND,1956,Melbourne,Hockey,Hockey Men's Hockey,Gold,True
Leslie Claudius,M,India,IND,1960,Roma,Hockey,Hockey Men's Hockey,Silver,True
Charles Cornelius,M,India,IND,1972,Munich,Hockey,Hockey Men's Hockey,Bronze,False
Mohammed Dad,M,India,IND,2000,Sydney,Hockey,Hockey Men's Hockey,No medal,False
Meldric Vieira,M,India,IND,1952,Helsinki,Hockey,Hockey Men's Hockey,Gold,False
Ali Dara,M,India,IND,1936,Berlin,Hockey,Hockey Men's Hockey,Gold,False
Walter Sousa,M,India,IND,1948,London,Hockey,Hockey Men's Hockey,Gold,False
Chinadorai Deshmutu,M,India,IND,1952,Helsinki,Hockey,Hockey Men's Hockey,Gold,False
Ashok Diwan,M,India,IND,1976,Montreal,Hockey,Hockey Men's Hockey,No medal,False
Adrian D'souza,M,India,IND,2004,Athina,Hockey,Hockey Men's Hockey,No medal,False
Darryl D'souza,M,India,IND,1992,Barcelona,Hockey,Hockey Men's Hockey,No medal,False
Keshav Dutt,M,India,IND,1948,London,Hockey,Hockey Men's Hockey,Gold,True
Keshav Dutt,M,India,IND,1952,Helsinki,Hockey,Hockey Men's Hockey,Gold,True
Alloysius Edwards,M,India,IND,1996,Atlanta,Hockey,Hockey Men's Hockey,No medal,False
Lionel Emmett,M,India,IND,1936,Berlin,Hockey,Hockey Men's Hockey,Gold,False
Lawrence Fernandes,M,India,IND,1948,London,Hockey,Hockey Men's Hockey,Gold,False
Peter Fernandes,M,India,IND,1936,Berlin,Hockey,Hockey Men's Hockey,Gold,False
Merwyn Fernandis,M,India,IND,1980,Moskva,Hockey,Hockey Men's Hockey,Gold,True
Merwyn Fernandis,M,India,IND,1984,Los Angeles,Hockey,Hockey Men's Hockey,No medal,True
Merwyn Fernandis,M,India,IND,1988,Seoul,Hockey,Hockey Men's Hockey,No medal,True
Gavin Ferreira,M,India,IND,1996,Atlanta,Hockey,Hockey Men's Hockey,No medal,False
Ranganathan Francis,M,India,IND,1948,London,Hockey,Hockey Men's Hockey,Gold,True
Ranganathan Francis,M,India,IND,1952,Helsinki,Hockey,Hockey Men's Hockey,Gold,True
Ranganathan Francis,M,India,IND,1956,Melbourne,Hockey,Hockey Men's Hockey,Gold,True
Manuel Frederick,M,India,IND,1972,Munich,Hockey,Hockey Men's Hockey,Bronze,False
