Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
H. Banerjee,M,India,IND,1952,Helsinki,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",No medal,True
H. Banerjee,M,India,IND,1952,Helsinki,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",No medal,True
H. Banerjee,M,India,IND,1952,Helsinki,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
H. Banerjee,M,India,IND,1956,Melbourne,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",No medal,True
Abhinav Bindra,M,India,IND,2000,Sydney,Shooting,"Shooting Men's Air Rifle, 10 metres",No medal,True
Abhinav Bindra,M,India,IND,2004,Athina,Shooting,"Shooting Men's Air Rifle, 10 metres",No medal,True
Abhinav Bindra,M,India,IND,2008,Beijing,Shooting,"Shooting Men's Air Rifle, 10 metres",Gold,True
Abhinav Bindra,M,India,IND,2012,London,Shooting,"Shooting Men's Air Rifle, 10 metres",No medal,True
Abhinav Bindra,M,India,IND,2016,Rio de Janeiro,Shooting,"Shooting Men's Air Rifle, 10 metres",No medal,True
Gian Chand,M,India,IND,1980,Moskva,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",No medal,False
Prithipal Chatterjee,M,India,IND,1972,Munich,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",No medal,False
Paul Singh,M,India,IND,1960,Roma,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal,False
Kynan Chenai,M,India,IND,2016,Rio de Janeiro,Shooting,Shooting Men's Trap,No medal,False
Souren Choudhury,M,India,IND,1972,Munich,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",No medal,True
Souren Choudhury,M,India,IND,1980,Moskva,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",No medal,True
Souren Choudhury,M,India,IND,1952,Helsinki,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
Samresh Jung,M,India,IND,2008,Beijing,Shooting,"Shooting Men's Air Pistol, 10 metres",No medal,True
Samresh Jung,M,India,IND,2008,Beijing,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal,True
Joydeep Karmakar,M,India,IND,2012,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,False
Sen Keshav,M,India,IND,1960,Roma,Shooting,Shooting Men's Trap,No medal,False
Mairaj Khan,M,India,IND,2016,Rio de Janeiro,Shooting,Shooting Men's Skeet,No medal,False
Vijay Kumar,M,India,IND,2012,London,Shooting,"Shooting Men's Air Pistol, 10 metres",No medal,True
Vijay Kumar,M,India,IND,2012,London,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver,True
Rajinder Vij,M,India,IND,1984,Los Angeles,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal,False
Mohinder Lal,M,India,IND,1984,Los Angeles,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal,False
Prakash Nanjappa,M,India,IND,2016,Rio de Janeiro,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal,False
Gagan Narang,M,India,IND,2004,Athina,Shooting,"Shooting Men's Air Rifle, 10 metres",No medal,True
Gagan Narang,M,India,IND,2008,Beijing,Shooting,"Shooting Men's Air Rifle, 10 metres",No medal,True
Gagan Narang,M,India,IND,2008,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",No medal,True
Gagan Narang,M,India,IND,2008,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
Gagan Narang,M,India,IND,2012,London,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze,True
Gagan Narang,M,India,IND,2012,London,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",No medal,True
Gagan Narang,M,India,IND,2012,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
Gagan Narang,M,India,IND,2016,Rio de Janeiro,Shooting,"Shooting Men's Air Rifle, 10 metres",No medal,True
Gagan Narang,M,India,IND,2016,Rio de Janeiro,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",No medal,True
Gagan Narang,M,India,IND,2016,Rio de Janeiro,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
Jitu Rai,M,India,IND,2016,Rio de Janeiro,Shooting,"Shooting Men's Air Pistol, 10 metres",No medal,True
Jitu Rai,M,India,IND,2016,Rio de Janeiro,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal,True
Sanjeev Rajput,M,India,IND,2008,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",No medal,True
Sanjeev Rajput,M,India,IND,2008,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
Sanjeev Rajput,M,India,IND,2012,London,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",No medal,True
Jaspal Rana,M,India,IND,1996,Atlanta,Shooting,"Shooting Men's Air Pistol, 10 metres",No medal,True
Jaspal Rana,M,India,IND,1996,Atlanta,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal,True
Rajyavardhan Rathore,M,India,IND,2004,Athina,Shooting,Shooting Men's Double Trap,Silver,True
Rajyavardhan Rathore,M,India,IND,2008,Beijing,Shooting,Shooting Men's Double Trap,No medal,True
Bhagirath Samai,M,India,IND,1984,Los Angeles,Shooting,"Shooting Men's Air Rifle, 10 metres",No medal,True
Bhagirath Samai,M,India,IND,1984,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
Haricharan Shaw,M,India,IND,1956,Melbourne,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",No medal,False
Bhim Ii,M,India,IND,1976,Montreal,Shooting,Shooting Mixed Skeet,No medal,False
Chain Singh,M,India,IND,2016,Rio de Janeiro,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",No medal,True
Chain Singh,M,India,IND,2016,Rio de Janeiro,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
Devi Singh,M,India,IND,1964,Tokyo,Shooting,Shooting Men's Trap,No medal,False
Gurpreet Singh,M,India,IND,2016,Rio de Janeiro,Shooting,"Shooting Men's Air Pistol, 10 metres",No medal,True
Gurpreet Singh,M,India,IND,2016,Rio de Janeiro,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal,True
Karni Bahadur,M,India,IND,1960,Roma,Shooting,Shooting Men's Trap,No medal,True
Karni Bahadur,M,India,IND,1964,Tokyo,Shooting,Shooting Men's Trap,No medal,True
Karni Bahadur,M,India,IND,1968,Mexico City,Shooting,Shooting Mixed Trap,No medal,True
Karni Bahadur,M,India,IND,1968,Mexico City,Shooting,Shooting Mixed Skeet,No medal,True
Karni Bahadur,M,India,IND,1972,Munich,Shooting,Shooting Mixed Trap,No medal,True
Karni Bahadur,M,India,IND,1972,Munich,Shooting,Shooting Mixed Skeet,No medal,True
Karni Bahadur,M,India,IND,1980,Moskva,Shooting,Shooting Mixed Trap,No medal,True
Mansher Singh,M,India,IND,1984,Los Angeles,Shooting,Shooting Mixed Trap,No medal,True
Mansher Singh,M,India,IND,1996,Atlanta,Shooting,Shooting Men's Trap,No medal,True
Mansher Singh,M,India,IND,2004,Athina,Shooting,Shooting Men's Trap,No medal,True
Mansher Singh,M,India,IND,2008,Beijing,Shooting,Shooting Men's Trap,No medal,True
Randhir Ji,M,India,IND,1968,Mexico City,Shooting,Shooting Mixed Trap,No medal,True
Randhir Ji,M,India,IND,1972,Munich,Shooting,Shooting Mixed Trap,No medal,True
Randhir Ji,M,India,IND,1976,Montreal,Shooting,Shooting Mixed Trap,No medal,True
Randhir Ji,M,India,IND,1980,Moskva,Shooting,Shooting Mixed Trap,No medal,True
Randhir Ji,M,India,IND,1984,Los Angeles,Shooting,Shooting Mixed Trap,No medal,True
Sandhu Gurbir,M,India,IND,1976,Montreal,Shooting,Shooting Mixed Skeet,No medal,False
Baljit Kharab,M,India,IND,1984,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal,False
Harisimran Sandhu,M,India,IND,1984,Los Angeles,Shooting,Shooting Mixed Skeet,No medal,False
Manavjit Sandhu,M,India,IND,2004,Athina,Shooting,Shooting Men's Trap,No medal,True
Manavjit Sandhu,M,India,IND,2008,Beijing,Shooting,Shooting Men's Trap,No medal,True
Manavjit Sandhu,M,India,IND,2012,London,Shooting,Shooting Men's Trap,No medal,True
Manavjit Sandhu,M,India,IND,2016,Rio de Janeiro,Shooting,Shooting Men's Trap,No medal,True
Ronjan Sodhi,M,India,IND,2012,London,Shooting,Shooting Men's Double Trap,No medal,False
Anwer Sultan,M,India,IND,2000,Sydney,Shooting,Shooting Men's Trap,No medal,False
Singh Bajwa,M,India,IND,2020,Tokyo,Shooting,Skeet Men,No medal,False
Ahmad Khan,M,India,IND,2020,Tokyo,Shooting,Skeet Men,No medal,False
Deepak Kumar,M,India,IND,2020,Tokyo,Shooting,10m Air Rifle Men,No medal,True
Deepak Kumar,M,India,IND,2020,Tokyo,Shooting,10m Air Rifle Mixed Team,No medal,True
Singh Panwar,M,India,IND,2020,Tokyo,Shooting,10m Air Rifle Men,No medal,True
Singh Panwar,M,India,IND,2020,Tokyo,Shooting,10m Air Rifle Mixed Team,No medal,True
Sanjeev Rajput,M,India,IND,2020,Tokyo,Shooting,50m Rifle 3 Positions Men,No medal,True
Chaudhary Saurabh,M,India,IND,2020,Tokyo,Shooting,10m Air Pistol Men,No medal,True
Chaudhary Saurabh,M,India,IND,2020,Tokyo,Shooting,10m Air Pistol Mixed Team,No medal,True
Singh Tomar,M,India,IND,2020,Tokyo,Shooting,50m Rifle 3 Positions Men,No medal,True
Abhishek Verma,M,India,IND,2020,Tokyo,Shooting,10m Air Pistol Men,No medal,True
Abhishek Verma,M,India,IND,2020,Tokyo,Shooting,10m Air Pistol Mixed Team,No medal,True
Prithviraj Tondaiman,M,India,IND,2024,Paris,Shooting,Trap Men,No medal,False
Swapnil Kusale,M,India,IND,2024,Paris,Shooting,50m Rifle 3 Positions Men,Bronze,False
Vijayveer Sidhu,M,India,IND,2024,Paris,Shooting,25m Rapid Fire Pistol Men,No medal,False
Singh Tomar,M,India,IND,2024,Paris,Shooting,50m Rifle 3 Positions Men,No medal,True
Singh Naruka,M,India,IND,2024,Paris,Shooting,Skeet Men,No medal,True
Singh Naruka,M,India,IND,2024,Paris,Shooting,Skeet Mixed Team,No medal,True
Anish Anish,M,India,IND,2024,Paris,Shooting,25m Rapid Fire Pistol Men,No medal,False
Arjun Babuta,M,India,IND,2024,Paris,Shooting,10m Air Rifle Men,No medal,True
Arjun Babuta,M,India,IND,2024,Paris,Shooting,10m Air Rifle Mixed Team,No medal,True
Singh Cheema,M,India,IND,2024,Paris,Shooting,10m Air Pistol Men,No medal,True
Singh Cheema,M,India,IND,2024,Paris,Shooting,10m Air Pistol Mixed Team,No medal,True
Sandee Singh,M,India,IND,2024,Paris,Shooting,10m Air Rifle Men,No medal,True
Sandee Singh,M,India,IND,2024,Paris,Shooting,10m Air Rifle Mixed Team,No medal,True
Sarabjot Singh,M,India,IND,2024,Paris,Shooting,10m Air Pistol Men,No medal,True
Sarabjot Singh,M,India,IND,2024,Paris,Shooting,10m Air Pistol Mixed Team,Bronze,True
