Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Tontowi Ahmad,M,Indonesia,INA,2012,London,Badminton,Badminton Mixed Doubles,No medal,False
Mohammad Ahsan,M,Indonesia,INA,2012,London,Badminton,Badminton Men's Doubles,No medal,True
Mohammad Ahsan,M,Indonesia,INA,2016,Rio de Janeiro,Badminton,Badminton Men's Doubles,No medal,True
Michael Arbi,M,Indonesia,INA,1996,Atlanta,Badminton,Badminton Men's Singles,No medal,False
Alexander Wiratama,M,Indonesia,INA,1992,Barcelona,Badminton,Badminton Men's Singles,Gold,True
Alexander Wiratama,M,Indonesia,INA,1996,Atlanta,Badminton,Badminton Men's Singles,No medal,True
Alvent Chandra,M,Indonesia,INA,2004,Athina,Badminton,Badminton Men's Doubles,No medal,False
Tony Gunawan,M,Indonesia,INA,2000,Sydney,Badminton,Badminton Men's Doubles,Gold,False
Luluk Hadiyanto,M,Indonesia,INA,2004,Athina,Badminton,Badminton Men's Doubles,No medal,False
Hendrawan,M,Indonesia,INA,2000,Sydney,Badminton,Badminton Men's Singles,Silver,False
Taufik Hidayat,M,Indonesia,INA,2000,Sydney,Badminton,Badminton Men's Singles,No medal,True
Taufik Hidayat,M,Indonesia,INA,2004,Athina,Badminton,Badminton Men's Singles,Gold,True
Taufik Hidayat,M,Indonesia,INA,2008,Beijing,Badminton,Badminton Men's Singles,No medal,True
Taufik Hidayat,M,Indonesia,INA,2012,London,Badminton,Badminton Men's Singles,No medal,True
Sony Kuncoro,M,Indonesia,INA,2004,Athina,Badminton,Badminton Men's Singles,Bronze,True
Sony Kuncoro,M,Indonesia,INA,2008,Beijing,Badminton,Badminton Men's Singles,No medal,True
Marleve Mainaky,M,Indonesia,INA,2000,Sydney,Badminton,Badminton Men's Singles,No medal,False
Rexy Mainaky,M,Indonesia,INA,1996,Atlanta,Badminton,Badminton Men's Doubles,Gold,False
Simon Santoso,M,Indonesia,INA,2012,London,Badminton,Badminton Men's Singles,No medal,False
Bona Septano,M,Indonesia,INA,2012,London,Badminton,Badminton Men's Doubles,No medal,False
Hendra Setiawan,M,Indonesia,INA,2016,Rio de Janeiro,Badminton,Badminton Men's Doubles,No medal,True
Ricky Subagja,M,Indonesia,INA,1996,Atlanta,Badminton,Badminton Men's Doubles,Gold,False
Tommy Sugiarto,M,Indonesia,INA,2016,Rio de Janeiro,Badminton,Badminton Men's Singles,No medal,False
Joko Supriyanto,M,Indonesia,INA,1996,Atlanta,Badminton,Badminton Men's Singles,No medal,False
Hermawan Susanto,M,Indonesia,INA,1992,Barcelona,Badminton,Badminton Men's Singles,Bronze,False
Candra Wijaya,M,Indonesia,INA,2000,Sydney,Badminton,Badminton Men's Doubles,Gold,False
Ardy Wiranata,M,Indonesia,INA,1992,Barcelona,Badminton,Badminton Men's Singles,Silver,False
Mohammad Ahsan,M,Indonesia,INA,2020,Tokyo,Badminton,Men's Doubles Team,No medal,True
Jonatan Christie,M,Indonesia,INA,2020,Tokyo,Badminton,Men's Singles,No medal,True
Fernaldi Gideon,M,Indonesia,INA,2020,Tokyo,Badminton,Men's Doubles Team,No medal,False
Sinisuka Ginting,M,Indonesia,INA,2020,Tokyo,Badminton,Men's Singles,Bronze,True
Praveen Jordan,M,Indonesia,INA,2020,Tokyo,Badminton,Mixed Doubles Team,No medal,False
Hendra Setiawan,M,Indonesia,INA,2020,Tokyo,Badminton,Men's Doubles Team,No medal,True
Sanjaya Sukamuljo,M,Indonesia,INA,2020,Tokyo,Badminton,Men's Doubles Team,No medal,False
Sinisuka Ginting,M,Indonesia,INA,2024,Paris,Badminton,Men's Singles,No medal,True
Fajar Alfian,M,Indonesia,INA,2024,Paris,Badminton,Men's Doubles,No medal,False
Jonatan Christie,M,Indonesia,INA,2024,Paris,Badminton,Men's Singles,No medal,True
Rian Ardianto,M,Indonesia,INA,2024,Paris,Badminton,Men's Doubles,No medal,False
Rinov Rivaldy,M,Indonesia,INA,2024,Paris,Badminton,Mixed Doubles,No medal,False
