Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Hamed Eslamieh,M,Iran,IRI,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Amir Amini,M,Iran,IRI,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Kazem Ashtari,M,Iran,IRI,1948,London,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Javad Davari,M,Iran,IRI,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Saeid Karekani,M,Iran,IRI,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Ali Doraghi,M,Iran,IRI,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Asghar Ehssassi,M,Iran,IRI,1948,London,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Fereidoun Esfandiary,M,Iran,IRI,1948,London,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Hamed Haddadi,M,Iran,IRI,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,True,True
Hossein Hashemi,M,Iran,IRI,1948,London,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Mehdi Kamrani,M,Iran,IRI,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Hossein Karandish,M,Iran,IRI,1948,London,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Matthew Mohtadi,M,Iran,IRI,1948,London,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Mousa Nabipour,M,Iran,IRI,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Mohammad Bahrami,M,Iran,IRI,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Houshang Rafati,M,Iran,IRI,1948,London,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Ferydoun Sadeghi,M,Iran,IRI,1948,London,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Oshin Sahakian,M,Iran,IRI,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Abolfazl Salabi,M,Iran,IRI,1948,London,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Ziaeddin Shademan,M,Iran,IRI,1948,London,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Hamed Sohrabnejad,M,Iran,IRI,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Hossein Soroudi,M,Iran,IRI,1948,London,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Hossein Soudipour,M,Iran,IRI,1948,London,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Hussain Zadegan,M,Iran,IRI,1948,London,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Iman Mashhadi,M,Iran,IRI,2008,Beijing,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Saeid Davarpanah,M,Iran,IRI,2020,Tokyo,Basketball,Men Team,No medal,Men,BKB,False,True
Aaron Geramipoor,M,Iran,IRI,2020,Tokyo,Basketball,Men Team,No medal,Men,BKB,False,True
Hamed Haddadi,M,Iran,IRI,2020,Tokyo,Basketball,Men Team,No medal,Men,BKB,True,False
Mohammad Hassanzadeh,M,Iran,IRI,2020,Tokyo,Basketball,Men Team,No medal,Men,BKB,False,True
Pujan Jalalpoor,M,Iran,IRI,2020,Tokyo,Basketball,Men Team,No medal,Men,BKB,False,True
Mohammad Jamshidijafarabadi,M,Iran,IRI,2020,Tokyo,Basketball,Men Team,No medal,Men,BKB,False,True
Arsalan Kazemi,M,Iran,IRI,2020,Tokyo,Basketball,Men Team,No medal,Men,BKB,False,True
Mohammadsamad Nik,M,Iran,IRI,2020,Tokyo,Basketball,Men Team,No medal,Men,BKB,False,True
Navid Rezaeifar,M,Iran,IRI,2020,Tokyo,Basketball,Men Team,No medal,Men,BKB,False,True
Michael Rostampour,M,Iran,IRI,2020,Tokyo,Basketball,Men Team,No medal,Men,BKB,False,True
Mohammadsina Vahedi,M,Iran,IRI,2020,Tokyo,Basketball,Men Team,No medal,Men,BKB,False,True
Behnam Yakhchalidehkordi,M,Iran,IRI,2020,Tokyo,Basketball,Men Team,No medal,Men,BKB,False,True
