Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Kathleen Taylor,F,Ireland,IRL,2012,London,Boxing,Boxing Women's Lightweight,Gold,True
Kathleen Taylor,F,Ireland,IRL,2016,Rio de Janeiro,Boxing,Boxing Women's Lightweight,No medal,True
Anne Harrington,F,Ireland,IRL,2020,Tokyo,Boxing,Women's Light (57-60kg),Gold,False
Aoife O'rourke,F,Ireland,IRL,2020,Tokyo,Boxing,Women's Middle (69-75kg),No medal,True
Michaela Walsh,F,Ireland,IRL,2020,Tokyo,Boxing,Women's Feather (54-57kg),No medal,True
Grainne Walsh,F,Ireland,IRL,2024,Paris,Boxing,Women's 66kg,No medal,False
Aoife O'rourke,F,Ireland,IRL,2024,Paris,Boxing,Women's 75kg,No medal,True
Daina Moorehouse,F,Ireland,IRL,2024,Paris,Boxing,Women's 50kg,No medal,False
Jennifer Lehane,F,Ireland,IRL,2024,Paris,Boxing,Women's 54kg,No medal,False
Kellie Harrington,F,Ireland,IRL,2024,Paris,Boxing,Women's 60kg,Gold,False
Michaela Walsh,F,Ireland,IRL,2024,Paris,Boxing,Women's 57kg,No medal,True
