Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Felix Aronovich,M,Israel,ISR,2012,London,Gymnastics,Gymnastics Men's Individual All-Around,No medal,True
Felix Aronovich,M,Israel,ISR,2012,London,Gymnastics,Gymnastics Men's Floor Exercise,No medal,True
Felix Aronovich,M,Israel,ISR,2012,London,Gymnastics,Gymnastics Men's Parallel Bars,No medal,True
Felix Aronovich,M,Israel,ISR,2012,London,Gymnastics,Gymnastics Men's Horizontal Bar,No medal,True
Felix Aronovich,M,Israel,ISR,2012,London,Gymnastics,Gymnastics Men's Rings,No medal,True
Felix Aronovich,M,Israel,ISR,2012,London,Gymnastics,Gymnastics Men's Pommelled Horse,No medal,True
Pavel Gofman,M,Israel,ISR,2004,Athina,Gymnastics,Gymnastics Men's Individual All-Around,No medal,True
Pavel Gofman,M,Israel,ISR,2004,Athina,Gymnastics,Gymnastics Men's Floor Exercise,No medal,True
Pavel Gofman,M,Israel,ISR,2004,Athina,Gymnastics,Gymnastics Men's Horse Vault,No medal,True
Pavel Gofman,M,Israel,ISR,2004,Athina,Gymnastics,Gymnastics Men's Parallel Bars,No medal,True
Pavel Gofman,M,Israel,ISR,2004,Athina,Gymnastics,Gymnastics Men's Horizontal Bar,No medal,True
Pavel Gofman,M,Israel,ISR,2004,Athina,Gymnastics,Gymnastics Men's Rings,No medal,True
Pavel Gofman,M,Israel,ISR,2004,Athina,Gymnastics,Gymnastics Men's Pommelled Horse,No medal,True
Ron Kaplan,M,Israel,ISR,1992,Barcelona,Gymnastics,Gymnastics Men's Individual All-Around,No medal,True
Ron Kaplan,M,Israel,ISR,1992,Barcelona,Gymnastics,Gymnastics Men's Floor Exercise,No medal,True
Ron Kaplan,M,Israel,ISR,1992,Barcelona,Gymnastics,Gymnastics Men's Horse Vault,No medal,True
Ron Kaplan,M,Israel,ISR,1992,Barcelona,Gymnastics,Gymnastics Men's Parallel Bars,No medal,True
Ron Kaplan,M,Israel,ISR,1992,Barcelona,Gymnastics,Gymnastics Men's Horizontal Bar,No medal,True
Ron Kaplan,M,Israel,ISR,1992,Barcelona,Gymnastics,Gymnastics Men's Rings,No medal,True
Ron Kaplan,M,Israel,ISR,1992,Barcelona,Gymnastics,Gymnastics Men's Pommelled Horse,No medal,True
Ya'akov Levi,M,Israel,ISR,1984,Los Angeles,Gymnastics,Gymnastics Men's Individual All-Around,No medal,True
Ya'akov Levi,M,Israel,ISR,1984,Los Angeles,Gymnastics,Gymnastics Men's Floor Exercise,No medal,True
Ya'akov Levi,M,Israel,ISR,1984,Los Angeles,Gymnastics,Gymnastics Men's Horse Vault,No medal,True
Ya'akov Levi,M,Israel,ISR,1984,Los Angeles,Gymnastics,Gymnastics Men's Parallel Bars,No medal,True
Ya'akov Levi,M,Israel,ISR,1984,Los Angeles,Gymnastics,Gymnastics Men's Horizontal Bar,No medal,True
Ya'akov Levi,M,Israel,ISR,1984,Los Angeles,Gymnastics,Gymnastics Men's Rings,No medal,True
Ya'akov Levi,M,Israel,ISR,1984,Los Angeles,Gymnastics,Gymnastics Men's Pommelled Horse,No medal,True
Dov Lupi,M,Israel,ISR,1976,Montreal,Gymnastics,Gymnastics Men's Individual All-Around,No medal,True
Dov Lupi,M,Israel,ISR,1976,Montreal,Gymnastics,Gymnastics Men's Floor Exercise,No medal,True
Dov Lupi,M,Israel,ISR,1976,Montreal,Gymnastics,Gymnastics Men's Horse Vault,No medal,True
Dov Lupi,M,Israel,ISR,1976,Montreal,Gymnastics,Gymnastics Men's Parallel Bars,No medal,True
Dov Lupi,M,Israel,ISR,1976,Montreal,Gymnastics,Gymnastics Men's Horizontal Bar,No medal,True
Dov Lupi,M,Israel,ISR,1976,Montreal,Gymnastics,Gymnastics Men's Rings,No medal,True
Dov Lupi,M,Israel,ISR,1976,Montreal,Gymnastics,Gymnastics Men's Pommelled Horse,No medal,True
Yohanan Moyal,M,Israel,ISR,1984,Los Angeles,Gymnastics,Gymnastics Men's Individual All-Around,No medal,True
Yohanan Moyal,M,Israel,ISR,1984,Los Angeles,Gymnastics,Gymnastics Men's Floor Exercise,No medal,True
Yohanan Moyal,M,Israel,ISR,1984,Los Angeles,Gymnastics,Gymnastics Men's Horse Vault,No medal,True
Yohanan Moyal,M,Israel,ISR,1984,Los Angeles,Gymnastics,Gymnastics Men's Parallel Bars,No medal,True
Yohanan Moyal,M,Israel,ISR,1984,Los Angeles,Gymnastics,Gymnastics Men's Horizontal Bar,No medal,True
Yohanan Moyal,M,Israel,ISR,1984,Los Angeles,Gymnastics,Gymnastics Men's Rings,No medal,True
Yohanan Moyal,M,Israel,ISR,1984,Los Angeles,Gymnastics,Gymnastics Men's Pommelled Horse,No medal,True
Aleksandr Shatilov,M,Israel,ISR,2008,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,No medal,True
Aleksandr Shatilov,M,Israel,ISR,2008,Beijing,Gymnastics,Gymnastics Men's Floor Exercise,No medal,True
Aleksandr Shatilov,M,Israel,ISR,2008,Beijing,Gymnastics,Gymnastics Men's Parallel Bars,No medal,True
Aleksandr Shatilov,M,Israel,ISR,2008,Beijing,Gymnastics,Gymnastics Men's Horizontal Bar,No medal,True
Aleksandr Shatilov,M,Israel,ISR,2008,Beijing,Gymnastics,Gymnastics Men's Rings,No medal,True
Aleksandr Shatilov,M,Israel,ISR,2008,Beijing,Gymnastics,Gymnastics Men's Pommelled Horse,No medal,True
Aleksandr Shatilov,M,Israel,ISR,2012,London,Gymnastics,Gymnastics Men's Individual All-Around,No medal,True
Aleksandr Shatilov,M,Israel,ISR,2012,London,Gymnastics,Gymnastics Men's Floor Exercise,No medal,True
Aleksandr Shatilov,M,Israel,ISR,2012,London,Gymnastics,Gymnastics Men's Parallel Bars,No medal,True
Aleksandr Shatilov,M,Israel,ISR,2012,London,Gymnastics,Gymnastics Men's Horizontal Bar,No medal,True
Aleksandr Shatilov,M,Israel,ISR,2012,London,Gymnastics,Gymnastics Men's Rings,No medal,True
Aleksandr Shatilov,M,Israel,ISR,2012,London,Gymnastics,Gymnastics Men's Pommelled Horse,No medal,True
Aleksandr Shatilov,M,Israel,ISR,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,No medal,True
Aleksandr Shatilov,M,Israel,ISR,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,No medal,True
