Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Paola Bologna,F,Italy,ITA,1924,Paris,Tennis,Tennis Women's Singles,No medal,False
Maria Camerin,F,Italy,ITA,2004,Athina,Tennis,Tennis Women's Singles,No medal,False
Sandra Cecchini,F,Italy,ITA,1988,Seoul,Tennis,Tennis Women's Singles,No medal,True
Sandra Cecchini,F,Italy,ITA,1988,Seoul,Tennis,Tennis Women's Doubles,No medal,True
Sandra Cecchini,F,Italy,ITA,1992,Barcelona,Tennis,Tennis Women's Singles,No medal,True
Sara Errani,F,Italy,ITA,2008,Beijing,Tennis,Tennis Women's Singles,No medal,True
Sara Errani,F,Italy,ITA,2012,London,Tennis,Tennis Women's Singles,No medal,True
Sara Errani,F,Italy,ITA,2016,Rio de Janeiro,Tennis,Tennis Women's Singles,No medal,True
Sara Errani,F,Italy,ITA,2016,Rio de Janeiro,Tennis,Tennis Women's Doubles,No medal,True
Silvia Farina-elia,F,Italy,ITA,1996,Atlanta,Tennis,Tennis Women's Singles,No medal,True
Silvia Farina-elia,F,Italy,ITA,1996,Atlanta,Tennis,Tennis Women's Doubles,No medal,True
Silvia Farina-elia,F,Italy,ITA,2000,Sydney,Tennis,Tennis Women's Singles,No medal,True
Silvia Farina-elia,F,Italy,ITA,2000,Sydney,Tennis,Tennis Women's Doubles,No medal,True
Silvia Farina-elia,F,Italy,ITA,2004,Athina,Tennis,Tennis Women's Singles,No medal,True
Rosetta (-prouse),F,Italy,ITA,1920,Antwerpen,Tennis,Tennis Women's Singles,No medal,True
Rosetta (-prouse),F,Italy,ITA,1920,Antwerpen,Tennis,Tennis Mixed Doubles,No medal,True
Rosetta (-prouse),F,Italy,ITA,1924,Paris,Tennis,Tennis Women's Singles,No medal,True
Rosetta (-prouse),F,Italy,ITA,1924,Paris,Tennis,Tennis Women's Doubles,No medal,True
Tathiana Garbin,F,Italy,ITA,2000,Sydney,Tennis,Tennis Women's Singles,No medal,True
Tathiana Garbin,F,Italy,ITA,2004,Athina,Tennis,Tennis Women's Singles,No medal,True
Laura Garrone,F,Italy,ITA,1992,Barcelona,Tennis,Tennis Women's Doubles,No medal,False
Laura Golarsa,F,Italy,ITA,1996,Atlanta,Tennis,Tennis Women's Doubles,No medal,False
Rita Grande,F,Italy,ITA,1996,Atlanta,Tennis,Tennis Women's Singles,No medal,True
Rita Grande,F,Italy,ITA,2000,Sydney,Tennis,Tennis Women's Singles,No medal,True
Rita Grande,F,Italy,ITA,2000,Sydney,Tennis,Tennis Women's Doubles,No medal,True
